Date,transactionvalue90stdUSD
2017/07/28,11360
2017/07/29,11404
2017/07/30,11403
2017/07/31,11536
2017/08/01,11583
2017/08/02,11656
2017/08/03,11728
2017/08/04,11850
2017/08/05,11916
2017/08/06,11986
2017/08/07,12038
2017/08/08,12082
2017/08/09,12083
2017/08/10,12153
2017/08/11,13196
2017/08/12,13361
2017/08/13,13584
2017/08/14,13592
2017/08/15,13529
2017/08/16,13429
2017/08/17,13423
2017/08/18,13398
2017/08/19,13437
2017/08/20,13351
2017/08/21,13391
2017/08/22,13437
2017/08/23,13461
2017/08/24,13479
2017/08/25,13509
2017/08/26,13615
2017/08/27,13648
2017/08/28,13859
2017/08/29,13747
2017/08/30,14288
2017/08/31,14272
2017/09/01,14243
2017/09/02,14227
2017/09/03,14160
2017/09/04,13981
2017/09/05,13909
2017/09/06,13863
2017/09/07,13875
2017/09/08,13915
2017/09/09,13905
2017/09/10,13341
2017/09/11,12946
2017/09/12,12896
2017/09/13,12713
2017/09/14,12476
2017/09/15,12497
2017/09/16,12571
2017/09/17,12585
2017/09/18,12565
2017/09/19,12528
2017/09/20,12546
2017/09/21,12591
2017/09/22,12634
2017/09/23,12572
2017/09/24,12612
2017/09/25,12655
2017/09/26,12691
2017/09/27,12725
2017/09/28,12751
2017/09/29,12792
2017/09/30,12815
2017/10/01,12760
2017/10/02,12732
2017/10/03,12768
2017/10/04,12740
2017/10/05,12726
2017/10/06,12700
2017/10/07,12595
2017/10/08,12580
2017/10/09,12569
2017/10/10,12566
2017/10/11,12562
2017/10/12,12499
2017/10/13,12418
2017/10/14,12406
2017/10/15,12406
2017/10/16,12383
2017/10/17,12347
2017/10/18,12302
2017/10/19,12217
2017/10/20,12185
2017/10/21,12172
2017/10/22,12165
2017/10/23,12068
2017/10/24,12045
2017/10/25,11993
2017/10/26,11921
2017/10/27,11982
2017/10/28,12193
2017/10/29,12380
2017/10/30,12586
2017/10/31,12780
2017/11/01,12771
2017/11/02,12753
2017/11/03,12760
2017/11/04,12784
2017/11/05,12824
2017/11/06,12866
2017/11/07,12916
2017/11/08,12756
2017/11/09,11200
2017/11/10,10705
2017/11/11,10074
2017/11/12,9944
2017/11/13,9916
2017/11/14,9922
2017/11/15,9920
2017/11/16,9918
2017/11/17,9918
2017/11/18,9919
2017/11/19,9918
2017/11/20,9926
2017/11/21,9928
2017/11/22,9930
2017/11/23,9943
2017/11/24,9916
2017/11/25,9689
2017/11/26,9031
2017/11/27,8881
2017/11/28,7434
2017/11/29,7592
2017/11/30,7656
2017/12/01,7665
2017/12/02,7792
2017/12/03,7848
2017/12/04,7893
2017/12/05,7909
2017/12/06,7912
2017/12/07,7926
2017/12/08,7857
2017/12/09,7807
2017/12/10,7850
2017/12/11,7911
2017/12/12,7905
2017/12/13,7905
2017/12/14,7904
2017/12/15,7898
2017/12/16,7909
2017/12/17,7826
2017/12/18,7798
2017/12/19,7798
2017/12/20,7807
2017/12/21,7810
2017/12/22,7808
2017/12/23,7800
2017/12/24,7812
2017/12/25,7833
2017/12/26,7834
2017/12/27,7834
2017/12/28,7830
2017/12/29,7820
2017/12/30,7779
2017/12/31,7778
2018/01/01,7410
2018/01/02,7324
2018/01/03,7330
2018/01/04,7424
2018/01/05,7514
2018/01/06,7556
2018/01/07,7576
2018/01/08,7664
2018/01/09,7793
2018/01/10,8100
2018/01/11,8227
2018/01/12,8282
2018/01/13,8291
2018/01/14,9448
2018/01/15,9463
2018/01/16,9501
2018/01/17,9506
2018/01/18,9493
2018/01/19,9473
2018/01/20,9446
2018/01/21,9444
2018/01/22,9435
2018/01/23,9411
2018/01/24,9380
2018/01/25,9191
2018/01/26,8951
2018/01/27,8704
2018/01/28,8436
2018/01/29,8154
2018/01/30,8139
2018/01/31,8128
2018/02/01,8111
2018/02/02,8065
2018/02/03,8029
2018/02/04,8025
2018/02/05,7989
2018/02/06,7995
2018/02/07,8018
2018/02/08,8113
2018/02/09,8178
2018/02/10,8219
2018/02/11,8300
2018/02/12,8358
2018/02/13,8379
2018/02/14,8429
2018/02/15,8460
2018/02/16,8506
2018/02/17,8564
2018/02/18,8616
2018/02/19,8686
2018/02/20,8746
2018/02/21,8802
2018/02/22,8825
2018/02/23,8875
2018/02/24,8931
2018/02/25,8961
2018/02/26,8870
2018/02/27,8708
2018/02/28,8653
2018/03/01,8650
2018/03/02,8596
2018/03/03,8630
2018/03/04,8671
2018/03/05,8766
2018/03/06,8849
2018/03/07,8936
2018/03/08,9013
2018/03/09,9071
2018/03/10,9137
2018/03/11,9200
2018/03/12,9292
2018/03/13,9351
2018/03/14,9424
2018/03/15,9504
2018/03/16,9592
2018/03/17,9680
2018/03/18,9741
2018/03/19,9809
2018/03/20,9857
2018/03/21,9912
2018/03/22,9978
2018/03/23,10042
2018/03/24,10118
2018/03/25,10192
2018/03/26,10248
2018/03/27,10292
2018/03/28,10324
2018/03/29,10348
2018/03/30,10374
2018/03/31,10435
2018/04/01,10498
2018/04/02,10523
2018/04/03,10546
2018/04/04,10456
2018/04/05,10362
2018/04/06,10316
2018/04/07,10293
2018/04/08,10168
2018/04/09,9973
2018/04/10,9543
2018/04/11,9264
2018/04/12,9093
2018/04/13,9018
2018/04/14,7104
2018/04/15,6895
2018/04/16,6628
2018/04/17,6438
2018/04/18,6228
2018/04/19,6143
2018/04/20,6057
2018/04/21,6000
2018/04/22,5888
2018/04/23,5765
2018/04/24,5616
2018/04/25,5600
2018/04/26,5364
2018/04/27,5255
2018/04/28,5066
2018/04/29,4842
2018/04/30,4554
2018/05/01,4269
2018/05/02,4044
2018/05/03,3675
2018/05/04,3531
2018/05/05,3463
2018/05/06,3360
2018/05/07,3226
2018/05/08,3078
2018/05/09,3046
2018/05/10,2970
2018/05/11,2862
2018/05/12,2831
2018/05/13,2780
2018/05/14,2547
2018/05/15,2417
2018/05/16,2210
2018/05/17,2054
2018/05/18,1927
2018/05/19,1796
2018/05/20,1710
2018/05/21,1589
2018/05/22,1479
2018/05/23,1130
2018/05/24,1045
2018/05/25,978.076
2018/05/26,972.593
2018/05/27,931.673
2018/05/28,928.157
2018/05/29,925.15
2018/05/30,915.814
2018/05/31,913.958
2018/06/01,916.029
2018/06/02,922.709
2018/06/03,931.753
2018/06/04,917.356
2018/06/05,911.931
2018/06/06,911.982
2018/06/07,908.585
2018/06/08,912.951
2018/06/09,919.311
2018/06/10,920.16
2018/06/11,883.618
2018/06/12,886.291
2018/06/13,908.665
2018/06/14,937.576
2018/06/15,951.899
2018/06/16,944.962
2018/06/17,951.563
2018/06/18,954.42
2018/06/19,955.192
2018/06/20,955.227
2018/06/21,955.871
2018/06/22,951.178
2018/06/23,953.456
2018/06/24,954.004
2018/06/25,949.429
2018/06/26,947.128
2018/06/27,947.84
2018/06/28,951.884
2018/06/29,948.733
2018/06/30,948.909
2018/07/01,954.859
