Date,activeaddresses3var
2017/12/31,9433390614
2018/01/01,12918218063
2018/01/02,9975972255
2018/01/03,18780629522
2018/01/04,10697049314
2018/01/05,3369240450
2018/01/06,3985467383
2018/01/07,4477315416
2018/01/08,1520563262
2018/01/09,2726945462
2018/01/10,849551426
2018/01/11,805458640
2018/01/12,1553684061
2018/01/13,1294523096
2018/01/14,1221843494
2018/01/15,3469960948
2018/01/16,7450699905
2018/01/17,803813953
2018/01/18,940591873
2018/01/19,12015031300
2018/01/20,14902240085
2018/01/21,2709147414
2018/01/22,2384232763
2018/01/23,1587098174
2018/01/24,841439165
2018/01/25,5456173122
2018/01/26,5973237735
2018/01/27,5357814802
2018/01/28,1774065633
2018/01/29,1331821860
2018/01/30,553724321
2018/01/31,305699081
2018/02/01,2119263896
2018/02/02,1948488088
2018/02/03,6064277628
2018/02/04,5944674350
2018/02/05,869641872
2018/02/06,1389036339
2018/02/07,848460934
2018/02/08,6253904638
2018/02/09,2697260486
2018/02/10,3209713084
2018/02/11,949220060
2018/02/12,1246642536
2018/02/13,1448760981
2018/02/14,1388938185
2018/02/15,132821996
2018/02/16,875540963
2018/02/17,918068805
2018/02/18,41525949
2018/02/19,961592224
2018/02/20,2313789244
2018/02/21,664833638
2018/02/22,1503734510
2018/02/23,1030193427
2018/02/24,1601748691
2018/02/25,703643694
2018/02/26,1799292347
2018/02/27,1240980834
2018/02/28,211445981
2018/03/01,185046150
2018/03/02,202510898
2018/03/03,652111069
2018/03/04,1348673413
2018/03/05,1342749825
2018/03/06,1788485787
2018/03/07,2141670490
2018/03/08,2651931194
2018/03/09,3567377600
2018/03/10,469113708
2018/03/11,832791001
2018/03/12,560582450
2018/03/13,847150516
2018/03/14,395944500
2018/03/15,259572780
2018/03/16,512302182
2018/03/17,673107820
2018/03/18,362608321
2018/03/19,1143741918
2018/03/20,400316606
2018/03/21,342695791
2018/03/22,178049886
2018/03/23,894925562
2018/03/24,951794106
2018/03/25,3609000289
2018/03/26,1580667974
2018/03/27,942707222
2018/03/28,405365483
2018/03/29,152697885
2018/03/30,389397117
2018/03/31,417065494
2018/04/01,923126129
2018/04/02,260125727
2018/04/03,887205808
2018/04/04,191943373
2018/04/05,617268365
2018/04/06,598901839
2018/04/07,1185079489
2018/04/08,479971421
2018/04/09,548218070
2018/04/10,243136058
2018/04/11,251435849
2018/04/12,770703596
2018/04/13,753294634
2018/04/14,878604433
2018/04/15,866541713
2018/04/16,118610058
2018/04/17,292359634
2018/04/18,112431747
2018/04/19,223335540
2018/04/20,618453525
2018/04/21,185252547
2018/04/22,80350194
2018/04/23,391872858
2018/04/24,302548540
2018/04/25,619887120
2018/04/26,812171481
2018/04/27,201241825
2018/04/28,138057625
2018/04/29,103378323
2018/04/30,371372100
2018/05/01,460057926
2018/05/02,533166126
2018/05/03,1512629124
2018/05/04,15283613633
2018/05/05,13495499905
2018/05/06,15974266720
2018/05/07,218882754
2018/05/08,496972440
2018/05/09,207965317
2018/05/10,48252838
2018/05/11,68930336
2018/05/12,73850264
2018/05/13,129382008
2018/05/14,134449418
2018/05/15,76214400
2018/05/16,98079940
2018/05/17,445275673
2018/05/18,134408203
2018/05/19,322967563
2018/05/20,918396131
2018/05/21,1434782195
2018/05/22,179475356
2018/05/23,335330094
2018/05/24,37647385
2018/05/25,294249185
2018/05/26,185868124
2018/05/27,117712857
2018/05/28,1022802739
2018/05/29,532128027
2018/05/30,496136485
2018/05/31,23006737
2018/06/01,755565447
2018/06/02,492318209
2018/06/03,651957068
2018/06/04,221524242
2018/06/05,389019374
2018/06/06,107105674
2018/06/07,29232005
2018/06/08,412646147
2018/06/09,30273365145
2018/06/10,37715809923
2018/06/11,45129404065
2018/06/12,49672856130
2018/06/13,459374665
2018/06/14,135828780
2018/06/15,89051378
2018/06/16,1738910874
2018/06/17,1619621409
2018/06/18,389418029
2018/06/19,351743246
2018/06/20,500170123
2018/06/21,62425269
2018/06/22,40643117
2018/06/23,392611469
2018/06/24,517712764
2018/06/25,3704742702
2018/06/26,3571666833
2018/06/27,2946299205
2018/06/28,234200207
2018/06/29,66577758
2018/06/30,6227226902
2018/07/01,9280266228
2018/07/02,856733040
2018/07/03,421173068
2018/07/04,4636424
2018/07/05,245495532
2018/07/06,342860762
2018/07/07,450186641
2018/07/08,914803830
2018/07/09,1661553984
2018/07/10,253843138
2018/07/11,116608258
2018/07/12,469971618
2018/07/13,515860709
2018/07/14,363327518
2018/07/15,66848162
2018/07/16,5733463620
2018/07/17,5915873984
2018/07/18,1548472288
2018/07/19,1044390136
2018/07/20,1632693486
2018/07/21,1781002085
2018/07/22,781591134
2018/07/23,2269745683
2018/07/24,1089276498
2018/07/25,253048042
2018/07/26,455660293
2018/07/27,482623523
2018/07/28,524171843
2018/07/29,512142844
2018/07/30,191325923
2018/07/31,92778702
2018/08/01,43849667
2018/08/02,118238381
2018/08/03,274618096
2018/08/04,676457418
2018/08/05,1087551521
2018/08/06,56001041
2018/08/07,315157932
2018/08/08,1407984900
2018/08/09,483989909
2018/08/10,28457082701
2018/08/11,28783362404
2018/08/12,0
2018/08/13,44066294278
2018/08/14,41850429382
2018/08/15,274034134
2018/08/16,340281601
2018/08/17,910374534
2018/08/18,1187662156
2018/08/19,16367145
2018/08/20,499542422
2018/08/21,649472332
2018/08/22,590277260
2018/08/23,27642128
2018/08/24,18287235
2018/08/25,11242228
2018/08/26,29929030
2018/08/27,210510405
2018/08/28,82991896
2018/08/29,1213493390
2018/08/30,808032013
2018/08/31,192474250
2018/09/01,465281384
2018/09/02,744871108
2018/09/03,60347031
2018/09/04,311173022
2018/09/05,233880684
2018/09/06,65467365
2018/09/07,86609608
2018/09/08,91691762
2018/09/09,86862606
2018/09/10,986085
2018/09/11,128999473
2018/09/12,104761686
2018/09/13,44378443
2018/09/14,128482968
2018/09/15,859793029
2018/09/16,450792261
2018/09/17,797546745
2018/09/18,640705731
2018/09/19,446148504
2018/09/20,70776065
2018/09/21,243921516
2018/09/22,281363676
2018/09/23,360031025
2018/09/24,549617
2018/09/25,82475860
2018/09/26,90735938
2018/09/27,78074312
2018/09/28,71657361
2018/09/29,403313822
2018/09/30,427253342
2018/10/01,307884344
2018/10/02,91219544
2018/10/03,734318168
2018/10/04,957678008
2018/10/05,170256534
2018/10/06,331238138
2018/10/07,1186803469
2018/10/08,1202009911
2018/10/09,118555404
2018/10/10,98817016
2018/10/11,129496215
2018/10/12,106825378
2018/10/13,27627239
2018/10/14,13410156
2018/10/15,255865030
2018/10/16,397512395
2018/10/17,24137267
2018/10/18,51972849
2018/10/19,82791415
2018/10/20,33165342
2018/10/21,164706753
2018/10/22,422168395
2018/10/23,439037717
2018/10/24,68089547
2018/10/25,20429654
2018/10/26,14604198
2018/10/27,179820530
2018/10/28,210846069
2018/10/29,908031667
2018/10/30,862861254
2018/10/31,18249767
2018/11/01,156630708
2018/11/02,710306061
2018/11/03,534151236
2018/11/04,19296108
2018/11/05,529552400
2018/11/06,377631811
2018/11/07,166022673
2018/11/08,104672380
2018/11/09,99323160
2018/11/10,140989544
2018/11/11,283027616
2018/11/12,305725710
2018/11/13,78219787
2018/11/14,42115058
2018/11/15,36005142
2018/11/16,94065898
2018/11/17,204753258
2018/11/18,210288571
2018/11/19,1770553744
2018/11/20,1746753410
2018/11/21,647008337
2018/11/22,562640290
2018/11/23,18731890
2018/11/24,294929095
2018/11/25,286493393
2018/11/26,277718629
2018/11/27,34448406
2018/11/28,187092139
2018/11/29,265781408
2018/11/30,231213533
2018/12/01,284595110
2018/12/02,480779162
2018/12/03,110147778
2018/12/04,114455596
2018/12/05,113503040
2018/12/06,121444805
2018/12/07,61618201
2018/12/08,173674536
2018/12/09,195680111
2018/12/10,199900430
2018/12/11,186764243
2018/12/12,243438950
2018/12/13,963990
2018/12/14,2117422
2018/12/15,28523875
2018/12/16,145535142
2018/12/17,59627269
2018/12/18,170647321
2018/12/19,136579775
2018/12/20,187753859
2018/12/21,13847939
2018/12/22,696862556
2018/12/23,439284648
2018/12/24,726738388
2018/12/25,306726566
2018/12/26,247937222
2018/12/27,36633484
2018/12/28,90555440
2018/12/29,65994718
2018/12/30,409764078
2018/12/31,212559120
2019/01/01,152985750
2019/01/02,307992983
2019/01/03,667934935
2019/01/04,164811726
2019/01/05,378891416
2019/01/06,50969035
2019/01/07,297834051
2019/01/08,373259878
2019/01/09,13866229
2019/01/10,13856617
2019/01/11,90675706
2019/01/12,995453409
2019/01/13,561145381
2019/01/14,1773788491
2019/01/15,1059275853
2019/01/16,553898404
2019/01/17,208947800
2019/01/18,9180817
2019/01/19,56207236
2019/01/20,157163874
2019/01/21,98385593
2019/01/22,98398326
2019/01/23,52481298
2019/01/24,50557478
2019/01/25,10870016
2019/01/26,135525022
2019/01/27,135748773
2019/01/28,644701551
2019/01/29,283012641
2019/01/30,250435131
2019/01/31,24597050
2019/02/01,51387785
2019/02/02,342334945
2019/02/03,419507051
2019/02/04,136750893
2019/02/05,10471083
2019/02/06,21314535
2019/02/07,10742246
2019/02/08,105001070
2019/02/09,116157717
2019/02/10,244294567
2019/02/11,145642068
2019/02/12,252081828
2019/02/13,58357046
2019/02/14,26921394
2019/02/15,11794827
2019/02/16,45312294
2019/02/17,92212153
2019/02/18,732803055
2019/02/19,736400792
2019/02/20,151940022
2019/02/21,210232644
2019/02/22,25571761
2019/02/23,29638271
2019/02/24,69031684
2019/02/25,134594499
2019/02/26,14527819
2019/02/27,2525899
2019/02/28,12134404
2019/03/01,22326901
2019/03/02,64211245
2019/03/03,273387428
2019/03/04,392681563
2019/03/05,568211411
2019/03/06,2801898
2019/03/07,10919971
2019/03/08,6388389
2019/03/09,2869439
2019/03/10,475518204
2019/03/11,331041630
