Date,sentbyaddress3rsi
2018/12/10,48.234
2018/12/11,34.008
2018/12/12,45.221
2018/12/13,39.252
2018/12/14,40.732
2018/12/15,71.402
2018/12/16,70.046
2018/12/17,49.319
2018/12/18,22.746
2018/12/19,68.123
2018/12/20,69.184
2018/12/21,46.721
2018/12/22,17.006
2018/12/23,50.234
2018/12/24,62.557
2018/12/25,47.078
2018/12/26,60.6
2018/12/27,66.488
2018/12/28,65.026
2018/12/29,78.775
2018/12/30,23.991
2018/12/31,48.828
2019/01/01,29.972
2019/01/02,62.909
2019/01/03,73.884
2019/01/04,44.558
2019/01/05,36.191
2019/01/06,42.585
2019/01/07,64.159
2019/01/08,69.237
2019/01/09,60.893
2019/01/10,48.859
2019/01/11,43.678
2019/01/12,9.01
2019/01/13,22.573
2019/01/14,77.843
2019/01/15,57.088
2019/01/16,38.028
2019/01/17,39.183
2019/01/18,41.915
2019/01/19,31.587
2019/01/20,25.791
2019/01/21,51.778
2019/01/22,38.538
2019/01/23,62.177
2019/01/24,56.467
2019/01/25,57.824
2019/01/26,17.659
2019/01/27,53.244
2019/01/28,75.488
2019/01/29,57.254
2019/01/30,38.918
2019/01/31,45.302
2019/02/01,36.055
2019/02/02,16.379
2019/02/03,11.96
2019/02/04,9.53
2019/02/05,22.351
2019/02/06,22.125
2019/02/07,24.524
2019/02/08,79.718
2019/02/09,40.861
2019/02/10,29.296
2019/02/11,62.575
2019/02/12,61.868
2019/02/13,72.361
2019/02/14,76.836
2019/02/15,79.804
2019/02/16,42.278
2019/02/17,35.369
2019/02/18,86.077
2019/02/19,66.235
2019/02/20,51.139
2019/02/21,36.682
2019/02/22,49.587
2019/02/23,37.671
2019/02/24,58.623
2019/02/25,48.589
2019/02/26,67.794
2019/02/27,79.469
2019/02/28,48.933
2019/03/01,77.378
2019/03/02,45.512
2019/03/03,31.264
2019/03/04,62.387
2019/03/05,70.288
2019/03/06,66.655
2019/03/07,59.826
2019/03/08,51.801
2019/03/09,65.046
2019/03/10,14.983
2019/03/11,42.787
2019/03/12,65.222
2019/03/13,55.421
2019/03/14,55.559
2019/03/15,52.679
2019/03/16,17.322
2019/03/17,32.534
2019/03/18,74.133
2019/03/19,78.821
2019/03/20,76.707
2019/03/21,41.915
2019/03/22,52.548
2019/03/23,33.706
2019/03/24,28.111
2019/03/25,81.366
2019/03/26,68.562
2019/03/27,48.719
2019/03/28,54.929
2019/03/29,56.29
2019/03/30,36.769
2019/03/31,26.375
2019/04/01,81.796
2019/04/02,90.482
2019/04/03,66.226
2019/04/04,42.063
2019/04/05,36.352
2019/04/06,20.908
2019/04/07,35.111
2019/04/08,62.329
2019/04/09,66.09
2019/04/10,39.815
2019/04/11,73.044
2019/04/12,80.195
2019/04/13,38.097
2019/04/14,22.031
2019/04/15,47.622
2019/04/16,44.224
2019/04/17,50.935
2019/04/18,62.043
2019/04/19,75.969
2019/04/20,91.461
2019/04/21,44.794
2019/04/22,43.018
2019/04/23,56.601
2019/04/24,41.397
2019/04/25,34.485
2019/04/26,27.717
2019/04/27,15.396
2019/04/28,18.738
2019/04/29,46.61
2019/04/30,71.887
2019/05/01,74.046
2019/05/02,29.002
2019/05/03,47.686
2019/05/04,32.967
2019/05/05,46.675
2019/05/06,59.959
2019/05/07,55.378
2019/05/08,62.387
2019/05/09,78.409
2019/05/10,83.831
2019/05/11,84.939
2019/05/12,50.578
2019/05/13,82.878
2019/05/14,91.556
2019/05/15,93.281
2019/05/16,95.866
2019/05/17,47.997
2019/05/18,30.468
2019/05/19,27.627
2019/05/20,52.856
2019/05/21,68.716
2019/05/22,43.67
2019/05/23,49.857
2019/05/24,64.561
2019/05/25,36.718
2019/05/26,30.657
2019/05/27,77.09
2019/05/28,55.385
2019/05/29,60.98
2019/05/30,59.18
2019/05/31,79.382
2019/06/01,94.076
2019/06/02,43.347
2019/06/03,35.672
2019/06/04,41.274
2019/06/05,28.884
2019/06/06,67.712
2019/06/07,31.715
2019/06/08,29.272
2019/06/09,57.2
2019/06/10,46.504
2019/06/11,71.858
2019/06/12,85.981
2019/06/13,42.408
2019/06/14,40.076
2019/06/15,37.443
2019/06/16,72.904
2019/06/17,37.349
2019/06/18,41.682
2019/06/19,39.371
2019/06/20,32.807
