Date,activeaddresses3ema
2017/10/29,59726
2017/10/30,29863
2017/10/31,149181
2017/11/01,216515
2017/11/02,267835
2017/11/03,267932
2017/11/04,240095
2017/11/05,223676
2017/11/06,235413
2017/11/07,242571
2017/11/08,257307
2017/11/09,267902
2017/11/10,271330
2017/11/11,253297
2017/11/12,263847
2017/11/13,262874
2017/11/14,275525
2017/11/15,303627
2017/11/16,298169
2017/11/17,305334
2017/11/18,288308
2017/11/19,282744
2017/11/20,299372
2017/11/21,310612
2017/11/22,319217
2017/11/23,323149
2017/11/24,320210
2017/11/25,316790
2017/11/26,316790
2017/11/27,350496
2017/11/28,378360
2017/11/29,411384
2017/11/30,415681
2017/12/01,399326
2017/12/02,395283
2017/12/03,410782
2017/12/04,421361
2017/12/05,421348
2017/12/06,507842
2017/12/07,457395
2017/12/08,462566
2017/12/09,450718
2017/12/10,435657
2017/12/11,477343
2017/12/12,526991
2017/12/13,576189
2017/12/14,624160
2017/12/15,617865
2017/12/16,606120
2017/12/17,599877
2017/12/18,650327
2017/12/19,723193
2017/12/20,740307
2017/12/21,783676
2017/12/22,810090
2017/12/23,732288
2017/12/24,620702
2017/12/25,566988
2017/12/26,569449
2017/12/27,604584
2017/12/28,639025
2017/12/29,727877
2017/12/30,811436
2017/12/31,736365
2018/01/01,691737
2018/01/02,778729
2018/01/03,877877
2018/01/04,998172
2018/01/05,1016685
2018/01/06,990335
2018/01/07,931041
2018/01/08,935197
2018/01/09,967393
2018/01/10,951836
2018/01/11,947450
2018/01/12,901857
2018/01/13,894154
2018/01/14,848062
2018/01/15,896786
2018/01/16,952485
2018/01/17,977621
2018/01/18,959101
2018/01/19,852283
2018/01/20,749536
2018/01/21,757791
2018/01/22,736059
2018/01/23,702291
2018/01/24,673337
2018/01/25,587248
2018/01/26,633617
2018/01/27,606480
2018/01/28,608242
2018/01/29,637818
2018/01/30,635932
2018/01/31,631689
2018/02/01,679962
2018/02/02,695853
2018/02/03,625633
2018/02/04,583720
2018/02/05,596884
2018/02/06,612665
2018/02/07,586106
2018/02/08,511657
2018/02/09,520125
2018/02/10,546736
2018/02/11,522541
2018/02/12,547842
2018/02/13,517692
2018/02/14,510282
