Date,mining_profitability14roc
2019/01/28,-11.553
2019/01/29,-8.554
2019/01/30,-4.695
2019/01/31,-6.619
2019/02/01,-6.168
2019/02/02,-2.887
2019/02/03,1.27
2019/02/04,9.51
2019/02/05,9.159
2019/02/06,2.097
2019/02/07,7.574
2019/02/08,12.327
2019/02/09,18.608
2019/02/10,1.475
2019/02/11,6.038
2019/02/12,-1.104
2019/02/13,-1.786
2019/02/14,1.509
2019/02/15,0.549
2019/02/16,-2.455
2019/02/17,-0.384
2019/02/18,13.202
2019/02/19,45.362
2019/02/20,14.169
2019/02/21,12.262
2019/02/22,10.304
2019/02/23,0.429
2019/02/24,22.32
2019/02/25,9.165
2019/02/26,9.783
2019/02/27,6.115
2019/02/28,-0.109
2019/03/01,0.872
2019/03/02,5.069
2019/03/03,1.968
2019/03/04,-11.766
2019/03/05,-29.253
2019/03/06,-3.876
2019/03/07,-3.315
2019/03/08,-7.363
2019/03/09,-3.41
2019/03/10,-7.417
2019/03/11,-0.297
2019/03/12,2.677
2019/03/13,2.798
2019/03/14,6.542
2019/03/15,7.521
2019/03/16,6.295
2019/03/17,4.684
2019/03/18,25.993
2019/03/19,10.635
2019/03/20,2.636
2019/03/21,2.86
2019/03/22,4.61
2019/03/23,2.155
2019/03/24,2.411
2019/03/25,3.677
2019/03/26,4.292
2019/03/27,10.117
2019/03/28,9.953
2019/03/29,8.94
2019/03/30,12.326
2019/03/31,12.708
2019/04/01,-7.173
2019/04/02,12.393
2019/04/03,30.378
2019/04/04,18.333
2019/04/05,20.472
2019/04/06,20.347
2019/04/07,25.543
2019/04/08,34.555
2019/04/09,27.605
2019/04/10,24.291
2019/04/11,24.321
2019/04/12,19.605
2019/04/13,9.861
2019/04/14,8.603
2019/04/15,15.262
2019/04/16,8.339
2019/04/17,1.266
2019/04/18,17.304
2019/04/19,6.763
2019/04/20,2.797
2019/04/21,-2.415
2019/04/22,-9.69
2019/04/23,-4.429
2019/04/24,-8.889
