Date,sentbyaddress7wma
2018/07/31,243940
2018/08/01,243722
2018/08/02,244122
2018/08/03,249444
2018/08/04,246648
2018/08/05,237622
2018/08/06,234149
2018/08/07,226396
2018/08/08,212708
2018/08/09,196549
2018/08/10,192728
2018/08/11,199152
2018/08/12,205884
2018/08/13,212473
2018/08/14,215810
2018/08/15,217474
2018/08/16,224804
2018/08/17,221736
2018/08/18,216143
2018/08/19,209958
2018/08/20,210774
2018/08/21,202190
2018/08/22,198450
2018/08/23,192317
2018/08/24,194843
2018/08/25,194450
2018/08/26,197304
2018/08/27,203416
2018/08/28,202310
2018/08/29,194627
2018/08/30,189056
2018/08/31,185753
2018/09/01,190064
2018/09/02,195124
2018/09/03,200612
2018/09/04,202938
2018/09/05,205256
2018/09/06,200963
2018/09/07,199023
2018/09/08,194823
2018/09/09,191699
2018/09/10,187929
2018/09/11,179676
2018/09/12,173748
2018/09/13,171936
2018/09/14,166489
2018/09/15,155114
2018/09/16,145454
2018/09/17,147166
2018/09/18,144405
2018/09/19,140852
2018/09/20,140995
2018/09/21,144372
2018/09/22,143052
2018/09/23,141813
2018/09/24,139595
2018/09/25,140278
2018/09/26,137514
2018/09/27,136234
2018/09/28,134385
2018/09/29,129774
2018/09/30,133335
2018/10/01,131789
2018/10/02,129537
2018/10/03,140668
2018/10/04,149657
2018/10/05,163442
2018/10/06,174774
2018/10/07,171771
2018/10/08,171897
2018/10/09,172789
2018/10/10,168078
2018/10/11,167804
2018/10/12,165191
2018/10/13,165444
2018/10/14,161948
2018/10/15,164187
2018/10/16,168062
2018/10/17,174916
2018/10/18,175455
2018/10/19,176461
2018/10/20,174488
2018/10/21,170546
2018/10/22,174055
2018/10/23,174295
2018/10/24,175265
2018/10/25,174599
2018/10/26,175431
2018/10/27,172651
2018/10/28,165237
2018/10/29,170600
2018/10/30,176991
2018/10/31,180828
2018/11/01,179357
2018/11/02,171774
2018/11/03,164442
2018/11/04,159712
2018/11/05,159605
2018/11/06,158991
2018/11/07,155005
2018/11/08,152154
2018/11/09,155953
2018/11/10,155094
2018/11/11,159791
2018/11/12,162062
2018/11/13,161634
2018/11/14,164659
2018/11/15,164704
2018/11/16,161663
2018/11/17,155673
2018/11/18,148852
2018/11/19,161614
2018/11/20,166477
2018/11/21,163808
2018/11/22,161458
2018/11/23,159540
2018/11/24,153020
2018/11/25,150360
2018/11/26,148888
2018/11/27,147820
2018/11/28,149082
2018/11/29,146992
2018/11/30,149036
2018/12/01,145565
2018/12/02,141768
2018/12/03,141444
2018/12/04,139922
2018/12/05,143491
2018/12/06,145175
2018/12/07,150861
2018/12/08,160651
2018/12/09,160777
2018/12/10,161474
2018/12/11,158449
2018/12/12,156596
2018/12/13,154024
2018/12/14,151594
2018/12/15,153057
2018/12/16,155255
2018/12/17,155966
2018/12/18,153594
2018/12/19,156846
2018/12/20,159798
2018/12/21,159988
2018/12/22,152320
2018/12/23,151080
2018/12/24,153133
2018/12/25,152476
2018/12/26,153921
2018/12/27,156652
2018/12/28,159357
2018/12/29,163987
2018/12/30,158808
2018/12/31,157810
2019/01/01,152109
2019/01/02,154498
2019/01/03,161190
2019/01/04,160548
2019/01/05,157581
2019/01/06,156570
2019/01/07,159264
2019/01/08,162731
2019/01/09,164125
2019/01/10,164353
2019/01/11,164839
2019/01/12,154918
2019/01/13,147372
2019/01/14,157369
2019/01/15,160685
2019/01/16,156865
2019/01/17,154205
2019/01/18,152702
2019/01/19,149571
2019/01/20,144535
2019/01/21,141965
2019/01/22,139535
2019/01/23,141193
2019/01/24,142234
2019/01/25,143372
2019/01/26,138971
2019/01/27,139151
2019/01/28,144765
2019/01/29,147137
2019/01/30,145621
2019/01/31,145199
2019/02/01,143568
2019/02/02,137092
2019/02/03,128539
2019/02/04,119682
2019/02/05,113807
2019/02/06,109603
2019/02/07,106723
2019/02/08,109898
2019/02/09,109477
2019/02/10,107183
2019/02/11,109823
2019/02/12,111834
2019/02/13,115090
2019/02/14,118456
2019/02/15,121521
2019/02/16,122226
2019/02/17,121885
2019/02/18,129887
2019/02/19,134299
2019/02/20,135773
2019/02/21,134530
2019/02/22,134625
2019/02/23,133156
2019/02/24,133404
2019/02/25,132208
2019/02/26,133665
2019/02/27,137207
2019/02/28,138175
2019/03/01,143541
2019/03/02,144016
2019/03/03,141025
2019/03/04,143449
2019/03/05,147252
2019/03/06,150018
2019/03/07,151903
2019/03/08,152664
2019/03/09,154571
2019/03/10,147920
2019/03/11,144803
2019/03/12,146544
2019/03/13,147042
2019/03/14,147785
2019/03/15,148463
2019/03/16,143577
2019/03/17,141018
2019/03/18,145594
2019/03/19,151097
2019/03/20,155958
2019/03/21,156487
2019/03/22,158140
2019/03/23,157008
2019/03/24,154200
2019/03/25,161500
2019/03/26,166133
2019/03/27,167319
2019/03/28,169501
2019/03/29,171205
2019/03/30,170465
2019/03/31,167678
2019/04/01,175014
2019/04/02,190427
2019/04/03,199475
2019/04/04,200467
2019/04/05,198905
2019/04/06,190345
2019/04/07,184208
2019/04/08,183737
2019/04/09,184633
2019/04/10,182240
2019/04/11,190925
2019/04/12,202967
2019/04/13,201605
2019/04/14,188441
2019/04/15,184534
2019/04/16,179878
2019/04/17,177785
2019/04/18,178387
2019/04/19,184587
2019/04/20,206926
2019/04/21,209954
2019/04/22,209974
2019/04/23,213844
2019/04/24,211280
2019/04/25,205605
2019/04/26,197605
2019/04/27,184286
2019/04/28,175414
2019/04/29,171625
2019/04/30,174866
2019/05/01,179662
2019/05/02,175078
2019/05/03,175275
2019/05/04,171510
2019/05/05,169988
2019/05/06,170621
2019/05/07,170472
2019/05/08,171936
2019/05/09,176927
2019/05/10,182334
2019/05/11,187271
2019/05/12,188874
2019/05/13,195682
2019/05/14,207486
2019/05/15,219142
2019/05/16,232686
2019/05/17,236083
2019/05/18,232353
2019/05/19,227033
2019/05/20,225213
2019/05/21,227033
2019/05/22,224262
2019/05/23,223433
2019/05/24,226579
2019/05/25,225211
2019/05/26,222243
2019/05/27,230238
2019/05/28,232678
2019/05/29,236591
2019/05/30,239396
2019/05/31,246804
2019/06/01,270811
2019/06/02,271237
2019/06/03,264851
2019/06/04,260977
2019/06/05,250811
2019/06/06,257712
2019/06/07,240652
2019/06/08,223713
2019/06/09,225383
2019/06/10,222568
2019/06/11,236988
2019/06/12,273446
2019/06/13,272221
2019/06/14,269788
2019/06/15,263646
2019/06/16,283613
2019/06/17,268776
2019/06/18,257076
2019/06/19,245486
2019/06/20,235102
2019/06/21,240234
2019/06/22,241814
2019/06/23,237363
2019/06/24,239638
2019/06/25,241149
2019/06/26,251065
2019/06/27,249900
2019/06/28,242258
2019/06/29,234450
2019/06/30,221800
2019/07/01,217028
2019/07/02,229211
2019/07/03,234230
2019/07/04,237883
2019/07/05,236491
2019/07/06,230092
2019/07/07,217093
2019/07/08,216167
2019/07/09,219840
2019/07/10,219975
2019/07/11,216172
2019/07/12,219270
2019/07/13,209432
2019/07/14,202293
2019/07/15,205326
2019/07/16,194408
2019/07/17,197360
2019/07/18,198201
2019/07/19,200640
2019/07/20,195381
2019/07/21,186114
2019/07/22,184422
2019/07/23,181515
2019/07/24,175407
2019/07/25,172951
2019/07/26,177143
2019/07/27,179288
2019/07/28,179161
2019/07/29,183075
2019/07/30,196094
2019/07/31,197217
2019/08/01,193343
2019/08/02,195792
2019/08/03,187845
2019/08/04,183924
2019/08/05,193904
2019/08/06,205149
2019/08/07,208212
2019/08/08,211598
2019/08/09,215753
2019/08/10,215469
2019/08/11,207524
2019/08/12,214258
2019/08/13,212858
2019/08/14,214851
2019/08/15,210124
2019/08/16,212350
2019/08/17,204426
2019/08/18,197615
2019/08/19,198554
2019/08/20,202760
2019/08/21,206940
2019/08/22,209375
2019/08/23,214555
2019/08/24,214192
2019/08/25,210771
2019/08/26,213158
2019/08/27,215869
2019/08/28,214991
2019/08/29,214994
2019/08/30,213127
2019/08/31,208654
2019/09/01,203919
2019/09/02,209055
2019/09/03,212218
2019/09/04,214833
2019/09/05,222343
2019/09/06,226114
2019/09/07,223382
2019/09/08,219333
2019/09/09,222246
2019/09/10,218995
2019/09/11,217345
2019/09/12,217483
2019/09/13,211256
2019/09/14,207077
2019/09/15,204506
2019/09/16,209663
2019/09/17,212076
2019/09/18,214635
2019/09/19,216039
2019/09/20,219501
2019/09/21,209182
2019/09/22,196502
2019/09/23,187036
2019/09/24,186389
2019/09/25,183123
2019/09/26,181786
2019/09/27,181386
2019/09/28,181172
2019/09/29,175770
2019/09/30,178677
2019/10/01,182589
2019/10/02,185398
2019/10/03,181414
2019/10/04,177392
2019/10/05,175820
2019/10/06,173028
2019/10/07,173035
2019/10/08,175995
2019/10/09,187252
2019/10/10,194705
2019/10/11,201295
2019/10/12,198706
2019/10/13,191377
2019/10/14,189673
2019/10/15,189591
2019/10/16,188176
2019/10/17,187571
2019/10/18,192599
2019/10/19,192847
2019/10/20,188225
2019/10/21,188124
2019/10/22,188499
2019/10/23,188296
2019/10/24,188109
2019/10/25,190895
