Date,hashrate7mom
2019/03/31,-9465343175736
2019/04/01,-1954894725903
2019/04/02,924676577390
2019/04/03,512195040114
2019/04/04,5239047844060
2019/04/05,3476142341673
2019/04/06,9845154665038
2019/04/07,7963820218235
2019/04/08,1519737429532
2019/04/09,4311768333421
2019/04/10,8943206749208
2019/04/11,3749694791091
2019/04/12,3887347033859
2019/04/13,5465903731042
2019/04/14,8146724294789
2019/04/15,7815257840183
2019/04/16,4055599151272
2019/04/17,-3054323051091
2019/04/18,-2830966744130
2019/04/19,1501929391438
2019/04/20,-2673752079566
2019/04/21,-3325651365581
2019/04/22,-2190608120774
2019/04/23,-1271378362738
2019/04/24,-355181644514
2019/04/25,469800950363
2019/04/26,-1956182054567
2019/04/27,2176828147943
2019/04/28,-530483117300
2019/04/29,302755367579
2019/04/30,3533122846975
2019/05/01,6064547575855
2019/05/02,4252729523629
2019/05/03,845543902513
2019/05/04,5700715859673
2019/05/05,6244671572129
2019/05/06,-124816077592
2019/05/07,1212870934509
2019/05/08,34099029655
2019/05/09,1944981252450
2019/05/10,5030440069287
2019/05/11,-2276017633464
2019/05/12,1487064970871
2019/05/13,3355186660743
2019/05/14,5635101080030
2019/05/15,9267277552317
2019/05/16,7122818318416
2019/05/17,16168893914653
2019/05/18,16687689374746
2019/05/19,10425998524821
2019/05/20,9799378778363
2019/05/21,2193247013768
2019/05/22,1930591110894
2019/05/23,1046284627760
2019/05/24,-11215597688122
2019/05/25,-9481678364611
2019/05/26,-7175518597904
2019/05/27,270567885057
2019/05/28,-1729317619890
2019/05/29,6578288586373
2019/05/30,5599233609856
2019/05/31,9345142187598
2019/06/01,6812519324859
2019/06/02,9453155749491
2019/06/03,-2605539374678
2019/06/04,3164855903686
2019/06/05,-9419914605613
2019/06/06,393242791070
2019/06/07,-1408660143961
2019/06/08,-6010484473743
2019/06/09,-10698229182585
2019/06/10,555565605442
2019/06/11,-2943994018237
2019/06/12,-827559692279
2019/06/13,-9689603150951
2019/06/14,-7814350955049
2019/06/15,-2859759359332
2019/06/16,1003901300361
2019/06/17,-2042302072718
2019/06/18,-1596964891162
2019/06/19,1708602613036
2019/06/20,3364107594692
2019/06/21,-426338551589
2019/06/22,-347550939667
