Date,sentbyaddress3ema
2018/11/26,149785
2018/11/27,149067
2018/11/28,151147
2018/11/29,145543
2018/11/30,150212
2018/12/01,141774
2018/12/02,136948
2018/12/03,140393
2018/12/04,138989
2018/12/05,147699
2018/12/06,148510
2018/12/07,157591
2018/12/08,171182
2018/12/09,162322
2018/12/10,160559
2018/12/11,153302
2018/12/12,152624
2018/12/13,150524
2018/12/14,149697
2018/12/15,155796
2018/12/16,158684
2018/12/17,157731
2018/12/18,150946
2018/12/19,158665
2018/12/20,162958
2018/12/21,160923
2018/12/22,144906
2018/12/23,147396
2018/12/24,154394
2018/12/25,152800
2018/12/26,156712
2018/12/27,160827
2018/12/28,162668
2018/12/29,167841
2018/12/30,153960
2018/12/31,154681
2019/01/01,145208
2019/01/02,155547
2019/01/03,169698
2019/01/04,163456
2019/01/05,155164
2019/01/06,153062
2019/01/07,160199
2019/01/08,166166
2019/01/09,167603
2019/01/10,166215
2019/01/11,164678
2019/01/12,143519
2019/01/13,135940
2019/01/14,165621
2019/01/15,169097
2019/01/16,156593
2019/01/17,150881
2019/01/18,148934
2019/01/19,143551
2019/01/20,138178
2019/01/21,140741
2019/01/22,138590
2019/01/23,143108
2019/01/24,144386
2019/01/25,145255
2019/01/26,134549
2019/01/27,137333
2019/01/28,150117
2019/01/29,151425
2019/01/30,145469
2019/01/31,144096
2019/02/01,140783
2019/02/02,128817
2019/02/03,118182
2019/02/04,109931
2019/02/05,107395
2019/02/06,106050
2019/02/07,105537
2019/02/08,114702
2019/02/09,111117
2019/02/10,104915
2019/02/11,111050
2019/02/12,113968
2019/02/13,118775
2019/02/14,122747
2019/02/15,125681
2019/02/16,122768
2019/02/17,120098
2019/02/18,136786
2019/02/19,140543
2019/02/20,138504
2019/02/21,132970
2019/02/22,132929
2019/02/23,130088
2019/02/24,132629
2019/02/25,132277
2019/02/26,135869
2019/02/27,141490
2019/02/28,139912
2019/03/01,148697
2019/03/02,145066
2019/03/03,137331
2019/03/04,143894
2019/03/05,151259
2019/03/06,154236
2019/03/07,154684
2019/03/08,153859
2019/03/09,155422
2019/03/10,140197
2019/03/11,139323
2019/03/12,147745
2019/03/13,149292
2019/03/14,150103
2019/03/15,150076
2019/03/16,138721
2019/03/17,135583
2019/03/18,148816
