Date,transactions7rsi
2018/03/14,47.776
2018/03/15,45.097
2018/03/16,45.108
2018/03/17,35.213
2018/03/18,53
2018/03/19,56.088
2018/03/20,48.271
2018/03/21,54.598
2018/03/22,41.673
2018/03/23,51.517
2018/03/24,42.288
2018/03/25,32.934
2018/03/26,48.328
2018/03/27,43.394
2018/03/28,42.891
2018/03/29,43.585
2018/03/30,52.422
2018/03/31,44.422
2018/04/01,38.898
2018/04/02,48.963
2018/04/03,56.407
2018/04/04,53.077
2018/04/05,62.926
2018/04/06,53.604
2018/04/07,38.162
2018/04/08,47.571
2018/04/09,49.67
2018/04/10,44.051
2018/04/11,50.47
2018/04/12,61.792
2018/04/13,65.902
2018/04/14,47.2
2018/04/15,48.46
2018/04/16,54.811
2018/04/17,63.959
2018/04/18,57.155
2018/04/19,68.23
2018/04/20,69.703
2018/04/21,55.309
2018/04/22,55.651
2018/04/23,62.254
2018/04/24,63.815
2018/04/25,60.083
2018/04/26,58.887
2018/04/27,51.983
2018/04/28,54.289
2018/04/29,49.512
2018/04/30,54.846
2018/05/01,40.067
2018/05/02,55.972
2018/05/03,63.833
2018/05/04,78.032
2018/05/05,48.732
2018/05/06,40.502
2018/05/07,50.345
2018/05/08,53.12
2018/05/09,54.209
2018/05/10,56.729
2018/05/11,52.633
2018/05/12,47.405
2018/05/13,43.883
2018/05/14,50.36
2018/05/15,46.757
2018/05/16,51.787
2018/05/17,56.643
2018/05/18,55.74
2018/05/19,58.575
2018/05/20,43.176
2018/05/21,48.844
2018/05/22,53.252
2018/05/23,55.672
2018/05/24,49.605
2018/05/25,46.836
2018/05/26,37.61
2018/05/27,42.405
2018/05/28,62.615
2018/05/29,50.693
2018/05/30,51.754
2018/05/31,55.392
2018/06/01,39.063
2018/06/02,41.723
2018/06/03,52.072
2018/06/04,51.354
2018/06/05,44.635
2018/06/06,38.71
2018/06/07,45.605
2018/06/08,34.118
2018/06/09,47.719
2018/06/10,48.187
2018/06/11,47.572
2018/06/12,47.982
2018/06/13,56.873
2018/06/14,46.218
2018/06/15,45.555
2018/06/16,22.975
2018/06/17,26.002
2018/06/18,40.644
2018/06/19,57.782
2018/06/20,61.573
2018/06/21,50.472
2018/06/22,53.967
2018/06/23,37.939
2018/06/24,37.401
2018/06/25,63.105
2018/06/26,48.37
2018/06/27,53.195
2018/06/28,49.509
2018/06/29,48.121
2018/06/30,35.786
2018/07/01,34.734
2018/07/02,24.099
2018/07/03,38.061
2018/07/04,28.767
2018/07/05,39.702
2018/07/06,34.449
2018/07/07,37.948
2018/07/08,54.599
2018/07/09,56.486
2018/07/10,60.248
2018/07/11,53.739
2018/07/12,44.594
2018/07/13,44.284
2018/07/14,38.156
2018/07/15,32.778
2018/07/16,61.477
2018/07/17,61.147
2018/07/18,64.794
2018/07/19,63.033
2018/07/20,53.654
2018/07/21,47.054
2018/07/22,54.122
2018/07/23,62.914
2018/07/24,65.351
2018/07/25,65.619
2018/07/26,54.247
2018/07/27,62.064
2018/07/28,48.956
2018/07/29,50.723
2018/07/30,56.607
2018/07/31,54.296
2018/08/01,56.381
2018/08/02,60.09
2018/08/03,53.669
2018/08/04,46.579
2018/08/05,43.251
2018/08/06,42.233
2018/08/07,30.867
2018/08/08,22.845
2018/08/09,20.463
2018/08/10,40.549
2018/08/11,49.176
2018/08/12,46.393
2018/08/13,56.329
2018/08/14,55.293
2018/08/15,46.264
2018/08/16,59.006
2018/08/17,40.856
2018/08/18,44.538
2018/08/19,40.492
2018/08/20,52.16
2018/08/21,43.2
2018/08/22,41.653
2018/08/23,42.695
2018/08/24,42.072
2018/08/25,38.352
2018/08/26,37.703
2018/08/27,56.964
2018/08/28,49.066
2018/08/29,36.666
2018/08/30,47.329
2018/08/31,44.376
2018/09/01,59.366
2018/09/02,51.929
2018/09/03,54.013
2018/09/04,45.39
2018/09/05,53.18
2018/09/06,45.495
2018/09/07,44.168
2018/09/08,36.954
2018/09/09,43.169
2018/09/10,42.285
2018/09/11,41.248
2018/09/12,46.08
2018/09/13,41.611
2018/09/14,31.697
2018/09/15,25.699
