Date,activeaddresses30roc
2017/08/03,-19.023
2017/08/04,-3.349
2017/08/05,-1.823
2017/08/06,-15.85
2017/08/07,16.256
2017/08/08,43.047
2017/08/09,-4.238
2017/08/10,17.058
2017/08/11,23.132
2017/08/12,31.159
2017/08/13,28.474
2017/08/14,74.206
2017/08/15,64.483
2017/08/16,62.418
2017/08/17,54.691
2017/08/18,60
2017/08/19,35.197
2017/08/20,21.895
2017/08/21,79.482
2017/08/22,23.035
2017/08/23,47.641
2017/08/24,39.184
2017/08/25,57.102
2017/08/26,20.533
2017/08/27,20.487
2017/08/28,66.311
2017/08/29,76.308
2017/08/30,44.035
2017/08/31,81.796
2017/09/01,61.867
2017/09/02,41.925
2017/09/03,14.231
2017/09/04,72.822
2017/09/05,69.887
2017/09/06,66.451
2017/09/07,26.466
2017/09/08,45.838
2017/09/09,7.909
2017/09/10,-8.922
2017/09/11,12.619
2017/09/12,32.938
2017/09/13,-11.091
2017/09/14,0.156
2017/09/15,14.705
2017/09/16,-16.024
2017/09/17,-33.832
2017/09/18,6.642
2017/09/19,13.893
2017/09/20,-13.374
2017/09/21,-7.547
2017/09/22,-28.999
2017/09/23,-24.36
2017/09/24,-23.444
2017/09/25,5.244
2017/09/26,-3.537
2017/09/27,-14.116
2017/09/28,-18.162
2017/09/29,-18.648
2017/09/30,-30.94
2017/10/01,-32.05
2017/10/02,-9.637
2017/10/03,4.947
2017/10/04,-36.138
2017/10/05,-32.215
2017/10/06,-36.877
2017/10/07,-32.331
2017/10/08,-32.408
2017/10/09,-18.649
2017/10/10,10.417
2017/10/11,-8.026
2017/10/12,-19.338
2017/10/13,5.693
2017/10/14,-20.215
2017/10/15,-33.74
2017/10/16,-10.575
2017/10/17,37.247
2017/10/18,-6.121
2017/10/19,-0.328
2017/10/20,14.453
2017/10/21,14.58
2017/10/22,43.834
2017/10/23,45.696
2017/10/24,40.859
2017/10/25,15.257
2017/10/26,25.281
2017/10/27,19.329
2017/10/28,-100
2017/10/29,-100
2017/10/30,-100
2017/10/31,52.317
2017/11/01,41.334
2017/11/02,53.095
2017/11/03,39.897
2017/11/04,7.65
2017/11/05,6.097
2017/11/06,34.285
2017/11/07,32.037
2017/11/08,36.836
2017/11/09,20.305
2017/11/10,23.612
2017/11/11,3.993
2017/11/12,7.045
2017/11/13,22.818
2017/11/14,41.533
2017/11/15,60.262
2017/11/16,11.631
2017/11/17,32.347
2017/11/18,19.25
2017/11/19,10.984
2017/11/20,32.184
2017/11/21,26.388
2017/11/22,31.522
2017/11/23,28.036
2017/11/24,37.352
2017/11/25,30.506
2017/11/26,33.65
2017/11/27,0
2017/11/28,0
2017/11/29,0
2017/11/30,56.417
2017/12/01,34.92
2017/12/02,22.587
2017/12/03,59.043
2017/12/04,103.496
2017/12/05,103.292
2017/12/06,140.475
2017/12/07,62.956
2017/12/08,71.936
2017/12/09,57.586
2017/12/10,53.078
2017/12/11,120.616
2017/12/12,110.148
2017/12/13,138.788
2017/12/14,133.236
2017/12/15,84.358
2017/12/16,103.059
2017/12/17,89.963
2017/12/18,158.32
2017/12/19,187.199
2017/12/20,139.69
2017/12/21,156.964
2017/12/22,155.17
2017/12/23,100.1
