Date,sentbyaddress14mom
2018/02/12,-32731
2018/02/13,-61245
2018/02/14,-36250
2018/02/15,-82459
2018/02/16,-113936
2018/02/17,-46619
2018/02/18,-62100
2018/02/19,-42556
2018/02/20,-26724
2018/02/21,-21437
2018/02/22,3967
2018/02/23,-37533
2018/02/24,-79000
2018/02/25,-57358
2018/02/26,-33621
2018/02/27,-5615
2018/02/28,-14835
2018/03/01,-24398
2018/03/02,15164
2018/03/03,-18344
2018/03/04,-41206
2018/03/05,-14396
2018/03/06,-26343
2018/03/07,89885
2018/03/08,-2886
2018/03/09,-3945
2018/03/10,6704
2018/03/11,-17288
2018/03/12,-49030
2018/03/13,-13735
2018/03/14,4192
2018/03/15,-15176
2018/03/16,-36364
2018/03/17,-12375
2018/03/18,15617
2018/03/19,-2940
2018/03/20,-43943
2018/03/21,-116437
2018/03/22,-30667
2018/03/23,61496
2018/03/24,37998
2018/03/25,-17484
2018/03/26,5585
2018/03/27,-26050
2018/03/28,-69070
2018/03/29,-18600
2018/03/30,14917
2018/03/31,-10021
2018/04/01,-37692
2018/04/02,-47351
2018/04/03,0
2018/04/04,-34562
2018/04/05,27583
2018/04/06,-71184
2018/04/07,-58078
2018/04/08,31724
2018/04/09,10119
2018/04/10,1801
2018/04/11,28732
2018/04/12,32199
2018/04/13,23998
2018/04/14,24247
2018/04/15,35094
2018/04/16,23673
2018/04/17,3560
2018/04/18,22501
2018/04/19,11937
2018/04/20,39820
2018/04/21,60111
2018/04/22,74455
2018/04/23,72323
2018/04/24,83260
2018/04/25,43222
2018/04/26,17361
2018/04/27,-132
2018/04/28,23162
2018/04/29,21872
2018/04/30,33838
2018/05/01,7074
2018/05/02,37780
2018/05/03,43507
2018/05/04,281743
2018/05/05,54742
2018/05/06,-19988
2018/05/07,2947
2018/05/08,17326
2018/05/09,27207
2018/05/10,32749
2018/05/11,43602
2018/05/12,47865
2018/05/13,33639
2018/05/14,36106
2018/05/15,76818
2018/05/16,43817
2018/05/17,28056
2018/05/18,-226610
2018/05/19,23619
2018/05/20,40014
2018/05/21,-3898
2018/05/22,28891
2018/05/23,26980
2018/05/24,15497
2018/05/25,11888
2018/05/26,14654
2018/05/27,42606
2018/05/28,40370
2018/05/29,19295
2018/05/30,-475
2018/05/31,3141
2018/06/01,-33567
2018/06/02,-14128
2018/06/03,9378
2018/06/04,4029
2018/06/05,-58263
2018/06/06,-39862
2018/06/07,-12839
2018/06/08,-24747
2018/06/09,12704
2018/06/10,8939
2018/06/11,-32472
2018/06/12,-59951
2018/06/13,-46786
