Date,price90smaUSD
2017/10/31,302.61
2017/11/01,303.461
2017/11/02,304.145
2017/11/03,304.781
2017/11/04,305.21
2017/11/05,305.562
2017/11/06,305.756
2017/11/07,305.72
2017/11/08,305.717
2017/11/09,305.903
2017/11/10,305.872
2017/11/11,305.997
2017/11/12,306.088
2017/11/13,306.381
2017/11/14,306.757
2017/11/15,307.102
2017/11/16,307.42
2017/11/17,307.853
2017/11/18,308.307
2017/11/19,308.692
2017/11/20,309.229
2017/11/21,309.736
2017/11/22,310.234
2017/11/23,310.972
2017/11/24,312.083
2017/11/25,313.534
2017/11/26,314.806
2017/11/27,316.069
2017/11/28,317.071
2017/11/29,318.02
2017/11/30,318.486
2017/12/01,319.405
2017/12/02,320.635
2017/12/03,322.305
2017/12/04,324.087
2017/12/05,325.511
2017/12/06,326.696
2017/12/07,327.865
2017/12/08,329.505
2017/12/09,331.537
2017/12/10,333.197
2017/12/11,335.001
2017/12/12,338.152
2017/12/13,342.692
2017/12/14,347.902
2017/12/15,352.471
2017/12/16,357.359
2017/12/17,362.112
2017/12/18,367.075
2017/12/19,373.029
2017/12/20,378.806
2017/12/21,384.872
2017/12/22,389.385
2017/12/23,394.313
2017/12/24,398.43
2017/12/25,403.143
2017/12/26,408.12
2017/12/27,413.074
2017/12/28,417.683
2017/12/29,422.537
2017/12/30,427.027
2017/12/31,431.714
2018/01/01,436.797
2018/01/02,442.984
2018/01/03,449.584
2018/01/04,456.814
2018/01/05,464.271
2018/01/06,471.88
2018/01/07,480.541
2018/01/08,490.034
2018/01/09,500.22
2018/01/10,511.517
2018/01/11,521.533
2018/01/12,531.476
2018/01/13,542.847
2018/01/14,554.068
2018/01/15,565.262
2018/01/16,574.491
2018/01/17,581.671
2018/01/18,589.885
2018/01/19,598.243
2018/01/20,607.451
2018/01/21,616.35
2018/01/22,624.408
2018/01/23,632.071
2018/01/24,640.066
2018/01/25,648.684
2018/01/26,657.076
2018/01/27,665.739
2018/01/28,675.536
2018/01/29,685.349
2018/01/30,694.69
2018/01/31,703.746
2018/02/01,712.814
2018/02/02,719.826
2018/02/03,727.153
2018/02/04,733.933
2018/02/05,739.278
2018/02/06,743.486
2018/02/07,748.83
2018/02/08,754.434
2018/02/09,760.274
2018/02/10,766.522
2018/02/11,772.196
2018/02/12,778.085
2018/02/13,783.77
2018/02/14,789.949
2018/02/15,796.631
2018/02/16,803.305
2018/02/17,810.097
2018/02/18,816.585
2018/02/19,822.991
2018/02/20,829.359
2018/02/21,834.594
2018/02/22,839.053
2018/02/23,843.263
2018/02/24,847.552
2018/02/25,851.609
2018/02/26,855.951
2018/02/27,860.483
2018/02/28,865.326
2018/03/01,870.023
2018/03/02,874.484
2018/03/03,878.855
2018/03/04,883.197
2018/03/05,887.644
2018/03/06,892.016
2018/03/07,895.965
2018/03/08,899.161
2018/03/09,901.473
2018/03/10,904.543
2018/03/11,907.163
2018/03/12,908.875
2018/03/13,909.221
2018/03/14,908.705
2018/03/15,907.958
2018/03/16,907.026
2018/03/17,905.572
2018/03/18,903.061
2018/03/19,899.911
2018/03/20,897.101
2018/03/21,894.44
2018/03/22,892.962
2018/03/23,890.679
2018/03/24,889.294
2018/03/25,887.137
2018/03/26,884.415
2018/03/27,881.228
2018/03/28,878.383
2018/03/29,874.791
2018/03/30,871.241
2018/03/31,867.689
2018/04/01,863.595
2018/04/02,858.433
2018/04/03,853.036
2018/04/04,846.818
2018/04/05,840.133
2018/04/06,833.199
2018/04/07,825.457
2018/04/08,817.032
2018/04/09,807.995
