Date,mediantransactionvalue14stdUSD
2018/06/24,0.079
2018/06/25,0.078
2018/06/26,0.077
2018/06/27,0.077
2018/06/28,0.049
2018/06/29,0.055
2018/06/30,0.055
2018/07/01,0.055
2018/07/02,9.7
2018/07/03,9.7
2018/07/04,13.372
2018/07/05,13.294
2018/07/06,14.148
2018/07/07,13.995
2018/07/08,13.988
2018/07/09,13.99
2018/07/10,13.991
2018/07/11,13.991
2018/07/12,13.995
2018/07/13,14.002
2018/07/14,13.97
2018/07/15,13.781
2018/07/16,11.366
2018/07/17,11.366
2018/07/18,6.965
2018/07/19,6.902
2018/07/20,2.305
2018/07/21,1.923
2018/07/22,1.927
2018/07/23,1.927
2018/07/24,1.927
2018/07/25,1.927
2018/07/26,1.927
2018/07/27,1.927
2018/07/28,1.932
2018/07/29,0.003
2018/07/30,0.003
2018/07/31,0.009
2018/08/01,0.009
2018/08/02,0.009
2018/08/03,0.009
2018/08/04,0.009
2018/08/05,0.009
2018/08/06,0.009
2018/08/07,1.245
2018/08/08,11.502
2018/08/09,14.146
2018/08/10,14.227
2018/08/11,14.227
2018/08/12,14.227
2018/08/13,14.227
2018/08/14,14.225
2018/08/15,14.225
2018/08/16,14.225
2018/08/17,14.149
2018/08/18,14.149
2018/08/19,14.149
2018/08/20,14.149
2018/08/21,14.284
2018/08/22,10.03
2018/08/23,4.999
2018/08/24,3.356
2018/08/25,3.353
2018/08/26,3.352
2018/08/27,3.352
2018/08/28,3.345
2018/08/29,3.341
2018/08/30,3.34
2018/08/31,0.173
2018/09/01,0.173
2018/09/02,0.173
2018/09/03,0.17
2018/09/04,0.207
2018/09/05,0.252
2018/09/06,0.902
2018/09/07,0.903
2018/09/08,0.907
2018/09/09,0.91
2018/09/10,0.901
2018/09/11,0.903
2018/09/12,0.902
2018/09/13,0.897
2018/09/14,0.896
2018/09/15,0.89
2018/09/16,0.882
2018/09/17,0.881
2018/09/18,0.882
2018/09/19,0.926
2018/09/20,0.6
2018/09/21,1.435
2018/09/22,1.418
2018/09/23,1.394
2018/09/24,1.458
2018/09/25,1.433
2018/09/26,1.401
2018/09/27,1.455
2018/09/28,1.489
2018/09/29,1.466
2018/09/30,1.386
2018/10/01,1.286
2018/10/02,1.272
2018/10/03,1.393
2018/10/04,1.49
2018/10/05,1.184
2018/10/06,1.252
2018/10/07,1.293
2018/10/08,1.277
2018/10/09,1.316
2018/10/10,1.334
2018/10/11,1.235
2018/10/12,1.071
2018/10/13,0.812
2018/10/14,0.708
2018/10/15,0.151
2018/10/16,0.082
2018/10/17,0.081
2018/10/18,0.081
2018/10/19,0.081
2018/10/20,0.081
2018/10/21,0.082
2018/10/22,0.083
2018/10/23,0.082
2018/10/24,0.354
2018/10/25,0.359
2018/10/26,0.366
2018/10/27,0.366
2018/10/28,0.363
2018/10/29,0.365
2018/10/30,0.367
2018/10/31,0.366
2018/11/01,0.366
2018/11/02,0.366
2018/11/03,0.367
2018/11/04,0.367
2018/11/05,0.363
2018/11/06,0.366
2018/11/07,0.152
2018/11/08,0.13
2018/11/09,0.116
2018/11/10,0.115
2018/11/11,0.116
2018/11/12,0.115
2018/11/13,0.115
2018/11/14,0.156
2018/11/15,0.311
2018/11/16,0.311
2018/11/17,0.311
2018/11/18,0.311
2018/11/19,0.555
2018/11/20,0.55
2018/11/21,0.55
2018/11/22,0.55
2018/11/23,0.554
2018/11/24,0.556
2018/11/25,0.552
2018/11/26,0.553
2018/11/27,0.555
2018/11/28,0.557
2018/11/29,0.501
2018/11/30,0.499
2018/12/01,0.499
2018/12/02,0.499
2018/12/03,0.09
