Date,sentinusd3wmaUSD
2018/07/06,753626168
2018/07/07,640804175
2018/07/08,608815140
2018/07/09,714976110
2018/07/10,813683432
2018/07/11,739623590
2018/07/12,635398411
2018/07/13,565228589
2018/07/14,477544622
2018/07/15,401013435
2018/07/16,586002420
2018/07/17,756711757
2018/07/18,927007993
2018/07/19,874200518
2018/07/20,836500069
2018/07/21,651811947
2018/07/22,542448620
2018/07/23,619651687
2018/07/24,735401187
2018/07/25,757392138
2018/07/26,671944896
2018/07/27,633711607
2018/07/28,495398915
2018/07/29,408716147
2018/07/30,539947228
2018/07/31,925380704
2018/08/01,856811050
2018/08/02,755609071
2018/08/03,600629744
2018/08/04,490010369
2018/08/05,404250495
2018/08/06,437948858
2018/08/07,506293095
2018/08/08,647740032
2018/08/09,635012325
2018/08/10,645283819
2018/08/11,578451652
2018/08/12,448047120
2018/08/13,582491855
2018/08/14,726470702
2018/08/15,740345026
2018/08/16,585182678
2018/08/17,540802395
2018/08/18,429781980
2018/08/19,322646873
2018/08/20,346376248
2018/08/21,384917630
2018/08/22,451571740
2018/08/23,431691854
2018/08/24,413350712
2018/08/25,349905300
2018/08/26,301128323
2018/08/27,363434585
2018/08/28,403337510
2018/08/29,443052975
2018/08/30,424555289
2018/08/31,422662975
2018/09/01,378499813
2018/09/02,319050596
2018/09/03,407228978
2018/09/04,640117797
2018/09/05,696050178
2018/09/06,703586389
2018/09/07,625508851
2018/09/08,530587556
2018/09/09,460777187
2018/09/10,460910974
2018/09/11,470863664
2018/09/12,572233594
2018/09/13,532406343
2018/09/14,492814525
2018/09/15,386266032
2018/09/16,313680008
2018/09/17,348175929
2018/09/18,367308711
2018/09/19,354651716
2018/09/20,369133842
2018/09/21,521883031
2018/09/22,478695493
2018/09/23,406371920
2018/09/24,398861903
2018/09/25,406940764
2018/09/26,407391525
2018/09/27,381859013
2018/09/28,378866282
2018/09/29,350016056
2018/09/30,328889632
2018/10/01,303327372
2018/10/02,274255442
2018/10/03,308041484
2018/10/04,338193866
2018/10/05,343410984
2018/10/06,292313151
2018/10/07,246197825
2018/10/08,299095623
2018/10/09,322562413
2018/10/10,338088752
2018/10/11,478934432
2018/10/12,462779212
2018/10/13,355469592
2018/10/14,261704369
2018/10/15,468211771
2018/10/16,509729017
2018/10/17,477950572
2018/10/18,458560256
2018/10/19,401274282
2018/10/20,343436304
2018/10/21,359932372
2018/10/22,349576217
2018/10/23,351919266
2018/10/24,339156121
2018/10/25,394537733
2018/10/26,381204912
2018/10/27,293218883
2018/10/28,229850056
2018/10/29,302161300
2018/10/30,331431451
2018/10/31,347640229
2018/11/01,330084596
2018/11/02,353616060
2018/11/03,289291107
2018/11/04,291903820
2018/11/05,386970536
2018/11/06,415416976
2018/11/07,449070860
2018/11/08,408536100
2018/11/09,377439546
2018/11/10,296902331
2018/11/11,255705408
2018/11/12,316190005
