Date,hashrate3ema
2017/07/26,76186567245147
2017/07/27,75896146648766
2017/07/28,76716519886229
2017/07/29,76652116039902
2017/07/30,77844185026271
2017/07/31,79357330899676
2017/08/01,80092430702537
2017/08/02,79881043378973
2017/08/03,78279729379846
2017/08/04,79016598515594
2017/08/05,78992803556812
2017/08/06,79504766871501
2017/08/07,80922705179559
2017/08/08,82109909608364
2017/08/09,83529126568200
2017/08/10,83474990667692
2017/08/11,84043970619818
2017/08/12,85667333233925
2017/08/13,86651461291201
2017/08/14,88116427403762
2017/08/15,89476461138555
2017/08/16,90362417082658
2017/08/17,91448977411692
2017/08/18,91611335017888
2017/08/19,93517804359327
2017/08/20,93396045768014
2017/08/21,94576807678056
2017/08/22,95268899560444
2017/08/23,96770772463245
2017/08/24,97002305035233
2017/08/25,96150589861031
2017/08/26,96059207917695
2017/08/27,95770889047223
2017/08/28,94169112218681
2017/08/29,96695035085183
2017/08/30,98182297304295
2017/08/31,98065031313510
2017/09/01,98515134377503
2017/09/02,98694897913670
2017/09/03,98566428910518
2017/09/04,99279509777673
2017/09/05,99872014482079
2017/09/06,99728808044975
2017/09/07,100742679319685
2017/09/08,1.0372958640567E+14
2017/09/09,1.0389308376574E+14
2017/09/10,1.0318546253558E+14
2017/09/11,1.0284152185163E+14
2017/09/12,1.0545416095785E+14
2017/09/13,1.0449873530513E+14
2017/09/14,1.050451467505E+14
2017/09/15,1.0714156258787E+14
2017/09/16,1.0715660473945E+14
2017/09/17,1.0759438091447E+14
2017/09/18,1.0670106087083E+14
2017/09/19,1.0766750042723E+14
2017/09/20,1.075419426437E+14
2017/09/21,1.0845356509699E+14
2017/09/22,1.0842524783318E+14
2017/09/23,1.0618152815921E+14
2017/09/24,1.06454063777E+14
2017/09/25,1.0399562208048E+14
2017/09/26,1.03490068152E+14
2017/09/27,104577951256234
2017/09/28,1.0322140815938E+14
2017/09/29,1.0048226424331E+14
2017/09/30,98865586007023
2017/10/01,1.0035999701751E+14
2017/10/02,1.0091932063939E+14
2017/10/03,1.0112245081294E+14
2017/10/04,102698653988984
2017/10/05,1.0520912890542E+14
2017/10/06,1.0400992318887E+14
2017/10/07,102334941060065
2017/10/08,1.0319554181915E+14
2017/10/09,1.0393952200245E+14
2017/10/10,1.0502224661075E+14
2017/10/11,1.0715159314187E+14
2017/10/12,1.0629858293476E+14
2017/10/13,1.0819412012548E+14
2017/10/14,1.0664859301646E+14
2017/10/15,1.0762327225156E+14
2017/10/16,1.0967758841512E+14
2017/10/17,1.1206835046040E+14
