Date,sentbyaddress30roc
2018/04/22,-2.537
2018/04/23,21.437
2018/04/24,83.649
2018/04/25,30.317
2018/04/26,34.745
2018/04/27,37.102
2018/04/28,14.096
2018/04/29,5.04
2018/04/30,42.099
2018/05/01,39.356
2018/05/02,47.019
2018/05/03,43.901
2018/05/04,203.37
2018/05/05,34.02
2018/05/06,25.393
2018/05/07,70.423
2018/05/08,59.177
2018/05/09,38.091
2018/05/10,53.049
2018/05/11,39.459
2018/05/12,19.565
2018/05/13,9.14
2018/05/14,43.058
2018/05/15,55.88
2018/05/16,52.128
2018/05/17,56.682
2018/05/18,45.505
2018/05/19,37.656
2018/05/20,20.816
2018/05/21,19.81
2018/05/22,22.099
2018/05/23,9.243
2018/05/24,8.083
2018/05/25,17.647
2018/05/26,16.801
2018/05/27,29.943
2018/05/28,46.761
2018/05/29,48.123
2018/05/30,27.419
2018/05/31,52.423
2018/06/01,6.078
2018/06/02,8.407
2018/06/03,-45.6
2018/06/04,-3.433
2018/06/05,6.83
2018/06/06,-7.61
2018/06/07,-3.773
2018/06/08,-5.142
2018/06/09,6.725
2018/06/10,10.787
2018/06/11,4.531
2018/06/12,-0.791
2018/06/13,-10.245
2018/06/14,-16.184
2018/06/15,-3.914
2018/06/16,-31.474
2018/06/17,-22.72
2018/06/18,-28.488
2018/06/19,-4.638
2018/06/20,6.729
2018/06/21,-12.703
2018/06/22,-1.668
2018/06/23,-20.987
2018/06/24,-12.304
2018/06/25,40.792
2018/06/26,-3.43
2018/06/27,-12.931
2018/06/28,-15.238
2018/06/29,-4.529
2018/06/30,-48.759
2018/07/01,-57.481
2018/07/02,-56.218
2018/07/03,-52.692
2018/07/04,-52.232
2018/07/05,-37.325
2018/07/06,-50.807
2018/07/07,-52.849
2018/07/08,-31.974
2018/07/09,-35.848
2018/07/10,-34.145
2018/07/11,-32.555
2018/07/12,-33.718
2018/07/13,-40.198
2018/07/14,-40.085
2018/07/15,-49.719
2018/07/16,11.222
2018/07/17,6.104
2018/07/18,38.285
2018/07/19,-2.695
2018/07/20,-21.266
2018/07/21,-32.566
2018/07/22,-17.473
2018/07/23,30.531
2018/07/24,28.913
2018/07/25,-20.366
2018/07/26,-3.872
2018/07/27,11.459
2018/07/28,-7.217
2018/07/29,-8.849
2018/07/30,69.829
2018/07/31,135.776
2018/08/01,108.229
2018/08/02,92.576
2018/08/03,118.193
2018/08/04,56.552
2018/08/05,79.86
2018/08/06,88.5
2018/08/07,29.295
2018/08/08,3.468
2018/08/09,-12.151
2018/08/10,14.605
2018/08/11,54.159
2018/08/12,72.447
2018/08/13,74.085
2018/08/14,67.771
2018/08/15,-0.941
2018/08/16,7.497
2018/08/17,-26.599
2018/08/18,-17.193
2018/08/19,-7.822
2018/08/20,25.629
2018/08/21,-20.106
2018/08/22,-30.508
2018/08/23,-38.83
2018/08/24,-28.521
2018/08/25,-21.49
2018/08/26,-25.726
2018/08/27,-0.392
2018/08/28,-17.238
2018/08/29,-31.823
2018/08/30,-27.293
2018/08/31,-27.338
2018/09/01,-15.541
2018/09/02,-19.862
2018/09/03,-6.928
2018/09/04,-2.875
2018/09/05,-10.261
2018/09/06,-11.928
2018/09/07,7.872
2018/09/08,16.768
2018/09/09,-4.564
2018/09/10,-20.328
2018/09/11,-30.575
2018/09/12,-29.953
2018/09/13,-21.143
2018/09/14,-26.795
2018/09/15,-47.33
2018/09/16,-40.576
2018/09/17,-20
2018/09/18,-28.15
2018/09/19,-38.46
2018/09/20,-18.833
2018/09/21,-19.907
2018/09/22,-24.911
2018/09/23,-33.625
2018/09/24,-30.588
2018/09/25,-30.806
2018/09/26,-41.444
2018/09/27,-30.084
2018/09/28,-22.238
2018/09/29,-32.749
2018/09/30,-19.236
2018/10/01,-38.777
2018/10/02,-42.027
2018/10/03,-19.27
2018/10/04,-15.005
2018/10/05,-3.571
2018/10/06,7.462
2018/10/07,-22.208
2018/10/08,-12.133
2018/10/09,-8.283
2018/10/10,-13.661
2018/10/11,8.426
2018/10/12,0.581
2018/10/13,-1.679
2018/10/14,-3.67
2018/10/15,36.674
2018/10/16,44.855
2018/10/17,20.155
2018/10/18,23.716
2018/10/19,30.604
2018/10/20,13.871
2018/10/21,1.699
2018/10/22,38.665
2018/10/23,29.071
2018/10/24,32.897
2018/10/25,19.586
2018/10/26,36.29
2018/10/27,20.387
2018/10/28,9.381
2018/10/29,64.942
2018/10/30,34.48
2018/10/31,48.818
2018/11/01,37.55
2018/11/02,-16.51
2018/11/03,-17.452
2018/11/04,-23.907
2018/11/05,-13.878
2018/11/06,8.818
2018/11/07,-11.021
2018/11/08,-16.309
2018/11/09,6.586
2018/11/10,-11.933
2018/11/11,7.687
2018/11/12,-0.113
2018/11/13,5.268
2018/11/14,-1.168
2018/11/15,-10.092
2018/11/16,-21.229
2018/11/17,-20.141
2018/11/18,-24.036
2018/11/19,24.349
2018/11/20,14.224
2018/11/21,-18.904
2018/11/22,-14.661
2018/11/23,-15.743
2018/11/24,-22.4
2018/11/25,-16.606
2018/11/26,-5.116
2018/11/27,3.419
2018/11/28,-20.444
2018/11/29,-29.102
2018/11/30,-18.515
2018/12/01,-21.726
2018/12/02,-9.383
2018/12/03,1.013
2018/12/04,-8.241
2018/12/05,-7.65
2018/12/06,-8.959
2018/12/07,14.348
2018/12/08,28.34
2018/12/09,-7.999
2018/12/10,5.043
2018/12/11,-16.377
2018/12/12,-9.811
2018/12/13,-5.793
2018/12/14,-12.656
2018/12/15,-0.093
2018/12/16,6.098
2018/12/17,13.267
2018/12/18,8.176
2018/12/19,-19.108
2018/12/20,-6.777
2018/12/21,4.257
2018/12/22,-14.702
2018/12/23,-0.913
2018/12/24,21.613
2018/12/25,2.626
2018/12/26,4.234
2018/12/27,11.185
2018/12/28,7.362
2018/12/29,23.635
2018/12/30,-9.557
2018/12/31,16.551
2019/01/01,2.734
2019/01/02,15.329
2019/01/03,33.625
2019/01/04,0.515
2019/01/05,-1.641
2019/01/06,-9.426
2019/01/07,-9.436
2019/01/08,12.165
2019/01/09,6.452
2019/01/10,12.86
2019/01/11,7.368
2019/01/12,-17.56
2019/01/13,-13.776
2019/01/14,20.634
2019/01/15,6.809
2019/01/16,-8.094
2019/01/17,0.699
2019/01/18,-11.658
2019/01/19,-17.389
2019/01/20,-16.416
2019/01/21,11.184
2019/01/22,-8.972
2019/01/23,-8.53
2019/01/24,-3.665
2019/01/25,-9.028
2019/01/26,-24.917
2019/01/27,-14.827
2019/01/28,-5.845
2019/01/29,9.033
2019/01/30,-10.226
2019/01/31,5.15
2019/02/01,-17.131
2019/02/02,-36.441
2019/02/03,-31.593
2019/02/04,-30.769
2019/02/05,-30.54
2019/02/06,-37.428
2019/02/07,-38.986
2019/02/08,-26.724
2019/02/09,-34.761
2019/02/10,-39.492
2019/02/11,-4.23
2019/02/12,-8.94
2019/02/13,-36.722
2019/02/14,-26.571
2019/02/15,-10.739
2019/02/16,-17.438
2019/02/17,-20.109
2019/02/18,11.078
2019/02/19,8.654
2019/02/20,-4.772
2019/02/21,-6.598
2019/02/22,-9.984
2019/02/23,-12.644
2019/02/24,-7.496
2019/02/25,6.526
2019/02/26,-0.468
2019/02/27,-9.693
2019/02/28,-9.428
2019/03/01,12.881
2019/03/02,-0.903
2019/03/03,-5.727
2019/03/04,28.759
2019/03/05,47.495
2019/03/06,54.613
2019/03/07,47.945
2019/03/08,46.158
2019/03/09,49.473
2019/03/10,0.894
2019/03/11,28.751
2019/03/12,58.203
2019/03/13,28.72
2019/03/14,29.111
2019/03/15,21.416
2019/03/16,0.511
2019/03/17,2.979
2019/03/18,35.203
2019/03/19,44.029
2019/03/20,9.735
2019/03/21,6.443
2019/03/22,16.129
2019/03/23,16.561
2019/03/24,9.013
2019/03/25,47.01
2019/03/26,33.146
2019/03/27,27.144
2019/03/28,23.058
2019/03/29,17.112
2019/03/30,18.902
2019/03/31,0.69
2019/04/01,42.127
2019/04/02,81.583
2019/04/03,44.738
2019/04/04,21.474
2019/04/05,17.986
2019/04/06,2.736
2019/04/07,10.004
2019/04/08,22.561
2019/04/09,57.348
2019/04/10,28.536
2019/04/11,38.686
2019/04/12,54.749
2019/04/13,23.685
2019/04/14,-4.467
