Date,median_transaction_feeUSD
2018/02/12,0.36
2018/02/13,0.356
2018/02/14,0.372
2018/02/15,0.392
2018/02/16,0.393
2018/02/17,0.406
2018/02/18,0.496
2018/02/19,0.395
2018/02/20,0.395
2018/02/21,0.299
2018/02/22,0.245
2018/02/23,0.32
2018/02/24,0.356
2018/02/25,0.3
2018/02/26,0.257
2018/02/27,0.262
2018/02/28,0.366
2018/03/01,0.313
2018/03/02,0.363
2018/03/03,0.254
2018/03/04,0.359
2018/03/05,0.362
2018/03/06,0.347
2018/03/07,0.329
2018/03/08,0.25
2018/03/09,0.189
2018/03/10,0.152
2018/03/11,0.144
2018/03/12,0.147
2018/03/13,0.111
2018/03/14,0.101
2018/03/15,0.108
2018/03/16,0.112
2018/03/17,0.0937
2018/03/18,0.105
2018/03/19,0.0818
2018/03/20,0.0913
2018/03/21,0.0893
2018/03/22,0.0809
2018/03/23,0.088
2018/03/24,0.0657
2018/03/25,0.0691
2018/03/26,0.084
2018/03/27,0.0687
2018/03/28,0.0722
2018/03/29,0.062
2018/03/30,0.0415
2018/03/31,0.0422
2018/04/01,0.0404
2018/04/02,0.0409
2018/04/03,0.0426
2018/04/04,0.0411
2018/04/05,0.0419
2018/04/06,0.0316
2018/04/07,0.0322
2018/04/08,0.0332
2018/04/09,0.0348
2018/04/10,0.0356
2018/04/11,0.0441
2018/04/12,0.0473
2018/04/13,0.0547
2018/04/14,0.0459
2018/04/15,0.0514
2018/04/16,0.0563
2018/04/17,0.044
2018/04/18,0.0648
2018/04/19,0.0589
2018/04/20,0.0845
2018/04/21,0.0634
2018/04/22,0.068
2018/04/23,0.0713
2018/04/24,0.106
2018/04/25,0.117
2018/04/26,0.116
2018/04/27,0.14
2018/04/28,0.142
2018/04/29,0.176
2018/04/30,0.179
2018/05/01,0.137
2018/05/02,0.141
2018/05/03,0.155
2018/05/04,0.132
2018/05/05,0.148
2018/05/06,0.117
2018/05/07,0.108
2018/05/08,0.133
2018/05/09,0.186
2018/05/10,0.291
2018/05/11,0.256
2018/05/12,0.153
2018/05/13,0.22
2018/05/14,0.299
2018/05/15,0.316
2018/05/16,0.292
2018/05/17,0.317
2018/05/18,0.306
2018/05/19,0.26
2018/05/20,0.28
2018/05/21,0.296
2018/05/22,0.329
2018/05/23,0.276
2018/05/24,0.271
2018/05/25,0.25
2018/05/26,0.222
2018/05/27,0.193
2018/05/28,0.261
2018/05/29,0.293
2018/05/30,0.31
2018/05/31,0.369
2018/06/01,0.339
2018/06/02,0.238
2018/06/03,0.247
2018/06/04,0.289
2018/06/05,0.263
2018/06/06,0.281
2018/06/07,0.256
2018/06/08,0.228
2018/06/09,0.161
2018/06/10,0.132
2018/06/11,0.133
2018/06/12,0.144
2018/06/13,0.155
2018/06/14,0.181
2018/06/15,0.211
2018/06/16,0.104
2018/06/17,0.0689
2018/06/18,0.0948
2018/06/19,0.144
2018/06/20,0.111
2018/06/21,0.11
2018/06/22,0.0902
2018/06/23,0.0487
2018/06/24,0.055
2018/06/25,0.125
2018/06/26,0.0829
2018/06/27,0.0797
2018/06/28,0.066
2018/06/29,0.0701
2018/06/30,0.34
2018/07/01,0.9
2018/07/02,1.046
2018/07/03,1.231
2018/07/04,0.725
2018/07/05,0.61
2018/07/06,0.981
2018/07/07,0.888
2018/07/08,0.48
2018/07/09,0.324
2018/07/10,0.233
2018/07/11,0.203
2018/07/12,0.349
2018/07/13,0.398
2018/07/14,0.741
2018/07/15,0.466
2018/07/16,0.146
2018/07/17,0.111
2018/07/18,0.114
2018/07/19,0.0759
2018/07/20,0.116
2018/07/21,0.125
2018/07/22,0.0528
2018/07/23,0.135
2018/07/24,0.0818
2018/07/25,0.0679
2018/07/26,0.0621
2018/07/27,0.0432
2018/07/28,0.0373
2018/07/29,0.0294
2018/07/30,0.0385
2018/07/31,0.0369
2018/08/01,0.0354
2018/08/02,0.035
2018/08/03,0.0505
2018/08/04,0.0345
2018/08/05,0.0341
2018/08/06,0.0446
2018/08/07,0.153
2018/08/08,0.6
2018/08/09,0.547
2018/08/10,0.307
2018/08/11,0.0801
2018/08/12,0.0595
2018/08/13,0.062
2018/08/14,0.064
2018/08/15,0.0909
2018/08/16,0.0597
2018/08/17,0.237
2018/08/18,0.0627
2018/08/19,0.0312
2018/08/20,0.0312
2018/08/21,0.0441
2018/08/22,0.0582
2018/08/23,0.0459
2018/08/24,0.0582
2018/08/25,0.032
2018/08/26,0.0351
2018/08/27,0.048
2018/08/28,0.0503
2018/08/29,0.0668
2018/08/30,0.056
2018/08/31,0.0612
2018/09/01,0.0488
2018/09/02,0.0421
2018/09/03,0.0426
2018/09/04,0.058
2018/09/05,0.0464
2018/09/06,0.0568
2018/09/07,0.0582
2018/09/08,0.055
2018/09/09,0.0531
2018/09/10,0.0495
2018/09/11,0.0557
2018/09/12,0.0564
2018/09/13,0.0686
2018/09/14,0.0591
2018/09/15,0.0612
2018/09/16,0.0548
2018/09/17,0.061
2018/09/18,0.0645
2018/09/19,0.0905
2018/09/20,0.0789
2018/09/21,0.0966
2018/09/22,0.0714
2018/09/23,0.0611
2018/09/24,0.0829
2018/09/25,0.0806
2018/09/26,0.0898
2018/09/27,0.0919
2018/09/28,0.0999
2018/09/29,0.109
2018/09/30,0.094
2018/10/01,0.104
2018/10/02,0.109
2018/10/03,0.0601
2018/10/04,0.0601
2018/10/05,0.0515
2018/10/06,0.0234
2018/10/07,0.0395
2018/10/08,0.0672
2018/10/09,0.0515
2018/10/10,0.0711
2018/10/11,0.0612
2018/10/12,0.0619
2018/10/13,0.0334
2018/10/14,0.0331
2018/10/15,0.0652
2018/10/16,0.0443
2018/10/17,0.0478
2018/10/18,0.045
2018/10/19,0.0583
2018/10/20,0.0536
2018/10/21,0.048
2018/10/22,0.046
2018/10/23,0.0559
2018/10/24,0.0737
2018/10/25,0.0766
2018/10/26,0.0682
2018/10/27,0.0497
2018/10/28,0.045
2018/10/29,0.059
2018/10/30,0.0577
2018/10/31,0.0538
2018/11/01,0.0533
2018/11/02,0.0726
2018/11/03,0.062
2018/11/04,0.0643
2018/11/05,0.0879
2018/11/06,0.0896
2018/11/07,0.082
2018/11/08,0.0822
2018/11/09,0.07
2018/11/10,0.044
2018/11/11,0.0338
2018/11/12,0.0525
2018/11/13,0.0547
2018/11/14,0.0716
2018/11/15,0.0751
2018/11/16,0.0597
2018/11/17,0.0441
2018/11/18,0.0455
2018/11/19,0.0547
2018/11/20,0.0575
2018/11/21,0.0423
2018/11/22,0.0397
2018/11/23,0.0389
2018/11/24,0.0324
2018/11/25,0.0394
2018/11/26,0.0361
2018/11/27,0.0296
2018/11/28,0.0407
2018/11/29,0.0501
2018/11/30,0.069
2018/12/01,0.0445
2018/12/02,0.0403
2018/12/03,0.0424
2018/12/04,0.0413
2018/12/05,0.0433
2018/12/06,0.0395
2018/12/07,0.0328
2018/12/08,0.0198
2018/12/09,0.0196
2018/12/10,0.0229
2018/12/11,0.0239
2018/12/12,0.0238
2018/12/13,0.0328
2018/12/14,0.0266
2018/12/15,0.0207
2018/12/16,0.0154
2018/12/17,0.025
2018/12/18,0.0316
2018/12/19,0.0349
2018/12/20,0.0369
2018/12/21,0.0384
2018/12/22,0.031
2018/12/23,0.043
2018/12/24,0.0515
2018/12/25,0.0469
2018/12/26,0.0365
2018/12/27,0.0341
2018/12/28,0.0382
2018/12/29,0.032
2018/12/30,0.0436
2018/12/31,0.0375
2019/01/01,0.031
2019/01/02,0.0398
2019/01/03,0.034
2019/01/04,0.0471
2019/01/05,0.0334
2019/01/06,0.0345
2019/01/07,0.039
2019/01/08,0.0382
2019/01/09,0.0348
2019/01/10,0.0388
2019/01/11,0.0321
2019/01/12,0.0266
2019/01/13,0.0268
2019/01/14,0.0512
2019/01/15,0.0482
2019/01/16,0.0396
2019/01/17,0.0363
2019/01/18,0.0383
2019/01/19,0.0289
2019/01/20,0.0367
2019/01/21,0.0349
2019/01/22,0.0325
2019/01/23,0.0351
2019/01/24,0.036
2019/01/25,0.0328
2019/01/26,0.0294
2019/01/27,0.0246
2019/01/28,0.0332
2019/01/29,0.0276
2019/01/30,0.0316
2019/01/31,0.0367
2019/02/01,0.0313
2019/02/02,0.027
2019/02/03,0.0288
2019/02/04,0.0285
2019/02/05,0.0269
2019/02/06,0.0282
2019/02/07,0.0305
2019/02/08,0.0332
2019/02/09,0.0333
2019/02/10,0.0356
2019/02/11,0.042
2019/02/12,0.0355
2019/02/13,0.0399
2019/02/14,0.0344
2019/02/15,0.0447
2019/02/16,0.0391
2019/02/17,0.045
2019/02/18,0.0594
2019/02/19,0.0618
2019/02/20,0.0611
2019/02/21,0.0564
2019/02/22,0.0595
2019/02/23,0.0564
2019/02/24,0.0642
2019/02/25,0.0583
2019/02/26,0.0624
2019/02/27,0.0574
2019/02/28,0.0642
2019/03/01,0.0419
2019/03/02,0.0357
2019/03/03,0.0354
2019/03/04,0.0332
2019/03/05,0.0407
2019/03/06,0.0409
2019/03/07,0.0429
2019/03/08,0.0362
2019/03/09,0.0299
2019/03/10,0.0307
2019/03/11,0.0305
2019/03/12,0.028
2019/03/13,0.0278
2019/03/14,0.0259
2019/03/15,0.0283
2019/03/16,0.0297
2019/03/17,0.027
2019/03/18,0.0295
2019/03/19,0.0415
2019/03/20,0.029
2019/03/21,0.0359
2019/03/22,0.0286
2019/03/23,0.0269
2019/03/24,0.0278
2019/03/25,0.0299
2019/03/26,0.0294
2019/03/27,0.0326
2019/03/28,0.0293
2019/03/29,0.0325
2019/03/30,0.03
2019/03/31,0.0278
2019/04/01,0.0298
2019/04/02,0.0433
2019/04/03,0.0641
2019/04/04,0.0469
2019/04/05,0.0357
2019/04/06,0.0319
2019/04/07,0.0324
2019/04/08,0.0403
2019/04/09,0.0371
2019/04/10,0.0376
