Date,fee_to_reward7rsiUSD
2018/07/13,49.131
2018/07/14,64.327
2018/07/15,67.25
2018/07/16,38.096
2018/07/17,37.235
2018/07/18,37.212
2018/07/19,36.731
2018/07/20,39.42
2018/07/21,39.761
2018/07/22,36.281
2018/07/23,41.621
2018/07/24,39.897
2018/07/25,39.138
2018/07/26,38.124
2018/07/27,37.309
2018/07/28,40.81
2018/07/29,36.337
2018/07/30,39.012
2018/07/31,39.431
2018/08/01,38.516
2018/08/02,38.382
2018/08/03,39.664
2018/08/04,38.059
2018/08/05,33.869
2018/08/06,50.854
2018/08/07,80.539
2018/08/08,90.924
2018/08/09,78.986
2018/08/10,56.932
2018/08/11,41.48
2018/08/12,39.645
2018/08/13,42.603
2018/08/14,44.682
2018/08/15,44.743
2018/08/16,42.449
2018/08/17,66.062
2018/08/18,43.808
2018/08/19,43.134
2018/08/20,43.561
2018/08/21,43.322
2018/08/22,50.244
2018/08/23,45.876
2018/08/24,52.798
2018/08/25,43.061
2018/08/26,47.478
2018/08/27,44.36
2018/08/28,44.837
2018/08/29,47.437
2018/08/30,46.676
2018/08/31,47.332
2018/09/01,43.571
2018/09/02,42.166
2018/09/03,45.038
2018/09/04,50.841
2018/09/05,44.931
2018/09/06,54.038
2018/09/07,53.832
2018/09/08,47.014
2018/09/09,49.313
2018/09/10,50.485
2018/09/11,57.136
2018/09/12,57.007
2018/09/13,57.486
2018/09/14,41.735
2018/09/15,40.52
2018/09/16,38.782
2018/09/17,49.786
2018/09/18,52.078
2018/09/19,73.323
2018/09/20,52.05
2018/09/21,60.893
2018/09/22,45.348
2018/09/23,42.073
2018/09/24,54.044
2018/09/25,52.366
2018/09/26,54.519
2018/09/27,57.535
2018/09/28,61.925
2018/09/29,62.921
2018/09/30,48.898
2018/10/01,58.127
2018/10/02,60.492
2018/10/03,40.918
2018/10/04,40.745
2018/10/05,40.035
2018/10/06,29.112
2018/10/07,32.459
2018/10/08,47.354
2018/10/09,43.457
2018/10/10,50.505
2018/10/11,52.748
2018/10/12,50.402
2018/10/13,36.997
2018/10/14,33.411
2018/10/15,49.925
2018/10/16,43.863
2018/10/17,47.742
2018/10/18,45.308
2018/10/19,52.789
2018/10/20,45.432
2018/10/21,41.861
2018/10/22,52.327
2018/10/23,52.07
2018/10/24,61.802
2018/10/25,68.808
2018/10/26,57.345
2018/10/27,41.427
2018/10/28,39.552
2018/10/29,52.336
2018/10/30,51.977
2018/10/31,51.092
2018/11/01,49.562
2018/11/02,56.609
2018/11/03,43.319
2018/11/04,40.815
2018/11/05,62.28
2018/11/06,63.192
2018/11/07,54.699
2018/11/08,60.028
2018/11/09,46.056
2018/11/10,33.822
2018/11/11,32.213
2018/11/12,54.399
2018/11/13,57.74
2018/11/14,66.331
2018/11/15,70.087
2018/11/16,57.626
2018/11/17,44.524
2018/11/18,48.892
2018/11/19,63.724
2018/11/20,64.666
2018/11/21,51.201
2018/11/22,49.501
2018/11/23,51.737
2018/11/24,44.112
2018/11/25,52.615
2018/11/26,51.531
2018/11/27,47.85
2018/11/28,63.93
2018/11/29,69.572
2018/11/30,78.148
2018/12/01,49.565
2018/12/02,45.26
2018/12/03,51.822
2018/12/04,52.461
2018/12/05,55.672
2018/12/06,42.998
2018/12/07,42.065
2018/12/08,32.47
2018/12/09,31.852
2018/12/10,39.216
2018/12/11,38.081
2018/12/12,36.69
2018/12/13,42.701
2018/12/14,43.329
2018/12/15,33.892
2018/12/16,31.418
2018/12/17,49.073
2018/12/18,55.537
2018/12/19,56.993
2018/12/20,56.711
2018/12/21,52.994
2018/12/22,35.844
2018/12/23,43.551
2018/12/24,54.732
2018/12/25,55.811
2018/12/26,45.791
2018/12/27,39.684
2018/12/28,44.725
2018/12/29,37.582
2018/12/30,68.006
2018/12/31,44.335
2019/01/01,41.776
2019/01/02,46.522
2019/01/03,47.069
2019/01/04,50.934
2019/01/05,51.758
2019/01/06,42.448
2019/01/07,45.1
2019/01/08,45.64
2019/01/09,42.53
2019/01/10,55.428
2019/01/11,49.643
2019/01/12,36.797
2019/01/13,39.964
2019/01/14,69.179
2019/01/15,57.018
2019/01/16,53.515
2019/01/17,47.511
2019/01/18,51.94
2019/01/19,46.683
2019/01/20,44.387
2019/01/21,55.328
2019/01/22,63.88
2019/01/23,53.012
2019/01/24,53.445
2019/01/25,48.102
2019/01/26,40.522
2019/01/27,40.726
2019/01/28,60.192
2019/01/29,52.057
2019/01/30,55.141
2019/01/31,60.749
2019/02/01,55.594
2019/02/02,41.845
2019/02/03,38.222
2019/02/04,40.067
2019/02/05,41.078
2019/02/06,45.817
2019/02/07,48.351
2019/02/08,56.679
2019/02/09,47.147
2019/02/10,53.616
2019/02/11,65.745
2019/02/12,62.29
2019/02/13,71.3
2019/02/14,65.417
2019/02/15,75.518
2019/02/16,59.257
2019/02/17,60.525
2019/02/18,75.738
2019/02/19,74.44
2019/02/20,67.991
2019/02/21,64.622
2019/02/22,58.289
2019/02/23,45.58
2019/02/24,61.301
2019/02/25,68.869
2019/02/26,67.807
2019/02/27,56.389
2019/02/28,66.132
2019/03/01,43.517
2019/03/02,37.4
2019/03/03,34.784
2019/03/04,49.726
2019/03/05,49.343
2019/03/06,47.533
2019/03/07,46.809
2019/03/08,45.829
2019/03/09,38.515
2019/03/10,30.587
2019/03/11,41.622
2019/03/12,41.886
2019/03/13,40.522
2019/03/14,35.44
2019/03/15,37.587
2019/03/16,27.226
2019/03/17,29.523
2019/03/18,61.791
2019/03/19,63.808
2019/03/20,53.841
2019/03/21,72.289
2019/03/22,57.679
2019/03/23,44.266
2019/03/24,44.324
2019/03/25,55.805
2019/03/26,57.192
2019/03/27,61.192
2019/03/28,52.497
2019/03/29,59.651
2019/03/30,45.029
2019/03/31,44.98
2019/04/01,57.881
2019/04/02,65.726
2019/04/03,72.799
2019/04/04,52.198
2019/04/05,42.708
2019/04/06,38.913
2019/04/07,39.694
2019/04/08,51.235
2019/04/09,45.816
2019/04/10,66.086
2019/04/11,86.862
2019/04/12,75.842
2019/04/13,61.556
2019/04/14,58.488
2019/04/15,63.507
2019/04/16,70.223
2019/04/17,72.731
2019/04/18,75.871
2019/04/19,44.402
2019/04/20,32.039
2019/04/21,32.72
2019/04/22,34.579
2019/04/23,35.577
2019/04/24,35.205
2019/04/25,33.68
2019/04/26,39.08
2019/04/27,33.809
2019/04/28,34.894
2019/04/29,37.201
2019/04/30,39.324
2019/05/01,39.764
2019/05/02,46.21
2019/05/03,44.309
2019/05/04,38.491
2019/05/05,40.26
2019/05/06,49.935
2019/05/07,57.744
2019/05/08,48.979
2019/05/09,47.648
2019/05/10,52.722
2019/05/11,44.52
2019/05/12,44.541
2019/05/13,57.015
2019/05/14,64.903
2019/05/15,74.079
2019/05/16,83.611
2019/05/17,64.486
2019/05/18,50.746
2019/05/19,45.515
2019/05/20,52.221
2019/05/21,44.98
2019/05/22,56.452
2019/05/23,50.386
2019/05/24,53.345
2019/05/25,42.479
2019/05/26,37.53
2019/05/27,55.745
2019/05/28,54.767
2019/05/29,55.835
2019/05/30,61.419
2019/05/31,53.235
2019/06/01,51.602
2019/06/02,38.344
2019/06/03,48.19
2019/06/04,48.727
2019/06/05,46.505
2019/06/06,43.959
2019/06/07,40.851
2019/06/08,65.167
2019/06/09,39.089
2019/06/10,59.169
2019/06/11,51.731
2019/06/12,42.802
2019/06/13,42.875
2019/06/14,49.529
2019/06/15,56.533
2019/06/16,43.341
2019/06/17,57.778
2019/06/18,47.471
2019/06/19,51.569
