Date,activeaddresses14std
2018/10/06,74056
2018/10/07,72824
2018/10/08,72032
2018/10/09,72575
2018/10/10,70256
2018/10/11,69900
2018/10/12,69170
2018/10/13,59069
2018/10/14,57282
2018/10/15,53177
2018/10/16,45054
2018/10/17,47371
2018/10/18,47599
2018/10/19,45543
2018/10/20,36143
2018/10/21,34646
2018/10/22,37407
2018/10/23,37629
2018/10/24,33711
2018/10/25,33514
2018/10/26,31534
2018/10/27,33745
2018/10/28,33737
2018/10/29,38396
2018/10/30,41279
2018/10/31,41903
2018/11/01,41894
2018/11/02,46734
2018/11/03,52858
2018/11/04,55348
2018/11/05,53793
2018/11/06,53536
2018/11/07,54487
2018/11/08,56140
2018/11/09,55612
2018/11/10,56638
2018/11/11,56540
2018/11/12,50442
2018/11/13,42685
2018/11/14,35998
2018/11/15,33445
2018/11/16,32474
2018/11/17,32759
2018/11/18,38023
2018/11/19,45611
2018/11/20,49069
2018/11/21,49038
2018/11/22,49428
2018/11/23,49891
2018/11/24,56199
2018/11/25,55191
2018/11/26,54318
2018/11/27,55192
2018/11/28,54121
2018/11/29,54399
2018/11/30,54554
2018/12/01,56402
2018/12/02,58306
2018/12/03,45700
2018/12/04,34278
2018/12/05,33903
2018/12/06,34082
2018/12/07,36516
2018/12/08,38264
2018/12/09,38260
2018/12/10,40091
2018/12/11,40055
2018/12/12,38432
2018/12/13,38142
2018/12/14,37194
2018/12/15,34984
2018/12/16,30707
2018/12/17,29795
2018/12/18,28157
2018/12/19,28921
2018/12/20,29680
2018/12/21,28886
2018/12/22,33553
2018/12/23,34094
2018/12/24,34781
2018/12/25,34937
2018/12/26,34334
2018/12/27,33873
2018/12/28,34726
2018/12/29,34809
2018/12/30,36877
2018/12/31,36835
2019/01/01,41246
2019/01/02,39995
2019/01/03,40955
2019/01/04,40275
2019/01/05,36467
2019/01/06,37374
2019/01/07,35459
2019/01/08,37998
2019/01/09,39695
2019/01/10,40485
2019/01/11,38998
2019/01/12,48583
2019/01/13,50705
2019/01/14,55712
2019/01/15,52595
2019/01/16,53449
2019/01/17,52481
2019/01/18,52811
2019/01/19,54291
2019/01/20,57820
2019/01/21,56658
2019/01/22,54172
2019/01/23,50362
2019/01/24,46887
2019/01/25,45717
2019/01/26,43149
2019/01/27,41879
2019/01/28,33652
2019/01/29,29736
2019/01/30,29670
2019/01/31,29669
2019/02/01,30255
2019/02/02,37206
2019/02/03,47674
2019/02/04,58006
2019/02/05,64890
2019/02/06,67496
2019/02/07,70499
2019/02/08,68862
2019/02/09,71053
2019/02/10,73085
2019/02/11,59607
2019/02/12,51087
2019/02/13,44096
2019/02/14,35560
2019/02/15,32233
2019/02/16,32380
2019/02/17,31935
2019/02/18,44088
2019/02/19,49731
2019/02/20,49928
2019/02/21,47430
2019/02/22,47675
2019/02/23,44721
2019/02/24,36097
2019/02/25,34655
2019/02/26,33780
2019/02/27,34217
2019/02/28,34821
2019/03/01,36521
2019/03/02,33166
2019/03/03,29150
2019/03/04,29914
2019/03/05,32705
2019/03/06,35423
2019/03/07,34578
2019/03/08,34479
2019/03/09,29524
2019/03/10,33516
2019/03/11,33399
2019/03/12,34396
2019/03/13,34643
2019/03/14,35339
2019/03/15,35303
2019/03/16,37500
2019/03/17,32826
2019/03/18,34573
2019/03/19,37979
2019/03/20,43761
2019/03/21,44569
2019/03/22,45965
2019/03/23,46129
2019/03/24,39211
2019/03/25,47154
2019/03/26,52344
2019/03/27,54086
2019/03/28,57067
2019/03/29,56842
2019/03/30,47955
2019/03/31,40121
2019/04/01,54292
2019/04/02,74100
2019/04/03,82880
2019/04/04,80960
2019/04/05,79156
2019/04/06,75135
2019/04/07,68740
2019/04/08,69689
2019/04/09,69952
2019/04/10,69027
2019/04/11,71636
2019/04/12,72457
2019/04/13,72276
2019/04/14,77315
2019/04/15,75310
2019/04/16,64999
2019/04/17,57246
2019/04/18,57257
2019/04/19,59929
2019/04/20,65847
2019/04/21,63710
2019/04/22,66673
2019/04/23,69753
2019/04/24,69025
2019/04/25,67842
2019/04/26,66622
2019/04/27,74434
2019/04/28,68857
2019/04/29,69916
2019/04/30,69436
2019/05/01,69522
2019/05/02,73528
2019/05/03,73762
2019/05/04,67851
2019/05/05,67680
2019/05/06,60811
2019/05/07,50698
2019/05/08,49009
2019/05/09,50192
2019/05/10,55624
2019/05/11,51787
2019/05/12,46946
2019/05/13,56070
2019/05/14,74666
2019/05/15,93692
2019/05/16,110865
2019/05/17,111737
2019/05/18,102311
2019/05/19,93544
2019/05/20,90124
2019/05/21,87871
2019/05/22,82965
2019/05/23,78022
2019/05/24,76790
2019/05/25,71052
2019/05/26,61719
2019/05/27,68177
2019/05/28,72172
2019/05/29,80519
2019/05/30,76207
2019/05/31,79957
2019/06/01,110814
2019/06/02,105993
2019/06/03,101994
2019/06/04,102814
2019/06/05,106990
2019/06/06,104902
2019/06/07,118928
2019/06/08,134593
2019/06/09,132808
2019/06/10,138277
2019/06/11,137450
2019/06/12,144121
2019/06/13,144208
2019/06/14,143479
2019/06/15,114319
2019/06/16,125285
2019/06/17,124434
2019/06/18,124526
2019/06/19,123618
2019/06/20,124768
2019/06/21,119225
2019/06/22,106422
2019/06/23,107682
2019/06/24,102021
2019/06/25,102737
2019/06/26,86460
2019/06/27,86460
2019/06/28,88706
2019/06/29,92328
2019/06/30,67013
2019/07/01,69300
2019/07/02,68273
2019/07/03,68466
2019/07/04,66022
2019/07/05,66828
2019/07/06,74646
2019/07/07,88376
2019/07/08,86958
2019/07/09,86171
2019/07/10,71492
2019/07/11,66518
2019/07/12,65812
2019/07/13,76856
2019/07/14,79555
2019/07/15,80058
2019/07/16,77750
2019/07/17,70981
2019/07/18,66871
2019/07/19,66466
2019/07/20,71160
2019/07/21,79025
2019/07/22,77438
2019/07/23,70228
2019/07/24,69194
2019/07/25,70172
2019/07/26,63016
2019/07/27,62033
2019/07/28,62822
2019/07/29,51923
2019/07/30,60141
2019/07/31,54327
2019/08/01,52615
2019/08/02,52431
2019/08/03,55029
2019/08/04,64330
2019/08/05,72742
2019/08/06,83298
2019/08/07,82833
2019/08/08,81566
2019/08/09,84179
2019/08/10,83022
2019/08/11,82365
2019/08/12,86337
2019/08/13,85688
2019/08/14,87466
2019/08/15,85580
2019/08/16,86470
2019/08/17,79608
2019/08/18,56142
2019/08/19,53849
2019/08/20,50098
2019/08/21,51699
2019/08/22,51832
2019/08/23,52688
2019/08/24,52753
2019/08/25,49442
2019/08/26,47004
2019/08/27,46604
2019/08/28,44995
2019/08/29,44927
2019/08/30,44065
2019/08/31,44071
2019/09/01,43811
2019/09/02,44335
2019/09/03,43112
2019/09/04,40709
2019/09/05,44107
2019/09/06,43148
2019/09/07,43760
2019/09/08,43313
2019/09/09,44047
2019/09/10,43664
2019/09/11,43622
2019/09/12,43442
2019/09/13,48519
2019/09/14,49380
2019/09/15,47199
2019/09/16,48070
2019/09/17,47609
2019/09/18,47746
2019/09/19,42856
2019/09/20,41479
2019/09/21,51530
2019/09/22,63567
2019/09/23,63752
2019/09/24,63797
2019/09/25,62415
2019/09/26,60581
2019/09/27,60785
2019/09/28,63189
2019/09/29,69380
2019/09/30,61933
2019/10/01,59402
2019/10/02,54464
2019/10/03,54347
2019/10/04,43564
2019/10/05,43299
2019/10/06,42322
2019/10/07,41984
2019/10/08,37496
2019/10/09,45800
2019/10/10,49167
2019/10/11,52041
2019/10/12,51999
2019/10/13,52067
2019/10/14,51481
2019/10/15,52312
2019/10/16,52319
2019/10/17,50316
2019/10/18,50893
2019/10/19,49338
2019/10/20,48187
2019/10/21,47521
