Date,sentinusd90rocUSD
2017/09/30,1.884
2017/10/01,-80.42
2017/10/02,-62.167
2017/10/03,255.642
2017/10/04,97.689
2017/10/05,18.763
2017/10/06,56.118
2017/10/07,176.329
2017/10/08,9.369
2017/10/09,23.468
2017/10/10,26.424
2017/10/11,-34.784
2017/10/12,-32.618
2017/10/13,0.207
2017/10/14,-14.489
2017/10/15,-22.254
2017/10/16,-52.742
2017/10/17,-30.269
2017/10/18,-0.507
2017/10/19,-18.369
2017/10/20,240.358
2017/10/21,96.727
2017/10/22,-41.933
2017/10/23,-25.182
2017/10/24,0.233
2017/10/25,-29.388
2017/10/26,-40.118
2017/10/27,-100
2017/10/28,-100
2017/10/29,-100
2017/10/30,-100
2017/10/31,-100
2017/11/01,147.002
2017/11/02,156.923
2017/11/03,71.311
2017/11/04,11.968
2017/11/05,-9.174
2017/11/06,-6.455
2017/11/07,-28.923
2017/11/08,-51.198
2017/11/09,-58.128
2017/11/10,-51.566
2017/11/11,-57.186
2017/11/12,-26.875
2017/11/13,-36.638
2017/11/14,-20.96
2017/11/15,21.161
2017/11/16,7.25
2017/11/17,49.369
2017/11/18,44.437
2017/11/19,13.185
2017/11/20,71.043
2017/11/21,43.81
2017/11/22,60.138
2017/11/23,87.465
2017/11/24,235.484
2017/11/25,14.486
2017/11/26,-25.745
2017/11/27,23.68
2017/11/28,-15.867
2017/11/29,103.828
2017/11/30,84.168
2017/12/01,91.369
2017/12/02,180.347
2017/12/03,92.771
2017/12/04,99.801
2017/12/05,-15.618
2017/12/06,64.556
2017/12/07,9.706
2017/12/08,-31.769
2017/12/09,-37.008
2017/12/10,-35.705
2017/12/11,-33.267
2017/12/12,172.7
2017/12/13,86.807
2017/12/14,105.147
2017/12/15,163.654
2017/12/16,91.732
2017/12/17,9.057
2017/12/18,50.541
2017/12/19,238.421
2017/12/20,306.276
2017/12/21,386.978
2017/12/22,378.406
2017/12/23,272.151
2017/12/24,104.059
2017/12/25,80.201
2017/12/26,146.322
2017/12/27,160.503
2017/12/28,273.784
2017/12/29,463.823
2017/12/30,754.861
2017/12/31,210.339
2018/01/01,-6.058
2018/01/02,172.006
2018/01/03,350.953
2018/01/04,582.77
2018/01/05,686.198
2018/01/06,481.026
2018/01/07,327.751
2018/01/08,428.656
2018/01/09,563.855
2018/01/10,591.531
2018/01/11,327.287
2018/01/12,352.598
2018/01/13,324.769
2018/01/14,1234
2018/01/15,333.716
2018/01/16,290.275
2018/01/17,299.963
2018/01/18,314.041
2018/01/19,208.947
2018/01/20,220.639
2018/01/21,121.853
2018/01/22,141.624
2018/01/23,182.172
2018/01/24,203.196
2018/01/25,0
2018/01/26,0
2018/01/27,0
2018/01/28,0
2018/01/29,0
2018/01/30,132.876
2018/01/31,102.256
2018/02/01,147.936
2018/02/02,309.229
2018/02/03,152.415
2018/02/04,60.469
2018/02/05,137.159
2018/02/06,77.68
2018/02/07,-4.195
2018/02/08,-29.21
2018/02/09,11.492
2018/02/10,-5.24
2018/02/11,-6.601
2018/02/12,11.632
2018/02/13,-2.232
2018/02/14,-13.978
2018/02/15,0.06
2018/02/16,-4.742
2018/02/17,-9.947
2018/02/18,-35.179
2018/02/19,-39.987
2018/02/20,-31.458
2018/02/21,-41.122
2018/02/22,-20.537
2018/02/23,-64.603
2018/02/24,-65.752
2018/02/25,-83.156
2018/02/26,-81.374
2018/02/27,-89.51
2018/02/28,-87.809
2018/03/01,-84.371
2018/03/02,-87.045
2018/03/03,-90.953
2018/03/04,-90.352
2018/03/05,-69.994
2018/03/06,-73.954
2018/03/07,-66.505
2018/03/08,-69.569
2018/03/09,-60.431
2018/03/10,-71.014
2018/03/11,-74.986
2018/03/12,-85.314
2018/03/13,-73.201
2018/03/14,-85.202
2018/03/15,-83.247
2018/03/16,-85.309
2018/03/17,-87.493
