Date,transactionvalue14momUSD
2018/01/23,-6493
2018/01/24,-9927
2018/01/25,-10912
2018/01/26,-2869
2018/01/27,-2652
2018/01/28,-21256
2018/01/29,-2817
2018/01/30,-2882
2018/01/31,-1670
2018/02/01,-2829
2018/02/02,1356
2018/02/03,-1593
2018/02/04,-2287
2018/02/05,-3060
2018/02/06,-2322
2018/02/07,-2713
2018/02/08,-1209
2018/02/09,-5533
2018/02/10,-2414
2018/02/11,-5524
2018/02/12,-5308
2018/02/13,-3366
2018/02/14,-4509
2018/02/15,-2533
2018/02/16,-4782
2018/02/17,-2083
2018/02/18,-564.716
2018/02/19,-1969
2018/02/20,-2099
2018/02/21,-2413
2018/02/22,1818
2018/02/23,-1788
2018/02/24,-2587
2018/02/25,-1976
2018/02/26,-1938
2018/02/27,-5356
2018/02/28,-3903
2018/03/01,-4442
2018/03/02,-3965
2018/03/03,-3911
2018/03/04,-3766
2018/03/05,-2612
2018/03/06,-2430
2018/03/07,-2466
2018/03/08,-4389
2018/03/09,-1724
2018/03/10,-1952
2018/03/11,-1033
2018/03/12,-1302
2018/03/13,750.158
2018/03/14,4.14
2018/03/15,-426.893
2018/03/16,-516.544
2018/03/17,-113.906
2018/03/18,697.033
2018/03/19,-25.412
2018/03/20,-716.157
2018/03/21,-533.629
2018/03/22,-425.658
2018/03/23,-355.14
2018/03/24,-348.52
2018/03/25,-271.799
2018/03/26,-21.049
2018/03/27,-740.909
2018/03/28,16.318
2018/03/29,99.39
2018/03/30,121.774
2018/03/31,-185.288
2018/04/01,-1239
2018/04/02,-858.512
2018/04/03,-531.406
2018/04/04,-473.98
2018/04/05,-665.98
2018/04/06,-807.143
2018/04/07,-418.372
2018/04/08,-155.97
2018/04/09,-525.188
2018/04/10,-1080
2018/04/11,-894.786
2018/04/12,-357.397
2018/04/13,123.3
2018/04/14,-239.284
2018/04/15,92.278
2018/04/16,149.088
2018/04/17,-43.443
2018/04/18,301.824
2018/04/19,506.065
2018/04/20,772.114
2018/04/21,744.307
2018/04/22,219.422
2018/04/23,1430
2018/04/24,1403
