Date,mediantransactionvalue7rsiUSD
2018/08/11,41.317
2018/08/12,41.317
2018/08/13,41.317
2018/08/14,41.447
2018/08/15,41.34
2018/08/16,41.34
2018/08/17,60.404
2018/08/18,43.798
2018/08/19,43.798
2018/08/20,43.798
2018/08/21,43.798
2018/08/22,43.798
2018/08/23,44.09
2018/08/24,44.722
2018/08/25,44.227
2018/08/26,44.024
2018/08/27,43.731
2018/08/28,46.64
2018/08/29,44.746
2018/08/30,44.149
2018/08/31,46.575
2018/09/01,43.974
2018/09/02,43.974
2018/09/03,44.9
2018/09/04,50.835
2018/09/05,52.62
2018/09/06,72.655
2018/09/07,45.995
2018/09/08,44.276
2018/09/09,44.276
2018/09/10,49.137
2018/09/11,46.55
2018/09/12,46.062
2018/09/13,52.459
2018/09/14,50.666
2018/09/15,44.906
2018/09/16,45.416
2018/09/17,44.308
2018/09/18,49.665
2018/09/19,66.093
2018/09/20,69.76
2018/09/21,85.621
2018/09/22,49.723
2018/09/23,45.636
2018/09/24,57.222
2018/09/25,48.54
2018/09/26,48.566
2018/09/27,58.389
2018/09/28,58.903
2018/09/29,59.017
2018/09/30,48.286
2018/10/01,54.852
2018/10/02,40.232
2018/10/03,37.36
2018/10/04,38.173
2018/10/05,37.603
2018/10/06,37.662
2018/10/07,37.985
2018/10/08,38.212
2018/10/09,37.73
2018/10/10,43.315
2018/10/11,39.914
2018/10/12,39.097
2018/10/13,39.097
2018/10/14,39.097
2018/10/15,46.36
2018/10/16,42.506
2018/10/17,41.145
2018/10/18,40.292
2018/10/19,40.292
2018/10/20,41.656
2018/10/21,40.574
2018/10/22,40.574
2018/10/23,47.516
2018/10/24,83.531
2018/10/25,51.561
2018/10/26,53.795
2018/10/27,43.437
2018/10/28,45.463
2018/10/29,45.297
2018/10/30,43.374
2018/10/31,45.228
2018/11/01,43.564
2018/11/02,43.564
2018/11/03,43.564
2018/11/04,43.564
2018/11/05,56.024
2018/11/06,44.549
2018/11/07,44.549
2018/11/08,44.549
2018/11/09,66.542
2018/11/10,46.909
2018/11/11,45.264
2018/11/12,47.733
2018/11/13,47.707
2018/11/14,66.378
2018/11/15,79.817
2018/11/16,44.592
2018/11/17,44.592
2018/11/18,44.592
2018/11/19,74.804
2018/11/20,48.382
2018/11/21,45.304
2018/11/22,45.304
2018/11/23,45.304
2018/11/24,45.304
2018/11/25,47.952
2018/11/26,45.666
2018/11/27,45.343
2018/11/28,45.343
2018/11/29,45.343
2018/11/30,54.133
2018/12/01,45.581
2018/12/02,45.581
2018/12/03,48.528
2018/12/04,45.644
2018/12/05,45.644
2018/12/06,45.644
2018/12/07,57.169
2018/12/08,51.111
2018/12/09,47.368
2018/12/10,48.843
2018/12/11,44.38
2018/12/12,44.38
2018/12/13,44.38
2018/12/14,44.38
2018/12/15,44.38
2018/12/16,51.193
2018/12/17,44.792
2018/12/18,44.792
2018/12/19,44.792
2018/12/20,44.792
2018/12/21,44.792
2018/12/22,44.792
2018/12/23,44.803
2018/12/24,44.792
2018/12/25,44.792
2018/12/26,44.792
2018/12/27,44.792
2018/12/28,44.792
2018/12/29,44.792
2018/12/30,92.64
2018/12/31,46.064
2019/01/01,46.064
2019/01/02,46.064
2019/01/03,46.064
2019/01/04,46.064
2019/01/05,46.064
2019/01/06,46.064
2019/01/07,46.488
2019/01/08,53.764
2019/01/09,46.035
2019/01/10,46.035
2019/01/11,52.996
2019/01/12,46.064
2019/01/13,46.064
2019/01/14,89.6
2019/01/15,68.137
2019/01/16,43.789
2019/01/17,43.789
2019/01/18,43.789
2019/01/19,43.789
2019/01/20,43.789
2019/01/21,43.789
2019/01/22,43.789
2019/01/23,43.789
2019/01/24,43.789
2019/01/25,43.789
2019/01/26,43.789
2019/01/27,43.789
2019/01/28,69.388
2019/01/29,45.313
2019/01/30,45.313
2019/01/31,45.313
2019/02/01,45.313
2019/02/02,45.313
2019/02/03,45.313
2019/02/04,45.313
2019/02/05,45.313
2019/02/06,45.313
2019/02/07,45.313
2019/02/08,45.313
2019/02/09,45.313
2019/02/10,45.313
2019/02/11,45.313
2019/02/12,45.313
2019/02/13,45.313
2019/02/14,45.313
2019/02/15,45.313
2019/02/16,45.313
2019/02/17,45.313
2019/02/18,75.517
2019/02/19,45.925
2019/02/20,45.925
2019/02/21,45.925
2019/02/22,45.925
2019/02/23,45.925
2019/02/24,45.925
2019/02/25,45.925
2019/02/26,45.925
2019/02/27,45.925
2019/02/28,45.925
2019/03/01,45.925
2019/03/02,45.925
2019/03/03,45.925
2019/03/04,45.925
2019/03/05,45.925
2019/03/06,45.925
2019/03/07,45.925
2019/03/08,45.925
2019/03/09,45.925
2019/03/10,45.925
2019/03/11,45.925
2019/03/12,45.925
2019/03/13,45.925
2019/03/14,45.925
2019/03/15,45.925
2019/03/16,45.925
2019/03/17,45.925
2019/03/18,45.925
2019/03/19,45.925
2019/03/20,45.925
2019/03/21,45.925
2019/03/22,45.925
2019/03/23,45.925
2019/03/24,45.925
2019/03/25,45.925
2019/03/26,75.516
2019/03/27,46.091
2019/03/28,46.091
2019/03/29,46.091
2019/03/30,46.091
2019/03/31,46.091
2019/04/01,46.091
2019/04/02,46.091
2019/04/03,46.091
2019/04/04,46.091
2019/04/05,46.091
2019/04/06,46.091
2019/04/07,99.893
2019/04/08,99.926
2019/04/09,79.568
2019/04/10,40.413
2019/04/11,40.413
2019/04/12,75.985
2019/04/13,49.744
2019/04/14,44.059
2019/04/15,48.534
2019/04/16,44.391
2019/04/17,44.391
2019/04/18,44.391
2019/04/19,44.391
2019/04/20,44.391
2019/04/21,44.391
2019/04/22,44.391
2019/04/23,44.391
2019/04/24,44.391
2019/04/25,44.391
2019/04/26,44.391
2019/04/27,44.391
2019/04/28,44.391
2019/04/29,44.391
2019/04/30,44.391
2019/05/01,44.391
2019/05/02,44.391
2019/05/03,44.391
2019/05/04,44.391
2019/05/05,44.391
2019/05/06,44.391
2019/05/07,44.391
2019/05/08,44.391
2019/05/09,44.391
2019/05/10,44.391
2019/05/11,44.391
2019/05/12,44.391
2019/05/13,44.391
2019/05/14,44.391
2019/05/15,44.391
2019/05/16,98.901
2019/05/17,46.138
2019/05/18,46.138
2019/05/19,46.138
2019/05/20,46.138
2019/05/21,46.138
2019/05/22,46.138
2019/05/23,46.138
2019/05/24,46.138
2019/05/25,46.138
2019/05/26,46.138
2019/05/27,46.138
2019/05/28,46.138
2019/05/29,46.138
2019/05/30,46.138
2019/05/31,46.138
2019/06/01,46.138
2019/06/02,46.138
2019/06/03,46.138
2019/06/04,46.138
2019/06/05,46.138
2019/06/06,46.138
2019/06/07,46.138
2019/06/08,46.138
2019/06/09,46.138
2019/06/10,46.138
2019/06/11,46.138
2019/06/12,99.336
2019/06/13,46.154
2019/06/14,46.154
2019/06/15,46.154
2019/06/16,70.299
2019/06/17,46.154
2019/06/18,46.154
