Date,transactions90sma
2018/07/13,745419
2018/07/14,744185
2018/07/15,741844
2018/07/16,741413
2018/07/17,741390
2018/07/18,740633
2018/07/19,739549
2018/07/20,738722
2018/07/21,737297
2018/07/22,735880
2018/07/23,735240
2018/07/24,735083
2018/07/25,735012
2018/07/26,734580
2018/07/27,734729
2018/07/28,734144
2018/07/29,733457
2018/07/30,733945
2018/07/31,733471
2018/08/01,732561
2018/08/02,730110
2018/08/03,729709
2018/08/04,730035
2018/08/05,729083
2018/08/06,727744
2018/08/07,725580
2018/08/08,722367
2018/08/09,719171
2018/08/10,717232
2018/08/11,716063
2018/08/12,714289
2018/08/13,713352
2018/08/14,712053
2018/08/15,709973
2018/08/16,708695
2018/08/17,706039
2018/08/18,704375
2018/08/19,702124
2018/08/20,700362
2018/08/21,697831
2018/08/22,695428
2018/08/23,693191
2018/08/24,691350
2018/08/25,689142
2018/08/26,685953
2018/08/27,684106
2018/08/28,681848
2018/08/29,678672
2018/08/30,676836
2018/08/31,674716
2018/09/01,673008
2018/09/02,670931
2018/09/03,669273
2018/09/04,667445
2018/09/05,665791
2018/09/06,664334
2018/09/07,662254
2018/09/08,659721
2018/09/09,657462
2018/09/10,655144
2018/09/11,652474
2018/09/12,650304
2018/09/13,647992
2018/09/14,646599
2018/09/15,644723
2018/09/16,642086
2018/09/17,639585
2018/09/18,636224
2018/09/19,633504
2018/09/20,630478
2018/09/21,629020
2018/09/22,626779
2018/09/23,622683
2018/09/24,619885
2018/09/25,617076
2018/09/26,614284
2018/09/27,611717
2018/09/28,610243
2018/09/29,608151
2018/09/30,608037
2018/10/01,606957
2018/10/02,607437
2018/10/03,607786
2018/10/04,608898
2018/10/05,610134
2018/10/06,609749
2018/10/07,608036
2018/10/08,606382
2018/10/09,605194
2018/10/10,604646
2018/10/11,604726
2018/10/12,605317
2018/10/13,606296
2018/10/14,604160
2018/10/15,602612
2018/10/16,600715
2018/10/17,599000
2018/10/18,597824
2018/10/19,597608
2018/10/20,596038
2018/10/21,593253
2018/10/22,590947
2018/10/23,588377
2018/10/24,586233
2018/10/25,583439
2018/10/26,581741
2018/10/27,579329
2018/10/28,576575
2018/10/29,575126
2018/10/30,573467
2018/10/31,571309
2018/11/01,569485
2018/11/02,567574
2018/11/03,565360
2018/11/04,563264
2018/11/05,562664
2018/11/06,563014
2018/11/07,563304
2018/11/08,562654
2018/11/09,561437
2018/11/10,559739
2018/11/11,557882
2018/11/12,556558
2018/11/13,555503
2018/11/14,554008
2018/11/15,553516
2018/11/16,552678
2018/11/17,551632
2018/11/18,549644
2018/11/19,549836
2018/11/20,550179
2018/11/21,549957
2018/11/22,549653
2018/11/23,549461
2018/11/24,548605
2018/11/25,547307
2018/11/26,546679
2018/11/27,546890
2018/11/28,547221
2018/11/29,546980
2018/11/30,546344
2018/12/01,545293
2018/12/02,543748
2018/12/03,543288
2018/12/04,542602
2018/12/05,542679
2018/12/06,542777
2018/12/07,543100
2018/12/08,542955
2018/12/09,542354
2018/12/10,542333
2018/12/11,541948
2018/12/12,541705
2018/12/13,542275
2018/12/14,543249
2018/12/15,544288
2018/12/16,543876
2018/12/17,544649
2018/12/18,545194
2018/12/19,546300
2018/12/20,546942
2018/12/21,548456
2018/12/22,548755
2018/12/23,549458
2018/12/24,550530
2018/12/25,550991
2018/12/26,551613
2018/12/27,552147
2018/12/28,553679
2018/12/29,554394
2018/12/30,554218
2018/12/31,554571
2019/01/01,553339
2019/01/02,553681
2019/01/03,553695
2019/01/04,553167
2019/01/05,553316
2019/01/06,552700
2019/01/07,552855
2019/01/08,553262
2019/01/09,553132
2019/01/10,553362
2019/01/11,553362
2019/01/12,552707
2019/01/13,551810
2019/01/14,551831
2019/01/15,551381
2019/01/16,550736
2019/01/17,549802
2019/01/18,549855
2019/01/19,550201
2019/01/20,549761
2019/01/21,550056
2019/01/22,550865
2019/01/23,550827
2019/01/24,550482
2019/01/25,550546
2019/01/26,550040
2019/01/27,548642
2019/01/28,548199
2019/01/29,547981
2019/01/30,547606
2019/01/31,547256
2019/02/01,547187
2019/02/02,546515
2019/02/03,544760
2019/02/04,542751
2019/02/05,541087
2019/02/06,539683
2019/02/07,538359
2019/02/08,538168
2019/02/09,536939
2019/02/10,534827
2019/02/11,533443
2019/02/12,531842
2019/02/13,531046
2019/02/14,530187
2019/02/15,529776
2019/02/16,529438
2019/02/17,527493
2019/02/18,526234
2019/02/19,525724
2019/02/20,525295
2019/02/21,525126
2019/02/22,525502
2019/02/23,524915
2019/02/24,524724
2019/02/25,524812
2019/02/26,524050
2019/02/27,523871
2019/02/28,523231
2019/03/01,523475
2019/03/02,523859
2019/03/03,523240
2019/03/04,523851
2019/03/05,523875
2019/03/06,523741
2019/03/07,523744
2019/03/08,523853
2019/03/09,524389
2019/03/10,523596
2019/03/11,523601
2019/03/12,523939
2019/03/13,524023
2019/03/14,524095
2019/03/15,524108
2019/03/16,523969
2019/03/17,523133
2019/03/18,523329
2019/03/19,523754
2019/03/20,524063
2019/03/21,524194
2019/03/22,525674
2019/03/23,525875
2019/03/24,525137
2019/03/25,526400
2019/03/26,527166
2019/03/27,528027
2019/03/28,528718
2019/03/29,529792
2019/03/30,532098
2019/03/31,533478
2019/04/01,536138
2019/04/02,538015
2019/04/03,539682
2019/04/04,541061
2019/04/05,542291
2019/04/06,543088
2019/04/07,543331
2019/04/08,544605
2019/04/09,545694
2019/04/10,546708
2019/04/11,548788
2019/04/12,551477
2019/04/13,552955
2019/04/14,552664
2019/04/15,553577
2019/04/16,555230
2019/04/17,557061
2019/04/18,558825
2019/04/19,560537
2019/04/20,562193
2019/04/21,562732
2019/04/22,563995
2019/04/23,566167
2019/04/24,567820
2019/04/25,569775
2019/04/26,571957
2019/04/27,572778
2019/04/28,573055
2019/04/29,573754
2019/04/30,575448
2019/05/01,577523
2019/05/02,578939
2019/05/03,581390
2019/05/04,583601
2019/05/05,586057
2019/05/06,589294
2019/05/07,591838
2019/05/08,594709
2019/05/09,597447
2019/05/10,600999
2019/05/11,605012
2019/05/12,608199
2019/05/13,611759
2019/05/14,615529
2019/05/15,619671
2019/05/16,624556
2019/05/17,628511
2019/05/18,631705
2019/05/19,634372
2019/05/20,638000
2019/05/21,641140
2019/05/22,644790
2019/05/23,648300
2019/05/24,653054
2019/05/25,656384
2019/05/26,658488
2019/05/27,662797
2019/05/28,666920
2019/05/29,671431
2019/05/30,675257
2019/05/31,679076
2019/06/01,684236
2019/06/02,687243
2019/06/03,690477
2019/06/04,693955
2019/06/05,696474
2019/06/06,699390
2019/06/07,701641
2019/06/08,707293
2019/06/09,709285
2019/06/10,713723
2019/06/11,717686
2019/06/12,720874
2019/06/13,723060
2019/06/14,726628
2019/06/15,731563
2019/06/16,735063
2019/06/17,738487
2019/06/18,740928
2019/06/19,743902
2019/06/20,747862
2019/06/21,750260
2019/06/22,752583
2019/06/23,753970
2019/06/24,755977
2019/06/25,759379
2019/06/26,761760
2019/06/27,763691
2019/06/28,767426
2019/06/29,768394
2019/06/30,768376
2019/07/01,770521
2019/07/02,772171
2019/07/03,773057
2019/07/04,774452
2019/07/05,777675
2019/07/06,779687
2019/07/07,778733
2019/07/08,780432
2019/07/09,781519
2019/07/10,781598
2019/07/11,784715
2019/07/12,785960
2019/07/13,786363
2019/07/14,786268
2019/07/15,787232
2019/07/16,790803
2019/07/17,792274
2019/07/18,791993
2019/07/19,793423
2019/07/20,792900
2019/07/21,790712
2019/07/22,789728
2019/07/23,789037
2019/07/24,791553
2019/07/25,794765
2019/07/26,795627
2019/07/27,795451
2019/07/28,794826
2019/07/29,794484
2019/07/30,794617
2019/07/31,795261
2019/08/01,797559
2019/08/02,799169
2019/08/03,800791
2019/08/04,799269
2019/08/05,799940
2019/08/06,800441
2019/08/07,800708
2019/08/08,800219
2019/08/09,799990
2019/08/10,799047
2019/08/11,797091
2019/08/12,795784
2019/08/13,794129
2019/08/14,792223
2019/08/15,790875
2019/08/16,790692
2019/08/17,789455
2019/08/18,786867
2019/08/19,785885
2019/08/20,784331
2019/08/21,783051
2019/08/22,781196
2019/08/23,780011
2019/08/24,779135
2019/08/25,776196
2019/08/26,774422
2019/08/27,772207
2019/08/28,770322
2019/08/29,768694
2019/08/30,765988
2019/08/31,763642
2019/09/01,761433
2019/09/02,759939
2019/09/03,759404
2019/09/04,758178
2019/09/05,758304
2019/09/06,755814
2019/09/07,755388
2019/09/08,752181
2019/09/09,750254
2019/09/10,748375
2019/09/11,747881
2019/09/12,746752
2019/09/13,743246
2019/09/14,740352
2019/09/15,736906
2019/09/16,735606
2019/09/17,733337
2019/09/18,730267
2019/09/19,729321
2019/09/20,728866
2019/09/21,726904
2019/09/22,724313
2019/09/23,721059
2019/09/24,719514
2019/09/25,717998
2019/09/26,714148
2019/09/27,712929
2019/09/28,712061
2019/09/29,708061
2019/09/30,705716
2019/10/01,704513
2019/10/02,703174
2019/10/03,700575
2019/10/04,698755
2019/10/05,698900
2019/10/06,696255
2019/10/07,694671
2019/10/08,694385
2019/10/09,691897
2019/10/10,691672
2019/10/11,692952
2019/10/12,693184
2019/10/13,691224
2019/10/14,687305
2019/10/15,685757
2019/10/16,686054
2019/10/17,684811
2019/10/18,686473
2019/10/19,688059
2019/10/20,687744
2019/10/21,688541
2019/10/22,686530
2019/10/23,684159
2019/10/24,685099
2019/10/25,686921
2019/10/26,688522
