Date,transactions90mom
2019/07/18,-25309
2019/07/19,128724
2019/07/20,-47105
2019/07/21,-196910
2019/07/22,-88602
2019/07/23,-62122
2019/07/24,226401
2019/07/25,289073
2019/07/26,77573
2019/07/27,-15785
2019/07/28,-56292
2019/07/29,-30781
2019/07/30,11992
2019/07/31,57976
2019/08/01,206761
2019/08/02,144917
2019/08/03,146028
2019/08/04,-137001
2019/08/05,60394
2019/08/06,45056
2019/08/07,24037
2019/08/08,-44026
2019/08/09,-20575
2019/08/10,-84898
2019/08/11,-176030
2019/08/12,-117653
2019/08/13,-148935
2019/08/14,-171561
2019/08/15,-121244
2019/08/16,-16545
2019/08/17,-111325
2019/08/18,-232901
2019/08/19,-88338
2019/08/20,-139881
2019/08/21,-115224
2019/08/22,-166913
2019/08/23,-106667
2019/08/24,-78859
2019/08/25,-264473
2019/08/26,-159690
2019/08/27,-199351
2019/08/28,-169645
2019/08/29,-146487
2019/08/30,-243557
2019/08/31,-211121
2019/09/01,-198832
2019/09/02,-134447
2019/09/03,-48168
2019/09/04,-110385
2019/09/05,11418
2019/09/06,-224153
2019/09/07,-38296
2019/09/08,-288626
2019/09/09,-173493
2019/09/10,-169065
2019/09/11,-44466
2019/09/12,-101638
2019/09/13,-315482
2019/09/14,-260512
2019/09/15,-310133
2019/09/16,-116979
2019/09/17,-204222
