Date,median_transaction_fee7rsiUSD
2017/12/23,55.766
2017/12/24,41.478
2017/12/25,35.925
2017/12/26,37.134
2017/12/27,37.404
2017/12/28,34.98
2017/12/29,36.787
2017/12/30,35.512
2017/12/31,39.377
2018/01/01,41.762
2018/01/02,46.64
2018/01/03,52.723
2018/01/04,73.864
2018/01/05,92.601
2018/01/06,94.721
2018/01/07,88.934
2018/01/08,90.276
2018/01/09,90.771
2018/01/10,94.759
2018/01/11,70.951
2018/01/12,47.581
2018/01/13,56.396
2018/01/14,50.442
2018/01/15,44.951
2018/01/16,41.314
2018/01/17,37.739
2018/01/18,43.741
2018/01/19,41.589
2018/01/20,42.659
2018/01/21,41.044
2018/01/22,30.859
2018/01/23,38.457
2018/01/24,38.653
2018/01/25,37.28
2018/01/26,28.587
2018/01/27,29.293
2018/01/28,31.944
2018/01/29,51.019
2018/01/30,39.106
2018/01/31,38.588
2018/02/01,57.803
2018/02/02,46.367
2018/02/03,43.173
2018/02/04,39.201
2018/02/05,36.742
2018/02/06,36.386
2018/02/07,41.996
2018/02/08,39.055
2018/02/09,39.529
2018/02/10,40.708
2018/02/11,39.639
2018/02/12,40.905
2018/02/13,40.579
2018/02/14,42.492
2018/02/15,45.111
2018/02/16,45.248
2018/02/17,47.363
2018/02/18,59.871
2018/02/19,45.749
2018/02/20,45.654
2018/02/21,35.032
2018/02/22,30.333
2018/02/23,42.681
2018/02/24,47.889
2018/02/25,41.131
2018/02/26,36.487
2018/02/27,37.538
2018/02/28,54.101
2018/03/01,46.783
2018/03/02,53.686
2018/03/03,40.238
2018/03/04,53.381
2018/03/05,53.745
2018/03/06,51.512
2018/03/07,48.711
2018/03/08,38.294
2018/03/09,32.016
2018/03/10,28.704
2018/03/11,27.972
2018/03/12,28.67
2018/03/13,24.903
2018/03/14,23.86
2018/03/15,26.132
2018/03/16,27.844
2018/03/17,24.988
2018/03/18,29.975
2018/03/19,25.79
2018/03/20,30.492
2018/03/21,30.04
2018/03/22,27.919
2018/03/23,32.588
2018/03/24,26.341
