Date,transactionvalue3rsiUSD
2018/07/04,79.652
2018/07/05,59.795
2018/07/06,70.971
2018/07/07,28.713
2018/07/08,24.558
2018/07/09,54.477
2018/07/10,49.734
2018/07/11,29.137
2018/07/12,33.823
2018/07/13,30.227
2018/07/14,17.346
2018/07/15,16.294
2018/07/16,71.211
2018/07/17,76.674
2018/07/18,83.617
2018/07/19,42.055
2018/07/20,57.316
2018/07/21,26.613
2018/07/22,22.362
2018/07/23,54.471
2018/07/24,58.182
2018/07/25,43.434
2018/07/26,31.895
2018/07/27,30.358
2018/07/28,12.315
2018/07/29,11.253
2018/07/30,70.438
2018/07/31,88.859
2018/08/01,43.034
2018/08/02,43.672
2018/08/03,36.896
2018/08/04,28.397
2018/08/05,26.685
2018/08/06,53.157
2018/08/07,67.189
2018/08/08,85.827
2018/08/09,57.924
2018/08/10,56.371
2018/08/11,33.2
2018/08/12,19.373
2018/08/13,64.411
2018/08/14,68.478
2018/08/15,52.165
2018/08/16,27.949
2018/08/17,52.228
2018/08/18,31.63
2018/08/19,25.799
2018/08/20,49.481
2018/08/21,52.707
2018/08/22,66.116
2018/08/23,45.81
2018/08/24,45.236
2018/08/25,27.733
2018/08/26,22.659
2018/08/27,63.569
2018/08/28,61.528
2018/08/29,78.568
2018/08/30,47.111
2018/08/31,55.87
2018/09/01,27.369
2018/09/02,21.159
2018/09/03,69.752
2018/09/04,87.587
2018/09/05,56.167
2018/09/06,62.579
2018/09/07,46.967
2018/09/08,35.621
2018/09/09,30.926
2018/09/10,47.082
2018/09/11,45.355
2018/09/12,78.761
2018/09/13,39.861
2018/09/14,46.185
2018/09/15,27.523
2018/09/16,22.866
2018/09/17,50.455
2018/09/18,49.022
2018/09/19,33.598
2018/09/20,62.339
2018/09/21,86.267
2018/09/22,44.351
2018/09/23,38.808
2018/09/24,58.408
2018/09/25,43.284
2018/09/26,46.891
2018/09/27,36.399
2018/09/28,45.613
2018/09/29,41.389
2018/09/30,25.169
2018/10/01,18.957
2018/10/02,11.077
2018/10/03,49.999
2018/10/04,52.461
2018/10/05,31.521
2018/10/06,15.49
2018/10/07,26.847
2018/10/08,72.441
2018/10/09,55.803
2018/10/10,63.137
2018/10/11,89.416
2018/10/12,46.169
2018/10/13,30.913
2018/10/14,32.793
2018/10/15,78.738
2018/10/16,50.828
2018/10/17,44.005
2018/10/18,55.77
2018/10/19,35.578
2018/10/20,34.725
2018/10/21,60.939
2018/10/22,38.816
2018/10/23,46.167
2018/10/24,46.804
2018/10/25,72.296
2018/10/26,42.582
2018/10/27,24.747
2018/10/28,24.894
2018/10/29,62.108
2018/10/30,46.505
2018/10/31,54.072
2018/11/01,45.74
2018/11/02,70.042
2018/11/03,31.9
2018/11/04,56.412
2018/11/05,74.765
2018/11/06,50.521
2018/11/07,65.625
2018/11/08,45.296
2018/11/09,41.659
2018/11/10,25.49
2018/11/11,22.721
2018/11/12,64.881
2018/11/13,56.078
2018/11/14,83.169
2018/11/15,81.223
2018/11/16,39.981
2018/11/17,24.175
2018/11/18,50.073
2018/11/19,78.659
2018/11/20,79.211
2018/11/21,42.752
2018/11/22,28.616
2018/11/23,34.901
2018/11/24,27.319
2018/11/25,59.409
2018/11/26,44.579
2018/11/27,31.045
2018/11/28,46.235
2018/11/29,63.909
2018/11/30,96.342
2018/12/01,96.498
2018/12/02,28.968
2018/12/03,31.908
2018/12/04,31.595
2018/12/05,35.119
2018/12/06,42.537
2018/12/07,49.828
2018/12/08,32.267
2018/12/09,31.774
2018/12/10,30.166
2018/12/11,33.363
2018/12/12,28.282
2018/12/13,52.744
2018/12/14,36.953
2018/12/15,19.396
2018/12/16,27.423
2018/12/17,74.335
2018/12/18,74.994
2018/12/19,88.45
2018/12/20,90.049
2018/12/21,92.071
2018/12/22,28.076
2018/12/23,56.466
2018/12/24,72.521
2018/12/25,39.268
2018/12/26,33.778
2018/12/27,51.135
2018/12/28,51.76
2018/12/29,79.103
2018/12/30,34.647
2018/12/31,41.137
2019/01/01,37.226
2019/01/02,60.947
2019/01/03,51.936
2019/01/04,81.814
2019/01/05,87.991
2019/01/06,40.959
2019/01/07,39.14
2019/01/08,32.252
2019/01/09,28.992
2019/01/10,53.22
2019/01/11,71.045
2019/01/12,26.813
2019/01/13,31.31
2019/01/14,60.55
2019/01/15,43.762
2019/01/16,52.787
2019/01/17,37.485
2019/01/18,27.517
2019/01/19,22.277
2019/01/20,37.19
2019/01/21,33.822
2019/01/22,31.117
2019/01/23,62.024
2019/01/24,78.825
2019/01/25,50.643
2019/01/26,27.046
2019/01/27,54.991
2019/01/28,75.686
2019/01/29,43.248
