Date,hashrate14std
2020/03/06,4133488653099
2020/03/07,4121148831627
2020/03/08,4818721937543
2020/03/09,4792774479445
2020/03/10,4358230788482
2020/03/11,4421084007013
2020/03/12,3668457570753
2020/03/13,4675127583194
2020/03/14,6199845916001
2020/03/15,6975249871298
2020/03/16,7395743818941
2020/03/17,8815608444148
2020/03/18,8775203507209
2020/03/19,8754930488564
2020/03/20,8938463021616
2020/03/21,8810000034050
2020/03/22,7913082360447
2020/03/23,7282417801580
2020/03/24,6479098093333
2020/03/25,6088128191967
2020/03/26,4871286770144
2020/03/27,4937362818797
2020/03/28,4812046405890
2020/03/29,5289077856877
2020/03/30,5510315243060
2020/03/31,4655100248905
2020/04/01,4582236574138
2020/04/02,4836330298425
2020/04/03,4662862316804
2020/04/04,4535540980904
2020/04/05,3675280973907
2020/04/06,5214481969781
2020/04/07,5110638688098
2020/04/08,5119999784895
2020/04/09,5117830628108
2020/04/10,5522113296478
2020/04/11,5741716674650
2020/04/12,5645841174338
2020/04/13,5478017850473
2020/04/14,5898749230764
2020/04/15,6127009360400
2020/04/16,6359344468695
2020/04/17,6375875714366
2020/04/18,6163373604445
2020/04/19,6218414641798
2020/04/20,4828669674589
2020/04/21,4689769888735
2020/04/22,4550258743990
2020/04/23,4704688688210
2020/04/24,4567114373130
2020/04/25,3897768835503
2020/04/26,3848635384748
2020/04/27,4428694056091
2020/04/28,4657809233619
2020/04/29,4695696323166
2020/04/30,5027923236464
2020/05/01,7259895098696
2020/05/02,8333482190605
2020/05/03,8199464565044
2020/05/04,9031977528784
2020/05/05,9653194887898
2020/05/06,9469543155733
2020/05/07,9506673696610
2020/05/08,9415964857115
2020/05/09,9034069097706
2020/05/10,8783459928521
2020/05/11,7617610227355
2020/05/12,5895160503833
2020/05/13,5864004430363
2020/05/14,5863226639192
2020/05/15,5483024164520
2020/05/16,5288758846900
2020/05/17,5676731487469
2020/05/18,5011447882032
2020/05/19,4641368818940
2020/05/20,4753277686589
2020/05/21,4819185335232
2020/05/22,4945819378127
2020/05/23,5163290147426
2020/05/24,5173629489217
2020/05/25,5390727101116
2020/05/26,5451284399446
2020/05/27,5480734023421
2020/05/28,5567081103678
2020/05/29,5107431114859
2020/05/30,5281932450979
2020/05/31,5335100277712
2020/06/01,5363695781205
2020/06/02,5254350142472
2020/06/03,5792039764391
2020/06/04,6061171441567
2020/06/05,5798789098906
2020/06/06,5985410023535
2020/06/07,6550170588464
2020/06/08,5816328688323
2020/06/09,5161527751983
2020/06/10,5833339593466
2020/06/11,5208171069944
2020/06/12,5003718468136
2020/06/13,5060501330879
2020/06/14,4959400221911
2020/06/15,4908496010321
2020/06/16,4990635177780
2020/06/17,5033890926589
2020/06/18,4700283610757
2020/06/19,4865558307791
2020/06/20,5193626108445
2020/06/21,4965669378442
2020/06/22,4928100101544
2020/06/23,5295006035228
2020/06/24,5050786298090
2020/06/25,5772068938952
2020/06/26,6222288842135
2020/06/27,5951217941841
2020/06/28,5756122959696
2020/06/29,5598281960947
2020/06/30,5633507000455
2020/07/01,4725709090900
2020/07/02,3957641226777
2020/07/03,4070249491452
2020/07/04,4194385243750
2020/07/05,4162773094383
2020/07/06,3392882236242
2020/07/07,3345237148217
2020/07/08,4318623247485
2020/07/09,4287551718688
2020/07/10,4159539362027
2020/07/11,4368973745869
2020/07/12,4718605056822
2020/07/13,5416100214248
2020/07/14,5377498918471
2020/07/15,4637704348323
2020/07/16,4103780427241
2020/07/17,4668699431900
2020/07/18,4776795264266
2020/07/19,4649571755366
2020/07/20,4935980638282
2020/07/21,6462686982849
2020/07/22,7887134253717
2020/07/23,7830584894237
2020/07/24,8431911684505
2020/07/25,8459276659049
2020/07/26,8599269667324
2020/07/27,8506637661488
2020/07/28,10185748358277
2020/07/29,11694825091288
2020/07/30,11990717094198
2020/07/31,11692446180011
2020/08/01,11803185834509
2020/08/02,12583502964287
2020/08/03,12301800642211
2020/08/04,10824724600982
2020/08/05,7893037942168
2020/08/06,7396673434537
2020/08/07,7801429837777
2020/08/08,6490356698292
2020/08/09,8034947302052
2020/08/10,8473340693360
2020/08/11,8541332386851
2020/08/12,9054899750066
2020/08/13,9475885544156
2020/08/14,10636729169622
2020/08/15,12709376217211
2020/08/16,13380656702629
2020/08/17,12383952093951
2020/08/18,11784406299097
2020/08/19,10577118016790
2020/08/20,10172711347978
2020/08/21,10970111812898
2020/08/22,10852108818869
2020/08/23,12114334802082
2020/08/24,12310901312073
2020/08/25,11889567929106
2020/08/26,12252484580072
2020/08/27,11783230983187
2020/08/28,12542196267082
2020/08/29,12447498597364
2020/08/30,12724625584264
2020/08/31,11343121811545
2020/09/01,9447912619813
2020/09/02,9331338200895
2020/09/03,8811885260879
2020/09/04,11644076804380
2020/09/05,12638132452950
2020/09/06,16054753890136
2020/09/07,17788283210611
2020/09/08,18416340379709
2020/09/09,18659030923249
2020/09/10,17466891336308
2020/09/11,17798434082586
2020/09/12,16915458154287
2020/09/13,15897857487609
2020/09/14,13766122178573
2020/09/15,13626404923956
2020/09/16,12305378829558
2020/09/17,10956198271739
2020/09/18,10339716121736
2020/09/19,9703154024059
2020/09/20,10662475805245
2020/09/21,12053333483306
2020/09/22,11799184621388
2020/09/23,12006093422519
2020/09/24,9601448664817
2020/09/25,8960517146594
2020/09/26,9343654974911
2020/09/27,9313600311168
2020/09/28,8604403524221
2020/09/29,8338180060974
2020/09/30,6326813219274
2020/10/01,6217562222803
2020/10/02,5171360580026
2020/10/03,5125632450950
2020/10/04,5137073789403
2020/10/05,5032970067253
2020/10/06,8366802609525
2020/10/07,8846783956925
2020/10/08,8378890444246
2020/10/09,7911198002290
2020/10/10,8930214298834
2020/10/11,9260499605713
2020/10/12,9167622082811
2020/10/13,9902241530607
2020/10/14,9718703967931
2020/10/15,10080315431180
2020/10/16,9943304742284
2020/10/17,8583306077874
2020/10/18,7928857353211
2020/10/19,8043329585329
2020/10/20,7911694935154
2020/10/21,7873645841490
2020/10/22,6984498554871
