Date,fee_to_reward30rocUSD
2017/10/24,-38.941
2017/10/25,-43.925
2017/10/26,-48.98
2017/10/27,-42.205
2017/10/28,-53.539
2017/10/29,-49.909
2017/10/30,-43.058
2017/10/31,-33.589
2017/11/01,-24.851
2017/11/02,-30.593
2017/11/03,-46.942
2017/11/04,-59.768
2017/11/05,-67.137
2017/11/06,-44.45
2017/11/07,-43.038
2017/11/08,-38.848
2017/11/09,-43.085
2017/11/10,-53.723
2017/11/11,-58.167
2017/11/12,-53.477
2017/11/13,-43.49
2017/11/14,-33.758
2017/11/15,-9.621
2017/11/16,-1.51
2017/11/17,17.285
2017/11/18,-10.16
2017/11/19,-31.059
2017/11/20,50.749
2017/11/21,75.947
2017/11/22,34.839
2017/11/23,1.073
2017/11/24,5.685
2017/11/25,5.822
2017/11/26,15.278
2017/11/27,61.074
2017/11/28,75.048
2017/11/29,50.628
2017/11/30,32.671
2017/12/01,15.077
2017/12/02,-3.925
2017/12/03,45.501
2017/12/04,263.383
2017/12/05,454.384
2017/12/06,465.309
2017/12/07,605.926
2017/12/08,545.933
2017/12/09,528.947
2017/12/10,549.992
2017/12/11,512.94
2017/12/12,406.265
2017/12/13,319.584
2017/12/14,351.79
2017/12/15,240.353
2017/12/16,317.723
2017/12/17,219.855
2017/12/18,328.607
2017/12/19,386.311
2017/12/20,333.803
2017/12/21,356.555
2017/12/22,322.712
2017/12/23,223.67
2017/12/24,222.26
2017/12/25,161.31
2017/12/26,120.764
2017/12/27,115.98
2017/12/28,100.386
2017/12/29,121.539
2017/12/30,130.128
2017/12/31,108.64
2018/01/01,114.138
2018/01/02,148.986
2018/01/03,49.259
2018/01/04,22.56
2018/01/05,77.088
2018/01/06,40.542
2018/01/07,12.656
2018/01/08,24.807
2018/01/09,41.795
2018/01/10,95.672
2018/01/11,71.442
2018/01/12,54.121
2018/01/13,32.484
2018/01/14,42.215
2018/01/15,44.791
2018/01/16,70.261
2018/01/17,65.596
2018/01/18,40.074
2018/01/19,6.374
2018/01/20,-3.156
2018/01/21,-16.719
2018/01/22,-0.389
2018/01/23,31.385
2018/01/24,62.032
2018/01/25,39.097
2018/01/26,15.882
2018/01/27,-1.71
2018/01/28,-10.997
2018/01/29,26.713
2018/01/30,21.633
2018/01/31,36.569
2018/02/01,40.62
2018/02/02,-1.611
2018/02/03,-35.289
2018/02/04,-66.322
2018/02/05,-69.623
2018/02/06,-61.162
2018/02/07,-65.959
2018/02/08,-74.704
2018/02/09,-75.395
2018/02/10,-70.126
2018/02/11,-67.321
2018/02/12,-69.113
2018/02/13,-67.28
2018/02/14,-67.225
2018/02/15,-67.346
2018/02/16,-67.093
2018/02/17,-65.049
2018/02/18,-54.587
2018/02/19,-58.911
2018/02/20,-41.761
2018/02/21,-37.113
2018/02/22,-53.204
2018/02/23,-49.395
2018/02/24,-39.563
2018/02/25,-40.958
2018/02/26,-32.207
2018/02/27,-34.933
2018/02/28,-38.463
2018/03/01,-45.42
2018/03/02,-31.951
2018/03/03,-63.906
2018/03/04,-52.454
2018/03/05,-30.003
2018/03/06,-37.81
2018/03/07,-28.954
2018/03/08,-39.881
2018/03/09,-39.038
2018/03/10,-37.054
2018/03/11,-47.68
2018/03/12,-30.285
2018/03/13,-38.124
2018/03/14,-33.62
2018/03/15,-36.675
2018/03/16,-41.209
2018/03/17,-49.465
2018/03/18,-38.034
2018/03/19,-42.136
2018/03/20,-50.259
2018/03/21,-30.455
2018/03/22,-41.818
2018/03/23,-35.413
2018/03/24,-37.033
2018/03/25,-43.965
2018/03/26,-35.266
2018/03/27,-33.68
2018/03/28,-31.844
2018/03/29,-30.727
2018/03/30,-50.981
2018/03/31,-48.99
2018/04/01,-62.417
2018/04/02,-38.045
2018/04/03,-36.799
2018/04/04,-51.29
2018/04/05,-5.968
2018/04/06,-44.42
2018/04/07,-53.591
2018/04/08,-42.152
2018/04/09,-21.557
2018/04/10,-18.452
2018/04/11,-34.884
2018/04/12,-2.292
2018/04/13,3.507
2018/04/14,-18.458
2018/04/15,-21.247
2018/04/16,6.802
2018/04/17,-2.493
2018/04/18,10.233
2018/04/19,16.177
2018/04/20,-0.416
2018/04/21,-18.154
2018/04/22,-20.951
2018/04/23,2.1
2018/04/24,40.069
2018/04/25,13.018
2018/04/26,23.461
2018/04/27,30.483
2018/04/28,18.056
2018/04/29,50.097
