Date,size14sma
2018/05/24,24833
2018/05/25,24820
2018/05/26,24770
2018/05/27,24768
2018/05/28,24731
2018/05/29,24770
2018/05/30,24824
2018/05/31,25026
2018/06/01,25061
2018/06/02,25072
2018/06/03,25167
2018/06/04,25227
2018/06/05,25264
2018/06/06,25151
2018/06/07,25073
2018/06/08,25044
2018/06/09,25123
2018/06/10,25199
2018/06/11,25131
2018/06/12,25014
2018/06/13,25009
2018/06/14,24775
2018/06/15,24595
2018/06/16,24719
2018/06/17,24354
2018/06/18,24043
2018/06/19,23982
2018/06/20,24069
2018/06/21,24008
2018/06/22,24007
2018/06/23,23752
2018/06/24,23495
2018/06/25,23549
2018/06/26,23562
2018/06/27,23500
2018/06/28,23484
2018/06/29,23527
2018/06/30,23222
2018/07/01,23403
2018/07/02,23228
2018/07/03,23017
2018/07/04,22541
2018/07/05,22395
2018/07/06,22018
2018/07/07,21955
2018/07/08,22055
2018/07/09,21851
2018/07/10,21820
2018/07/11,21643
2018/07/12,21451
2018/07/13,21278
2018/07/14,21099
2018/07/15,20826
2018/07/16,21098
2018/07/17,21208
2018/07/18,21542
2018/07/19,21701
2018/07/20,21845
2018/07/21,21806
2018/07/22,21694
2018/07/23,21744
2018/07/24,21801
2018/07/25,21948
2018/07/26,22110
2018/07/27,22251
2018/07/28,22251
2018/07/29,22479
2018/07/30,22509
2018/07/31,22533
2018/08/01,22614
2018/08/02,22676
2018/08/03,22760
2018/08/04,22910
2018/08/05,23011
2018/08/06,23029
2018/08/07,22713
2018/08/08,22149
2018/08/09,21580
2018/08/10,21282
2018/08/11,21332
2018/08/12,21181
2018/08/13,21045
2018/08/14,20898
2018/08/15,20544
2018/08/16,20382
2018/08/17,20247
2018/08/18,20336
2018/08/19,20322
2018/08/20,20452
2018/08/21,20841
2018/08/22,21310
2018/08/23,21936
2018/08/24,22241
2018/08/25,22573
2018/08/26,22890
2018/08/27,23098
2018/08/28,23393
2018/08/29,23734
2018/08/30,23830
2018/08/31,23945
2018/09/01,24033
2018/09/02,24108
2018/09/03,24098
2018/09/04,23944
2018/09/05,24128
2018/09/06,24069
2018/09/07,24230
2018/09/08,24250
2018/09/09,24101
2018/09/10,24006
2018/09/11,23744
2018/09/12,23714
2018/09/13,23741
2018/09/14,24040
2018/09/15,24187
2018/09/16,24482
2018/09/17,24547
2018/09/18,24768
2018/09/19,24383
2018/09/20,24437
2018/09/21,24518
2018/09/22,24505
2018/09/23,24765
2018/09/24,25134
2018/09/25,25555
2018/09/26,25955
2018/09/27,26344
2018/09/28,26469
2018/09/29,26085
2018/09/30,25847
2018/10/01,25752
2018/10/02,25604
2018/10/03,25704
2018/10/04,25590
2018/10/05,25205
2018/10/06,24676
2018/10/07,23936
2018/10/08,23104
2018/10/09,22392
2018/10/10,21472
2018/10/11,20664
2018/10/12,20102
2018/10/13,19880
2018/10/14,19265
2018/10/15,18764
2018/10/16,18303
2018/10/17,18042
2018/10/18,17693
2018/10/19,17528
2018/10/20,17395
2018/10/21,17446
2018/10/22,17628
2018/10/23,17583
2018/10/24,17854
2018/10/25,18119
2018/10/26,18113
2018/10/27,17963
2018/10/28,17986
2018/10/29,18136
2018/10/30,18239
2018/10/31,18246
2018/11/01,18269
2018/11/02,18170
2018/11/03,18174
2018/11/04,18158
2018/11/05,18014
2018/11/06,18105
2018/11/07,17900
2018/11/08,17650
2018/11/09,17461
2018/11/10,17544
2018/11/11,17653
2018/11/12,17563
2018/11/13,17464
2018/11/14,17533
2018/11/15,17502
2018/11/16,17497
2018/11/17,17476
2018/11/18,17389
2018/11/19,17492
2018/11/20,17554
2018/11/21,17565
2018/11/22,17523
2018/11/23,17537
2018/11/24,17483
2018/11/25,17441
2018/11/26,17358
2018/11/27,17373
2018/11/28,17449
2018/11/29,17461
2018/11/30,17571
2018/12/01,17625
2018/12/02,17668
2018/12/03,17598
2018/12/04,17471
2018/12/05,17543
2018/12/06,17641
2018/12/07,17694
2018/12/08,17816
2018/12/09,17842
2018/12/10,17909
2018/12/11,17896
2018/12/12,17666
2018/12/13,17653
2018/12/14,17656
2018/12/15,17694
2018/12/16,17736
2018/12/17,17798
2018/12/18,17920
2018/12/19,17967
2018/12/20,17998
2018/12/21,18087
2018/12/22,18037
2018/12/23,18067
2018/12/24,18128
2018/12/25,18037
2018/12/26,18167
2018/12/27,18161
2018/12/28,18107
2018/12/29,18115
2018/12/30,18020
2018/12/31,17850
2019/01/01,17421
2019/01/02,17313
2019/01/03,17296
2019/01/04,17239
2019/01/05,17292
2019/01/06,17189
2019/01/07,17129
2019/01/08,17233
2019/01/09,17189
2019/01/10,17302
2019/01/11,17357
2019/01/12,17286
2019/01/13,17375
2019/01/14,17514
2019/01/15,17829
2019/01/16,17821
2019/01/17,17718
2019/01/18,17638
2019/01/19,17674
2019/01/20,17815
2019/01/21,18040
2019/01/22,18383
2019/01/23,18586
2019/01/24,18636
2019/01/25,18609
2019/01/26,18716
2019/01/27,18893
2019/01/28,19116
2019/01/29,19404
2019/01/30,19659
2019/01/31,19866
2019/02/01,20053
2019/02/02,20027
2019/02/03,19939
2019/02/04,19580
2019/02/05,19143
2019/02/06,18880
2019/02/07,18708
2019/02/08,18756
2019/02/09,18735
2019/02/10,18759
2019/02/11,18696
2019/02/12,18605
2019/02/13,18733
2019/02/14,18912
2019/02/15,19082
2019/02/16,19368
2019/02/17,19769
2019/02/18,20324
2019/02/19,20894
2019/02/20,21447
2019/02/21,22003
2019/02/22,22431
2019/02/23,22767
2019/02/24,23181
2019/02/25,23609
2019/02/26,23998
2019/02/27,24139
2019/02/28,24268
2019/03/01,23996
2019/03/02,23635
2019/03/03,23145
2019/03/04,22838
2019/03/05,22420
2019/03/06,21918
2019/03/07,21339
2019/03/08,20899
2019/03/09,20592
2019/03/10,19924
2019/03/11,19236
2019/03/12,18622
2019/03/13,18179
2019/03/14,17705
2019/03/15,17632
2019/03/16,17619
2019/03/17,17618
2019/03/18,17588
2019/03/19,17762
2019/03/20,17901
2019/03/21,18123
2019/03/22,18196
2019/03/23,18183
2019/03/24,18318
2019/03/25,18529
2019/03/26,18724
2019/03/27,18799
2019/03/28,18887
2019/03/29,19104
2019/03/30,19421
2019/03/31,19751
2019/04/01,19831
2019/04/02,19966
2019/04/03,20214
2019/04/04,20325
2019/04/05,20285
2019/04/06,20261
2019/04/07,20310
2019/04/08,20325
2019/04/09,20270
2019/04/10,20442
2019/04/11,20756
2019/04/12,20713
2019/04/13,20490
2019/04/14,20279
2019/04/15,20350
2019/04/16,20324
2019/04/17,20161
2019/04/18,20120
2019/04/19,20231
2019/04/20,20456
2019/04/21,20687
2019/04/22,20751
2019/04/23,20919
2019/04/24,20734
2019/04/25,20449
2019/04/26,20426
2019/04/27,20342
2019/04/28,20410
2019/04/29,20248
2019/04/30,20119
2019/05/01,20070
2019/05/02,20273
2019/05/03,20356
2019/05/04,20234
2019/05/05,20108
2019/05/06,20373
2019/05/07,20804
2019/05/08,21129
2019/05/09,21323
2019/05/10,21529
2019/05/11,21975
2019/05/12,22230
2019/05/13,22501
2019/05/14,22738
2019/05/15,23110
2019/05/16,23288
2019/05/17,23554
2019/05/18,23880
2019/05/19,24080
2019/05/20,24088
2019/05/21,23798
2019/05/22,23875
2019/05/23,24059
2019/05/24,24255
2019/05/25,24283
2019/05/26,24305
2019/05/27,24572
2019/05/28,24675
2019/05/29,24724
2019/05/30,24664
2019/05/31,24500
2019/06/01,24654
2019/06/02,24827
2019/06/03,24854
2019/06/04,24951
2019/06/05,24792
