Date,difficulty30trx
2017/09/03,1.349
2017/09/04,1.35
2017/09/05,1.349
2017/09/06,1.345
2017/09/07,1.339
2017/09/08,1.334
2017/09/09,1.327
2017/09/10,1.318
2017/09/11,1.308
2017/09/12,1.298
2017/09/13,1.285
2017/09/14,1.271
2017/09/15,1.257
2017/09/16,1.241
2017/09/17,1.224
2017/09/18,1.207
2017/09/19,1.188
2017/09/20,1.169
2017/09/21,1.15
2017/09/22,1.139
2017/09/23,1.134
2017/09/24,1.133
2017/09/25,1.135
2017/09/26,1.138
2017/09/27,1.142
2017/09/28,1.145
2017/09/29,1.147
2017/09/30,1.145
2017/10/01,1.143
2017/10/02,1.139
2017/10/03,1.133
2017/10/04,1.126
2017/10/05,1.119
2017/10/06,1.111
2017/10/07,1.101
2017/10/08,1.089
2017/10/09,1.077
2017/10/10,1.064
2017/10/11,1.05
2017/10/12,1.036
2017/10/13,1.021
2017/10/14,1.006
2017/10/15,0.989
2017/10/16,0.959
2017/10/17,0.913
2017/10/18,0.854
2017/10/19,0.786
2017/10/20,0.712
2017/10/21,0.634
2017/10/22,0.553
2017/10/23,0.471
2017/10/24,0.389
2017/10/25,0.308
2017/10/26,0.229
2017/10/27,0.135
2017/10/28,0.029
2017/10/29,-0.084
2017/10/30,-0.203
2017/10/31,-0.325
2017/11/01,-0.431
2017/11/02,-0.525
2017/11/03,-0.607
2017/11/04,-0.68
2017/11/05,-0.743
2017/11/06,-0.797
2017/11/07,-0.844
2017/11/08,-0.884
2017/11/09,-0.918
2017/11/10,-0.946
2017/11/11,-0.969
2017/11/12,-0.986
2017/11/13,-0.999
2017/11/14,-1.008
2017/11/15,-1.013
2017/11/16,-1.016
2017/11/17,-1.016
2017/11/18,-1.014
2017/11/19,-1.01
2017/11/20,-1.003
2017/11/21,-0.993
2017/11/22,-0.981
2017/11/23,-0.966
2017/11/24,-0.949
2017/11/25,-0.928
2017/11/26,-0.906
2017/11/27,-0.883
2017/11/28,-0.858
2017/11/29,-0.833
2017/11/30,-0.807
2017/12/01,-0.78
2017/12/02,-0.752
2017/12/03,-0.724
2017/12/04,-0.696
2017/12/05,-0.67
2017/12/06,-0.644
2017/12/07,-0.619
2017/12/08,-0.594
2017/12/09,-0.568
2017/12/10,-0.543
2017/12/11,-0.517
2017/12/12,-0.492
2017/12/13,-0.466
2017/12/14,-0.44
2017/12/15,-0.411
2017/12/16,-0.381
2017/12/17,-0.35
2017/12/18,-0.317
2017/12/19,-0.285
2017/12/20,-0.253
2017/12/21,-0.221
2017/12/22,-0.191
2017/12/23,-0.16
2017/12/24,-0.129
2017/12/25,-0.097
2017/12/26,-0.066
2017/12/27,-0.035
2017/12/28,-0.003
2017/12/29,0.027
2017/12/30,0.057
2017/12/31,0.086
2018/01/01,0.114
2018/01/02,0.142
2018/01/03,0.167
2018/01/04,0.191
2018/01/05,0.214
2018/01/06,0.234
2018/01/07,0.254
2018/01/08,0.273
2018/01/09,0.292
2018/01/10,0.31
2018/01/11,0.328
2018/01/12,0.346
2018/01/13,0.365
2018/01/14,0.384
2018/01/15,0.403
2018/01/16,0.422
2018/01/17,0.442
2018/01/18,0.462
2018/01/19,0.482
2018/01/20,0.502
2018/01/21,0.523
2018/01/22,0.544
2018/01/23,0.564
2018/01/24,0.585
2018/01/25,0.606
2018/01/26,0.627
2018/01/27,0.646
2018/01/28,0.665
2018/01/29,0.683
2018/01/30,0.701
2018/01/31,0.718
2018/02/01,0.735
2018/02/02,0.752
2018/02/03,0.768
2018/02/04,0.785
2018/02/05,0.8
2018/02/06,0.815
2018/02/07,0.829
2018/02/08,0.842
2018/02/09,0.853
2018/02/10,0.864
2018/02/11,0.873
2018/02/12,0.883
2018/02/13,0.891
2018/02/14,0.898
2018/02/15,0.902
2018/02/16,0.906
2018/02/17,0.908
2018/02/18,0.909
2018/02/19,0.909
2018/02/20,0.906
2018/02/21,0.901
2018/02/22,0.895
2018/02/23,0.888
2018/02/24,0.879
2018/02/25,0.871
2018/02/26,0.862
2018/02/27,0.851
2018/02/28,0.84
2018/03/01,0.83
2018/03/02,0.819
2018/03/03,0.809
2018/03/04,0.799
2018/03/05,0.788
2018/03/06,0.778
2018/03/07,0.767
2018/03/08,0.758
2018/03/09,0.747
2018/03/10,0.737
2018/03/11,0.726
2018/03/12,0.714
2018/03/13,0.703
2018/03/14,0.69
2018/03/15,0.677
2018/03/16,0.665
2018/03/17,0.654
2018/03/18,0.643
2018/03/19,0.632
2018/03/20,0.621
2018/03/21,0.611
2018/03/22,0.6
2018/03/23,0.589
2018/03/24,0.578
2018/03/25,0.566
2018/03/26,0.555
2018/03/27,0.544
2018/03/28,0.533
2018/03/29,0.521
2018/03/30,0.509
2018/03/31,0.495
2018/04/01,0.482
2018/04/02,0.469
2018/04/03,0.454
2018/04/04,0.44
2018/04/05,0.425
2018/04/06,0.411
2018/04/07,0.397
2018/04/08,0.383
2018/04/09,0.369
2018/04/10,0.354
2018/04/11,0.34
2018/04/12,0.325
2018/04/13,0.31
2018/04/14,0.296
2018/04/15,0.281
2018/04/16,0.267
2018/04/17,0.254
2018/04/18,0.24
2018/04/19,0.226
2018/04/20,0.213
2018/04/21,0.201
2018/04/22,0.189
2018/04/23,0.178
2018/04/24,0.168
2018/04/25,0.158
2018/04/26,0.15
2018/04/27,0.142
2018/04/28,0.134
2018/04/29,0.127
2018/04/30,0.12
2018/05/01,0.114
2018/05/02,0.107
2018/05/03,0.101
2018/05/04,0.096
2018/05/05,0.092
2018/05/06,0.089
2018/05/07,0.087
2018/05/08,0.087
2018/05/09,0.087
2018/05/10,0.087
2018/05/11,0.088
2018/05/12,0.09
2018/05/13,0.092
2018/05/14,0.095
2018/05/15,0.097
2018/05/16,0.099
2018/05/17,0.101
2018/05/18,0.102
2018/05/19,0.102
2018/05/20,0.103
2018/05/21,0.104
2018/05/22,0.105
2018/05/23,0.105
2018/05/24,0.105
2018/05/25,0.103
2018/05/26,0.102
2018/05/27,0.1
2018/05/28,0.097
2018/05/29,0.095
2018/05/30,0.091
2018/05/31,0.088
2018/06/01,0.084
2018/06/02,0.08
2018/06/03,0.076
2018/06/04,0.071
2018/06/05,0.067
2018/06/06,0.062
2018/06/07,0.057
2018/06/08,0.053
2018/06/09,0.049
2018/06/10,0.046
2018/06/11,0.043
2018/06/12,0.042
2018/06/13,0.04
2018/06/14,0.039
2018/06/15,0.039
2018/06/16,0.038
2018/06/17,0.038
2018/06/18,0.039
2018/06/19,0.041
2018/06/20,0.044
2018/06/21,0.047
2018/06/22,0.052
2018/06/23,0.056
2018/06/24,0.061
2018/06/25,0.065
2018/06/26,0.069
2018/06/27,0.074
2018/06/28,0.079
2018/06/29,0.083
2018/06/30,0.087
2018/07/01,0.09
2018/07/02,0.093
2018/07/03,0.096
2018/07/04,0.099
2018/07/05,0.103
2018/07/06,0.107
2018/07/07,0.111
2018/07/08,0.114
2018/07/09,0.118
2018/07/10,0.122
2018/07/11,0.124
2018/07/12,0.125
2018/07/13,0.127
2018/07/14,0.127
2018/07/15,0.127
2018/07/16,0.127
2018/07/17,0.126
2018/07/18,0.126
2018/07/19,0.125
2018/07/20,0.124
2018/07/21,0.12
2018/07/22,0.117
2018/07/23,0.114
2018/07/24,0.111
2018/07/25,0.108
2018/07/26,0.106
2018/07/27,0.105
2018/07/28,0.104
2018/07/29,0.104
2018/07/30,0.104
2018/07/31,0.105
2018/08/01,0.105
2018/08/02,0.106
2018/08/03,0.106
2018/08/04,0.107
2018/08/05,0.107
2018/08/06,0.108
2018/08/07,0.109
2018/08/08,0.111
2018/08/09,0.112
2018/08/10,0.114
2018/08/11,0.115
2018/08/12,0.115
2018/08/13,0.115
2018/08/14,0.114
2018/08/15,0.113
2018/08/16,0.111
2018/08/17,0.109
2018/08/18,0.105
2018/08/19,0.102
2018/08/20,0.099
2018/08/21,0.095
2018/08/22,0.093
2018/08/23,0.09
2018/08/24,0.086
2018/08/25,0.083
2018/08/26,0.08
2018/08/27,0.077
2018/08/28,0.074
2018/08/29,0.071
2018/08/30,0.067
2018/08/31,0.063
2018/09/01,0.059
2018/09/02,0.055
2018/09/03,0.05
2018/09/04,0.045
2018/09/05,0.04
2018/09/06,0.035
2018/09/07,0.03
2018/09/08,0.025
2018/09/09,0.018
2018/09/10,0.011
2018/09/11,0.002
2018/09/12,-0.007
2018/09/13,-0.018
2018/09/14,-0.029
2018/09/15,-0.041
2018/09/16,-0.052
2018/09/17,-0.063
2018/09/18,-0.074
2018/09/19,-0.084
2018/09/20,-0.094
2018/09/21,-0.103
2018/09/22,-0.111
2018/09/23,-0.117
2018/09/24,-0.123
2018/09/25,-0.128
2018/09/26,-0.131
2018/09/27,-0.134
2018/09/28,-0.135
2018/09/29,-0.136
