Date,mediantransactionvalue30wmaUSD
2017/07/03,98.569
2017/07/04,94.073
2017/07/05,89.441
2017/07/06,85.147
2017/07/07,78.744
2017/07/08,74.279
2017/07/09,69.728
2017/07/10,65.174
2017/07/11,61.747
2017/07/12,57.673
2017/07/13,53.688
2017/07/14,50.201
2017/07/15,47.659
2017/07/16,44.62
2017/07/17,41.875
2017/07/18,39.46
2017/07/19,36.941
2017/07/20,34.421
2017/07/21,32.55
2017/07/22,31.239
2017/07/23,30.072
2017/07/24,29.081
2017/07/25,28.852
2017/07/26,28.367
2017/07/27,28.37
2017/07/28,27.919
2017/07/29,28.149
2017/07/30,27.669
2017/07/31,27.713
2017/08/01,28.723
2017/08/02,29.689
2017/08/03,29.778
2017/08/04,29.516
2017/08/05,29.726
2017/08/06,29.655
2017/08/07,30.12
2017/08/08,30.272
2017/08/09,31.967
2017/08/10,32.126
2017/08/11,32.138
2017/08/12,32.15
2017/08/13,32.182
2017/08/14,31.417
2017/08/15,32.455
2017/08/16,33.238
2017/08/17,33.499
2017/08/18,35.309
2017/08/19,34.332
2017/08/20,34.155
2017/08/21,34.489
2017/08/22,34.278
2017/08/23,34.387
2017/08/24,34.393
2017/08/25,34.481
2017/08/26,33.581
2017/08/27,32.508
2017/08/28,32.58
2017/08/29,32.814
2017/08/30,33.081
2017/08/31,35.22
2017/09/01,35.521
2017/09/02,35.633
2017/09/03,35.578
2017/09/04,35.451
2017/09/05,35.152
2017/09/06,33.961
2017/09/07,32.725
2017/09/08,31.201
2017/09/09,29.49
2017/09/10,28.425
2017/09/11,28.333
2017/09/12,28.294
2017/09/13,27.927
2017/09/14,27.561
2017/09/15,27.961
2017/09/16,27.657
2017/09/17,26.549
2017/09/18,25.749
2017/09/19,25.777
2017/09/20,25.821
2017/09/21,25.068
2017/09/22,24.476
2017/09/23,23.954
2017/09/24,23.144
2017/09/25,22.475
2017/09/26,21.728
2017/09/27,21.045
2017/09/28,20.406
2017/09/29,19.5
2017/09/30,18.636
2017/10/01,18.22
2017/10/02,18.058
2017/10/03,17.805
2017/10/04,17.622
2017/10/05,17.348
2017/10/06,17.111
2017/10/07,16.948
2017/10/08,16.783
2017/10/09,15.979
2017/10/10,15.763
2017/10/11,15.213
2017/10/12,14.54
2017/10/13,15.504
2017/10/14,15.607
2017/10/15,15.554
2017/10/16,14.494
2017/10/17,13.493
2017/10/18,12.518
2017/10/19,11.575
2017/10/20,10.694
2017/10/21,9.876
2017/10/22,9.105
2017/10/23,8.378
2017/10/24,7.676
2017/10/25,7.002
2017/10/26,6.362
2017/10/27,5.751
2017/10/28,5.174
2017/10/29,4.628
2017/10/30,4.105
2017/10/31,3.603
2017/11/01,3.133
2017/11/02,2.792
2017/11/03,2.393
2017/11/04,2.03
2017/11/05,1.699
2017/11/06,1.399
2017/11/07,1.133
2017/11/08,0.972
2017/11/09,0.905
2017/11/10,1.112
2017/11/11,1.005
2017/11/12,2.418
2017/11/13,2.813
2017/11/14,3.333
2017/11/15,4.307
2017/11/16,4.352
2017/11/17,5.08
2017/11/18,5.102
2017/11/19,5.371
2017/11/20,5.196
2017/11/21,6.16
2017/11/22,7.088
2017/11/23,8.067
2017/11/24,9.133
2017/11/25,8.929
2017/11/26,8.775
2017/11/27,9.914
2017/11/28,11.005
2017/11/29,12.842
2017/11/30,13.769
2017/12/01,14.072
2017/12/02,14.236
2017/12/03,14.202
2017/12/04,15.066
2017/12/05,16.043
2017/12/06,21.882
2017/12/07,23.137
2017/12/08,23.464
2017/12/09,23.228
2017/12/10,22.804
2017/12/11,22.652
2017/12/12,23.531
2017/12/13,25.798
2017/12/14,29.66
2017/12/15,32.341
2017/12/16,33.752
2017/12/17,35.216
2017/12/18,38.154
2017/12/19,42.73
2017/12/20,50.925
2017/12/21,58.855
2017/12/22,67.251
2017/12/23,69.248
2017/12/24,70.179
2017/12/25,70.545
2017/12/26,71.91
2017/12/27,73.867
2017/12/28,75.284
2017/12/29,81.534
2017/12/30,91.828
2017/12/31,92.704
2018/01/01,92.864
2018/01/02,97.167
2018/01/03,109.039
2018/01/04,141.232
2018/01/05,160.492
2018/01/06,168.734
2018/01/07,174.777
2018/01/08,182.609
2018/01/09,196.28
2018/01/10,210.244
2018/01/11,219.652
2018/01/12,221.014
2018/01/13,218.576
2018/01/14,215.104
2018/01/15,220.432
2018/01/16,230.064
2018/01/17,238.22
2018/01/18,240.717
2018/01/19,234.254
2018/01/20,224.676
2018/01/21,225.264
2018/01/22,219.489
2018/01/23,212.635
2018/01/24,205.39
2018/01/25,195.554
2018/01/26,189.651
2018/01/27,182.111
2018/01/28,173.383
2018/01/29,167.947
2018/01/30,162.323
2018/01/31,156.435
2018/02/01,156.251
2018/02/02,151.933
2018/02/03,143.543
2018/02/04,135.112
2018/02/05,129.027
2018/02/06,123.104
2018/02/07,116.92
2018/02/08,109.511
2018/02/09,102.856
2018/02/10,96.198
2018/02/11,88.698
2018/02/12,82.022
2018/02/13,76.12
2018/02/14,71.781
2018/02/15,68.081
2018/02/16,64.085
2018/02/17,59.186
2018/02/18,55.326
2018/02/19,51.031
2018/02/20,46.477
2018/02/21,42.699
2018/02/22,39.151
2018/02/23,35.784
2018/02/24,32.165
2018/02/25,28.682
2018/02/26,25.978
2018/02/27,23.459
2018/02/28,21.668
2018/03/01,19.55
2018/03/02,17.094
2018/03/03,14.826
2018/03/04,13.011
2018/03/05,11.876
2018/03/06,11.191
2018/03/07,12.503
2018/03/08,11.681
2018/03/09,11.454
2018/03/10,10.832
2018/03/11,9.91
2018/03/12,9.284
2018/03/13,8.528
2018/03/14,8.197
2018/03/15,7.807
2018/03/16,7.125
2018/03/17,6.536
2018/03/18,6.044
2018/03/19,5.814
2018/03/20,5.404
2018/03/21,5.051
2018/03/22,5.029
2018/03/23,4.984
2018/03/24,5.454
2018/03/25,5.23
2018/03/26,5.168
2018/03/27,5.023
2018/03/28,4.854
2018/03/29,5.11
2018/03/30,4.965
2018/03/31,4.624
2018/04/01,4.305
2018/04/02,3.987
2018/04/03,3.669
2018/04/04,3.328
2018/04/05,3.001
2018/04/06,2.697
2018/04/07,2.485
2018/04/08,2.284
2018/04/09,2.123
2018/04/10,1.995
2018/04/11,1.834
2018/04/12,1.684
2018/04/13,1.543
2018/04/14,1.401
2018/04/15,1.273
2018/04/16,1.159
2018/04/17,1.031
2018/04/18,0.904
2018/04/19,0.782
2018/04/20,0.66
2018/04/21,0.544
2018/04/22,0.441
2018/04/23,0.364
2018/04/24,0.304
2018/04/25,0.242
2018/04/26,0.188
2018/04/27,0.142
2018/04/28,0.104
2018/04/29,0.087
2018/04/30,0.114
2018/05/01,0.123
2018/05/02,0.149
2018/05/03,0.196
2018/05/04,6.328
2018/05/05,6.175
2018/05/06,6.102
2018/05/07,5.89
2018/05/08,5.673
2018/05/09,5.457
2018/05/10,5.236
2018/05/11,5.035
2018/05/12,4.814
2018/05/13,4.598
2018/05/14,4.517
2018/05/15,4.316
2018/05/16,4.108
2018/05/17,3.91
2018/05/18,3.722
2018/05/19,3.495
2018/05/20,3.268
2018/05/21,3.065
2018/05/22,2.837
2018/05/23,2.633
2018/05/24,2.428
2018/05/25,2.2
2018/05/26,1.971
2018/05/27,1.743
2018/05/28,1.55
2018/05/29,1.32
2018/05/30,1.12
2018/05/31,0.939
2018/06/01,0.724
2018/06/02,0.494
2018/06/03,0.266
2018/06/04,0.248
2018/06/05,0.227
2018/06/06,0.222
2018/06/07,0.206
2018/06/08,0.189
2018/06/09,0.173
2018/06/10,0.157
2018/06/11,0.145
2018/06/12,0.129
