Date,mediantransactionvalueUSD
2017/10/03,16.129
2017/10/04,16.62
2017/10/05,14.667
2017/10/06,14.728
2017/10/07,15.783
2017/10/08,15.793
2017/10/09,6.041
2017/10/10,15.176
2017/10/11,9.997
2017/10/12,7.446
2017/10/13,32.045
2017/10/14,18.918
2017/10/15,16.284
2017/10/16,0
2017/10/17,0.0624
2017/10/18,0.0304
2017/10/19,0
2017/10/20,0
2017/10/21,0
2017/10/22,0.196
2017/10/23,0.274
2017/10/24,0.0303
2017/10/25,0
2017/10/26,0
2017/10/27,0
2017/10/28,0
2017/10/29,0
2017/10/30,0
2017/10/31,0
2017/11/01,0
2017/11/02,1.386
2017/11/03,0
2017/11/04,0
2017/11/05,0
2017/11/06,0
2017/11/07,0
2017/11/08,1.109
2017/11/09,2.386
2017/11/10,6.211
2017/11/11,1.228
2017/11/12,24.578
2017/11/13,8.533
2017/11/14,10.145
2017/11/15,16.967
2017/11/16,3.134
2017/11/17,13.825
2017/11/18,3.34
2017/11/19,7.276
2017/11/20,0.649
2017/11/21,18.311
2017/11/22,18.37
2017/11/23,19.76
2017/11/24,21.757
2017/11/25,2.805
2017/11/26,3.668
2017/11/27,23.847
2017/11/28,23.884
2017/11/29,36.235
2017/11/30,23.356
2017/12/01,14.459
2017/12/02,12.775
2017/12/03,10.101
2017/12/04,24.344
2017/12/05,26.906
2017/12/06,103.18
2017/12/07,35.553
2017/12/08,22.357
2017/12/09,14.341
2017/12/10,11.833
2017/12/11,16.222
2017/12/12,32.71
2017/12/13,54.482
2017/12/14,80.759
2017/12/15,64.794
2017/12/16,46.695
2017/12/17,48.985
2017/12/18,72.993
2017/12/19,100.721
2017/12/20,159.911
2017/12/21,161.118
2017/12/22,173.1
2017/12/23,79.079
2017/12/24,64.521
2017/12/25,57.2
2017/12/26,74.498
2017/12/27,86.037
2017/12/28,79.729
2017/12/29,156.515
2017/12/30,223.193
2017/12/31,83.884
2018/01/01,75.097
2018/01/02,141.394
2018/01/03,263.091
2018/01/04,586.01
2018/01/05,404.206
2018/01/06,243.449
2018/01/07,216.297
2018/01/08,250.487
2018/01/09,348.878
2018/01/10,364.643
2018/01/11,305.631
2018/01/12,190.024
2018/01/13,135.642
2018/01/14,121.456
2018/01/15,259.732
2018/01/16,333.544
2018/01/17,320.152
2018/01/18,240.676
2018/01/19,106.461
2018/01/20,56.398
2018/01/21,210.484
2018/01/22,113.104
2018/01/23,97.517
2018/01/24,92.538
2018/01/25,53.573
2018/01/26,113.836
2018/01/27,89.376
2018/01/28,71.305
2018/01/29,119.471
2018/01/30,113.11
2018/01/31,109.991
2018/02/01,199.558
2018/02/02,137.424
2018/02/03,70.119
2018/02/04,52.29
2018/02/05,76.917
2018/02/06,73.882
2018/02/07,65.098
2018/02/08,39.923
2018/02/09,41.298
2018/02/10,30.493
2018/02/11,8.257
2018/02/12,14.987
2018/02/13,22.952
2018/02/14,43.881
2018/02/15,46.608
2018/02/16,32.453
2018/02/17,8.865
2018/02/18,17.242
2018/02/19,7.531
2018/02/20,1.879
2018/02/21,6.956
2018/02/22,6.984
2018/02/23,6.771
2018/02/24,0
2018/02/25,0.336
2018/02/26,8.615
2018/02/27,8.795
2018/02/28,18.007
2018/03/01,9.532
2018/03/02,0.864
2018/03/03,0.121
2018/03/04,0.513
2018/03/05,6.471
