Date,mediantransactionvalue7smaUSD
2017/12/15,39.306
2017/12/16,43.928
2017/12/17,49.235
2017/12/18,57.346
2017/12/19,67.061
2017/12/20,82.123
2017/12/21,93.602
2017/12/22,109.075
2017/12/23,113.701
2017/12/24,115.92
2017/12/25,113.664
2017/12/26,109.918
2017/12/27,99.365
2017/12/28,87.738
2017/12/29,85.368
2017/12/30,105.956
2017/12/31,108.722
2018/01/01,111.279
2018/01/02,120.836
2018/01/03,146.129
2018/01/04,218.455
2018/01/05,253.839
2018/01/06,256.733
2018/01/07,275.649
2018/01/08,300.705
2018/01/09,330.345
2018/01/10,344.853
2018/01/11,304.799
2018/01/12,274.201
2018/01/13,258.8
2018/01/14,245.252
2018/01/15,246.572
2018/01/16,244.382
2018/01/17,238.026
2018/01/18,228.747
2018/01/19,216.809
2018/01/20,205.489
2018/01/21,218.207
2018/01/22,197.26
2018/01/23,163.542
2018/01/24,131.026
2018/01/25,104.296
2018/01/26,105.35
2018/01/27,110.061
2018/01/28,90.178
2018/01/29,91.088
2018/01/30,93.315
2018/01/31,95.809
2018/02/01,116.664
2018/02/02,120.034
2018/02/03,117.283
2018/02/04,114.566
2018/02/05,108.487
2018/02/06,102.883
2018/02/07,96.47
2018/02/08,73.665
2018/02/09,59.932
2018/02/10,54.272
2018/02/11,47.981
2018/02/12,39.134
2018/02/13,31.858
2018/02/14,28.827
2018/02/15,29.782
2018/02/16,28.519
2018/02/17,25.429
2018/02/18,26.713
2018/02/19,25.648
2018/02/20,22.637
2018/02/21,17.362
2018/02/22,11.702
2018/02/23,8.033
2018/02/24,6.766
2018/02/25,4.351
2018/02/26,4.506
2018/02/27,5.494
2018/02/28,7.073
2018/03/01,7.437
2018/03/02,6.593
2018/03/03,6.61
2018/03/04,6.635
2018/03/05,6.329
2018/03/06,6.692
2018/03/07,9.967
2018/03/08,9.553
2018/03/09,11.376
2018/03/10,12.186
2018/03/11,12.113
2018/03/12,11.648
2018/03/13,10.068
2018/03/14,5.165
2018/03/15,4.991
2018/03/16,3.089
2018/03/17,2.303
2018/03/18,2.339
2018/03/19,2.342
2018/03/20,2.341
2018/03/21,1.479
2018/03/22,1.488
2018/03/23,2.194
2018/03/24,4.033
2018/03/25,4.37
2018/03/26,4.622
2018/03/27,5.135
2018/03/28,5.57
2018/03/29,6.221
2018/03/30,6.023
2018/03/31,4.192
2018/04/01,3.874
2018/04/02,3.215
2018/04/03,2.72
2018/04/04,2.209
2018/04/05,0.779
2018/04/06,0.232
2018/04/07,0.192
2018/04/08,0.142
2018/04/09,0.116
2018/04/10,0.134
2018/04/11,0.133
2018/04/12,0.142
2018/04/13,0.169
2018/04/14,0.158
2018/04/15,0.159
2018/04/16,0.167
2018/04/17,0.095
2018/04/18,0.097
2018/04/19,0.083
2018/04/20,0.051
2018/04/21,0.06
2018/04/22,0.068
2018/04/23,0.079
2018/04/24,0.096
2018/04/25,0.098
2018/04/26,0.098
2018/04/27,0.098
2018/04/28,0.09
2018/04/29,0.076
2018/04/30,0.107
2018/05/01,0.125
2018/05/02,0.193
2018/05/03,0.316
2018/05/04,13.915
2018/05/05,14.052
2018/05/06,14.37
2018/05/07,14.311
2018/05/08,14.284
2018/05/09,14.217
2018/05/10,14.095
2018/05/11,0.537
2018/05/12,0.401
2018/05/13,0.09
2018/05/14,0.379
2018/05/15,0.422
2018/05/16,0.45
2018/05/17,0.51
2018/05/18,0.553
2018/05/19,0.553
2018/05/20,0.545
2018/05/21,0.292
2018/05/22,0.238
2018/05/23,0.253
2018/05/24,0.243
2018/05/25,0.158
2018/05/26,0.158
2018/05/27,0.158
2018/05/28,0.181
2018/05/29,0.181
2018/05/30,0.192
2018/05/31,0.249
2018/06/01,0.281
2018/06/02,0.281
2018/06/03,0.281
2018/06/04,0.215
2018/06/05,0.215
2018/06/06,0.177
2018/06/07,0.07
2018/06/08,0.037
2018/06/09,0.037
2018/06/10,0.037
2018/06/11,0.033
2018/06/12,0.033
2018/06/13,0.007
2018/06/14,0.026
2018/06/15,0.036
2018/06/16,0.036
2018/06/17,0.036
2018/06/18,0.029
2018/06/19,0.029
2018/06/20,0.029
2018/06/21,0.01
2018/06/22,0.008
2018/06/23,0.008
2018/06/24,0.016
2018/06/25,0.019
2018/06/26,0.021
2018/06/27,0.021
2018/06/28,0.027
2018/06/29,0.031
2018/06/30,0.031
2018/07/01,0.024
2018/07/02,2.714
2018/07/03,2.712
2018/07/04,5.484
2018/07/05,6.042
2018/07/06,7.914
2018/07/07,8.316
2018/07/08,8.335
2018/07/09,5.642
2018/07/10,5.642
2018/07/11,2.87
2018/07/12,2.306
2018/07/13,0.422
2018/07/14,0.076
2018/07/15,0.593
2018/07/16,0.593
2018/07/17,0.593
2018/07/18,0.593
2018/07/19,0.593
2018/07/20,0.593
2018/07/21,0.537
2018/07/22,0.001
2018/07/23,0.001
2018/07/24,0.001
2018/07/25,0.001
2018/07/26,0.001
2018/07/27,0.001
2018/07/28,0
2018/07/29,0
2018/07/30,0
2018/07/31,0.003
2018/08/01,0.003
2018/08/02,0.003
2018/08/03,0.003
2018/08/04,0.003
2018/08/05,0.003
2018/08/06,0.003
2018/08/07,0.346
2018/08/08,3.544
2018/08/09,6.117
2018/08/10,7.219
2018/08/11,7.219
2018/08/12,7.219
2018/08/13,7.219
2018/08/14,6.88
2018/08/15,3.682
2018/08/16,1.108
2018/08/17,0.94
2018/08/18,0.94
2018/08/19,0.94
2018/08/20,0.94
2018/08/21,0.933
2018/08/22,0.933
2018/08/23,0.942
2018/08/24,0.032
2018/08/25,0.042
2018/08/26,0.048
2018/08/27,0.048
2018/08/28,0.089
2018/08/29,0.102
2018/08/30,0.098
2018/08/31,0.102
2018/09/01,0.091
2018/09/02,0.086
2018/09/03,0.092
2018/09/04,0.096
2018/09/05,0.14
2018/09/06,0.395
2018/09/07,0.388
2018/09/08,0.388
2018/09/09,0.388
2018/09/10,0.422
2018/09/11,0.395
2018/09/12,0.353
2018/09/13,0.151
2018/09/14,0.175
2018/09/15,0.186
2018/09/16,0.2
2018/09/17,0.168
2018/09/18,0.179
2018/09/19,0.284
2018/09/20,0.376
2018/09/21,0.731
2018/09/22,0.823
2018/09/23,0.858
2018/09/24,1.053
2018/09/25,1.115
2018/09/26,1.088
2018/09/27,1.158
2018/09/28,0.983
2018/09/29,1.107
2018/09/30,1.192
2018/10/01,1.187
2018/10/02,1.134
2018/10/03,1.042
2018/10/04,0.829
2018/10/05,0.603
2018/10/06,0.376
2018/10/07,0.245
2018/10/08,0.051
2018/10/09,0.011
2018/10/10,0.031
2018/10/11,0.028
2018/10/12,0.028
2018/10/13,0.028
2018/10/14,0.026
2018/10/15,0.038
2018/10/16,0.043
2018/10/17,0.026
2018/10/18,0.022
2018/10/19,0.022
2018/10/20,0.024
2018/10/21,0.024
2018/10/22,0.009
2018/10/23,0.009
2018/10/24,0.107
2018/10/25,0.134
2018/10/26,0.169
2018/10/27,0.167
2018/10/28,0.173
2018/10/29,0.178
2018/10/30,0.173
2018/10/31,0.076
2018/11/01,0.049
2018/11/02,0.015
2018/11/03,0.015
2018/11/04,0.009
2018/11/05,0.019
2018/11/06,0.019
2018/11/07,0.015
2018/11/08,0.015
2018/11/09,0.045
2018/11/10,0.048
2018/11/11,0.048
2018/11/12,0.036
2018/11/13,0.04
2018/11/14,0.073
2018/11/15,0.155
2018/11/16,0.125
2018/11/17,0.122
2018/11/18,0.122
2018/11/19,0.258
2018/11/20,0.275
2018/11/21,0.241
2018/11/22,0.159
2018/11/23,0.159
2018/11/24,0.159
2018/11/25,0.168
2018/11/26,0.029
2018/11/27,0.01
2018/11/28,0.01
2018/11/29,0.01
2018/11/30,0.026
2018/12/01,0.026
2018/12/02,0.017
2018/12/03,0.021
2018/12/04,0.021
2018/12/05,0.021
2018/12/06,0.021
2018/12/07,0.017
2018/12/08,0.023
2018/12/09,0.026
2018/12/10,0.026
2018/12/11,0.026
2018/12/12,0.026
2018/12/13,0.026
2018/12/14,0.013
2018/12/15,0.007
2018/12/16,0.007
2018/12/17,0.003
2018/12/18,0.003
2018/12/19,0.003
2018/12/20,0.003
2018/12/21,0.003
2018/12/22,0.003
2018/12/23,0
2018/12/24,0
2018/12/25,0
2018/12/26,0
2018/12/27,0
2018/12/28,0
2018/12/29,0
2018/12/30,0.02
2018/12/31,0.02
2019/01/01,0.02
2019/01/02,0.02
2019/01/03,0.02
2019/01/04,0.02
2019/01/05,0.02
2019/01/06,0
2019/01/07,0
2019/01/08,0.002
2019/01/09,0.002
2019/01/10,0.002
2019/01/11,0.003
2019/01/12,0.003
2019/01/13,0.003
2019/01/14,0.038
2019/01/15,0.058
2019/01/16,0.058
2019/01/17,0.058
2019/01/18,0.057
2019/01/19,0.057
2019/01/20,0.057
2019/01/21,0.023
2019/01/22,0
2019/01/23,0
2019/01/24,0
2019/01/25,0
2019/01/26,0
2019/01/27,0
2019/01/28,0.008
2019/01/29,0.008
2019/01/30,0.008
2019/01/31,0.008
2019/02/01,0.008
2019/02/02,0.008
2019/02/03,0.008
2019/02/04,0
2019/02/05,0
2019/02/06,0
2019/02/07,0
2019/02/08,0
2019/02/09,0
2019/02/10,0
2019/02/11,0
2019/02/12,0
2019/02/13,0
2019/02/14,0
2019/02/15,0
2019/02/16,0
2019/02/17,0
2019/02/18,0.001
2019/02/19,0.001
2019/02/20,0.001
2019/02/21,0.001
2019/02/22,0.001
2019/02/23,0.001
2019/02/24,0.001
2019/02/25,0
2019/02/26,0
2019/02/27,0
2019/02/28,0
2019/03/01,0
2019/03/02,0
2019/03/03,0
2019/03/04,0
2019/03/05,0
2019/03/06,0
