Date,transactionvalue7emaUSD
2018/02/27,3254
2018/02/28,2915
2018/03/01,2726
2018/03/02,2497
2018/03/03,2206
2018/03/04,2013
2018/03/05,1963
2018/03/06,2044
2018/03/07,2030
2018/03/08,1972
2018/03/09,1959
2018/03/10,1819
2018/03/11,1679
2018/03/12,1654
2018/03/13,1919
2018/03/14,1915
2018/03/15,1869
2018/03/16,1725
2018/03/17,1599
2018/03/18,1731
2018/03/19,1745
2018/03/20,1702
2018/03/21,1640
2018/03/22,1573
2018/03/23,1571
2018/03/24,1441
2018/03/25,1327
2018/03/26,1385
2018/03/27,1532
2018/03/28,1629
2018/03/29,1679
2018/03/30,1613
2018/03/31,1468
2018/04/01,1324
2018/04/02,1225
2018/04/03,1179
2018/04/04,1129
2018/04/05,1023
2018/04/06,956.983
2018/04/07,876
2018/04/08,864.249
2018/04/09,906.578
2018/04/10,903.364
2018/04/11,933.479
2018/04/12,1069
2018/04/13,1186
2018/04/14,1088
2018/04/15,1062
2018/04/16,1066
2018/04/17,1049
2018/04/18,1107
2018/04/19,1133
2018/04/20,1232
2018/04/21,1269
2018/04/22,1214
2018/04/23,1526
2018/04/24,1719
2018/04/25,1798
2018/04/26,1751
2018/04/27,1772
2018/04/28,1721
2018/04/29,1666
2018/04/30,1691
2018/05/01,1703
2018/05/02,1853
2018/05/03,2017
2018/05/04,2019
2018/05/05,1960
2018/05/06,1908
2018/05/07,2126
2018/05/08,2078
2018/05/09,2055
2018/05/10,2016
2018/05/11,1977
2018/05/12,1824
2018/05/13,1642
2018/05/14,1719
2018/05/15,1748
2018/05/16,1675
2018/05/17,1614
2018/05/18,1550
2018/05/19,1413
2018/05/20,1350
2018/05/21,1378
2018/05/22,1492
2018/05/23,1625
2018/05/24,1602
2018/05/25,1540
2018/05/26,1415
2018/05/27,1428
2018/05/28,1499
2018/05/29,1499
2018/05/30,1499
2018/05/31,1515
2018/06/01,1608
2018/06/02,1455
2018/06/03,1303
2018/06/04,1357
2018/06/05,1412
2018/06/06,1510
2018/06/07,1554
2018/06/08,1651
2018/06/09,1473
2018/06/10,1430
2018/06/11,1447
2018/06/12,1589
2018/06/13,1811
2018/06/14,2014
2018/06/15,2100
2018/06/16,1888
2018/06/17,1644
2018/06/18,1521
2018/06/19,1469
2018/06/20,1443
2018/06/21,1413
2018/06/22,1442
2018/06/23,1306
2018/06/24,1314
2018/06/25,1315
2018/06/26,1285
2018/06/27,1237
2018/06/28,1191
2018/06/29,1201
2018/06/30,1122
2018/07/01,1024
2018/07/02,1103
2018/07/03,1199
2018/07/04,1305
2018/07/05,1347
2018/07/06,1417
2018/07/07,1334
2018/07/08,1245
2018/07/09,1257
2018/07/10,1253
2018/07/11,1183
2018/07/12,1138
2018/07/13,1095
2018/07/14,1019
2018/07/15,958.205
2018/07/16,1004
2018/07/17,1060
2018/07/18,1134
2018/07/19,1118
2018/07/20,1141
2018/07/21,1057
2018/07/22,970.775
2018/07/23,975.866
2018/07/24,989.674
2018/07/25,972.287
2018/07/26,932.848
2018/07/27,899.914
2018/07/28,807.238
2018/07/29,730.532
2018/07/30,784.382
2018/07/31,1009
2018/08/01,967.497
2018/08/02,939.538
2018/08/03,884.997
2018/08/04,800.917
2018/08/05,729.841
2018/08/06,726.63
2018/08/07,763.776
2018/08/08,907.396
2018/08/09,949.665
2018/08/10,977.669
2018/08/11,934.511
2018/08/12,827.871
2018/08/13,898.344
2018/08/14,974.369
2018/08/15,989.122
2018/08/16,897.706
2018/08/17,903.942
2018/08/18,812.247
2018/08/19,706.66
2018/08/20,689.885
2018/08/21,686.197
2018/08/22,720.173
2018/08/23,707.361
2018/08/24,696.697
2018/08/25,653.281
